,open,high,low,close,volume
0,0.03918000,0.07089000,0.03918000,0.05469,2040029652.90000000
1,0.05471000,0.05634000,0.04954000,0.05335,1609793461.40000000
2,0.05337000,0.05345000,0.04528000,0.04568,476068987.30000000
3,0.04568000,0.04573000,0.04251000,0.04269,499287841.20000000
4,0.04270000,0.04467000,0.04159000,0.04365,532816436.70000000
5,0.04365000,0.04383000,0.04147000,0.04321,366359761.30000000
6,0.04323000,0.04434000,0.03928000,0.04068,488712277.00000000
7,0.04066000,0.04142000,0.03740000,0.03959,280814659.40000000
8,0.03959000,0.04018000,0.03743000,0.03815,217606271.00000000
9,0.03815000,0.03878000,0.03490000,0.03609,410002083.90000000
10,0.03609000,0.03615000,0.03307000,0.0347,346485569.70000000
11,0.03470000,0.03659000,0.03406000,0.03492,218803561.30000000
12,0.03491000,0.03639000,0.03042000,0.03045,409500579.30000000
13,0.03045000,0.04275000,0.03023000,0.03862,878400990.60000000
14,0.03863000,0.04033000,0.03783000,0.03921,307399035.50000000
15,0.03922000,0.04119000,0.03882000,0.04091,321086722.80000000
16,0.04091000,0.04145000,0.03802000,0.03883,299716278.30000000
17,0.03885000,0.03899000,0.03580000,0.03666,231001179.20000000
18,0.03666000,0.03699000,0.03550000,0.03633,104119340.70000000
19,0.03634000,0.03662000,0.03415000,0.0355,173947386.40000000
20,0.03547000,0.03832000,0.03521000,0.0375,206033668.30000000
21,0.03750000,0.03936000,0.03579000,0.03687,287051785.90000000
22,0.03688000,0.03760000,0.03573000,0.0364,126910647.00000000
23,0.03641000,0.04042000,0.03510000,0.03875,348770169.10000000
24,0.03876000,0.03880000,0.03728000,0.03772,172564786.90000000
25,0.03772000,0.03885000,0.03635000,0.03797,266746884.40000000
26,0.03797000,0.03978000,0.03727000,0.03913,145581984.30000000
27,0.03913000,0.03988000,0.03792000,0.03974,159701350.50000000
28,0.03972000,0.04300000,0.03879000,0.04265,308923470.30000000
29,0.04265000,0.04462000,0.04129000,0.04203,454290109.70000000
30,0.04202000,0.04217000,0.04078000,0.04169,86598614.20000000
31,0.04170000,0.04353000,0.04078000,0.04201,152679564.10000000
32,0.04201000,0.04210000,0.03985000,0.04002,120160185.30000000
33,0.04004000,0.04193000,0.03998000,0.04087,138836571.30000000
34,0.04087000,0.04149000,0.04010000,0.04084,61483261.50000000
35,0.04086000,0.04147000,0.03953000,0.03985,110889868.50000000
36,0.03985000,0.04048000,0.03838000,0.03892,170837033.60000000
37,0.03892000,0.03936000,0.03781000,0.03816,106344186.00000000
38,0.03815000,0.03876000,0.03722000,0.03765,72227654.30000000
39,0.03765000,0.03804000,0.03663000,0.0371,60752246.40000000
40,0.03713000,0.03894000,0.03632000,0.03808,110108218.90000000
41,0.03812000,0.03821000,0.03607000,0.03715,98070019.00000000
42,0.03713000,0.03744000,0.03601000,0.03632,44853912.10000000
43,0.03631000,0.03648000,0.03557000,0.03589,36613284.20000000
44,0.03589000,0.03603000,0.03531000,0.0357,33823856.50000000
45,0.03570000,0.03707000,0.03510000,0.03649,89917006.90000000
46,0.03648000,0.03688000,0.03586000,0.03649,48665723.40000000
47,0.03645000,0.03653000,0.03575000,0.03584,42385749.10000000
48,0.03585000,0.03631000,0.03540000,0.03545,56681186.00000000
49,0.03545000,0.03554000,0.03429000,0.03451,83034824.00000000
50,0.03451000,0.03473000,0.03375000,0.03423,43061601.50000000
51,0.03424000,0.03601000,0.03407000,0.03507,84126465.50000000
52,0.03507000,0.03613000,0.03470000,0.03515,110868602.30000000
53,0.03515000,0.03622000,0.03377000,0.03593,193665686.80000000
54,0.03592000,0.03649000,0.03454000,0.03501,74967948.30000000
55,0.03499000,0.03500000,0.03325000,0.0337,46128017.10000000
56,0.03371000,0.03533000,0.03300000,0.03444,187031743.40000000
57,0.03448000,0.03674000,0.03408000,0.03439,171442599.20000000
58,0.03439000,0.03502000,0.03405000,0.03419,35462653.10000000
59,0.03419000,0.03488000,0.03369000,0.03385,47845794.40000000
60,0.03387000,0.03407000,0.03304000,0.03365,55054172.40000000
61,0.03367000,0.03380000,0.03229000,0.03296,174179588.30000000
62,0.03295000,0.03415000,0.03257000,0.03359,68695869.70000000
63,0.03359000,0.03499000,0.03346000,0.03437,83470395.00000000
64,0.03438000,0.03537000,0.03395000,0.03499,102213209.40000000
65,0.03499000,0.03574000,0.03424000,0.0345,107924944.00000000
66,0.03450000,0.03470000,0.03380000,0.03458,50206074.50000000
67,0.03458000,0.03467000,0.03344000,0.03354,49278511.00000000
68,0.03354000,0.03391000,0.03260000,0.03378,112920039.80000000
69,0.03376000,0.03673000,0.03345000,0.03645,223597639.80000000
70,0.03644000,0.03813000,0.03639000,0.03748,170339370.40000000
71,0.03748000,0.03829000,0.03677000,0.0369,70887557.20000000
72,0.03690000,0.03794000,0.03612000,0.03648,84320146.90000000
73,0.03644000,0.03714000,0.03542000,0.03593,72800075.80000000
74,0.03595000,0.03665000,0.03535000,0.03654,55630856.70000000
75,0.03654000,0.03720000,0.03588000,0.03628,74445837.80000000
76,0.03632000,0.03647000,0.03520000,0.03561,58292140.60000000
77,0.03562000,0.03611000,0.03484000,0.03502,68522061.10000000
78,0.03503000,0.03599000,0.03478000,0.03574,39277953.70000000
79,0.03574000,0.03626000,0.03495000,0.03597,56082269.00000000
80,0.03599000,0.03637000,0.03505000,0.0363,60559299.90000000
81,0.03630000,0.03883000,0.03520000,0.03706,210699760.60000000
82,0.03707000,0.03737000,0.03570000,0.03593,68275447.20000000
83,0.03592000,0.03623000,0.03508000,0.03532,50998306.80000000
84,0.03532000,0.03541000,0.03339000,0.0342,186778435.70000000
85,0.03421000,0.03421000,0.03139000,0.03203,226872665.60000000
86,0.03203000,0.03220000,0.03042000,0.03048,119719315.80000000
87,0.03048000,0.03086000,0.02909000,0.02929,126701733.20000000
88,0.02929000,0.02950000,0.02809000,0.02818,109578893.30000000
89,0.02819000,0.02853000,0.02601000,0.02702,223778389.70000000
90,0.02700000,0.02803000,0.02685000,0.02764,71868989.20000000
91,0.02766000,0.02808000,0.02711000,0.02735,45174613.60000000
92,0.02734000,0.02758000,0.02651000,0.02692,60985835.10000000
93,0.02692000,0.02747000,0.02556000,0.02655,111399891.30000000
94,0.02655000,0.02677000,0.02568000,0.02621,62371050.80000000
95,0.02621000,0.02742000,0.02621000,0.02721,31028480.90000000
96,0.02720000,0.02774000,0.02697000,0.02725,74435621.90000000
97,0.02725000,0.02733000,0.02594000,0.02721,112198463.90000000
98,0.02722000,0.02726000,0.02655000,0.02679,47155789.60000000
99,0.02679000,0.02698000,0.02639000,0.02657,40809343.60000000
100,0.02660000,0.02691000,0.02629000,0.02668,35254967.30000000
101,0.02666000,0.02699000,0.02630000,0.02641,46974646.60000000
102,0.02643000,0.02754000,0.02604000,0.02672,68904219.30000000
103,0.02672000,0.02722000,0.02656000,0.02668,51515119.90000000
104,0.02668000,0.02679000,0.02606000,0.02654,37485408.10000000
105,0.02653000,0.02717000,0.02629000,0.02693,130633268.50000000
106,0.02692000,0.02711000,0.02589000,0.02632,53798149.70000000
107,0.02632000,0.02719000,0.02526000,0.02534,89153035.90000000
108,0.02535000,0.02548000,0.02358000,0.02365,142956117.80000000
109,0.02364000,0.02505000,0.02325000,0.02394,132282712.50000000
110,0.02394000,0.02561000,0.02343000,0.02549,99903836.20000000
