,open,high,low,close,volume
0,259.70000000,260.30000000,249.00000000,253.9,43952.24500000
1,253.90000000,265.60000000,253.80000000,261.3,25872.07100000
2,261.50000000,262.10000000,250.20000000,251.3,30724.54700000
3,251.30000000,260.00000000,250.70000000,259.4,30958.46700000
4,259.50000000,266.80000000,256.10000000,266.4,22800.36700000
5,266.30000000,267.60000000,253.40000000,254.8,41222.28500000
6,254.90000000,258.00000000,253.10000000,256.3,16606.76800000
7,256.20000000,262.30000000,254.30000000,260.1,24286.77000000
8,260.10000000,269.10000000,255.00000000,265.3,39915.21800000
9,265.30000000,275.00000000,262.70000000,273.9,42083.88300000
10,273.90000000,286.40000000,270.40000000,283.1,86066.40900000
11,283.10000000,283.50000000,264.10000000,268.9,63602.93200000
12,268.80000000,275.80000000,264.50000000,267.2,60260.27100000
13,267.20000000,268.50000000,253.90000000,257.2,52295.00700000
14,257.30000000,268.90000000,256.40000000,266.8,39058.48000000
15,266.80000000,269.50000000,258.70000000,259.5,39089.44700000
16,259.50000000,261.00000000,249.80000000,252.1,43137.51900000
17,252.00000000,258.30000000,251.00000000,254.7,20572.49400000
18,254.80000000,258.00000000,251.00000000,252.4,22556.64500000
19,252.40000000,259.40000000,251.00000000,252.6,36721.32300000
20,252.70000000,253.80000000,214.90000000,230.3,109760.62200000
21,230.10000000,233.10000000,219.20000000,228.5,76077.37300000
22,228.40000000,230.50000000,214.30000000,220.3,60409.13200000
23,220.20000000,226.80000000,216.60000000,224.4,48303.44000000
24,224.50000000,229.00000000,220.60000000,221.0,38199.30700000
25,221.00000000,222.10000000,200.40000000,206.9,63248.52800000
26,206.80000000,216.50000000,199.70000000,212.5,64774.04700000
27,212.50000000,216.20000000,202.00000000,213.2,64514.56000000
28,213.20000000,213.60000000,206.70000000,211.7,23058.14600000
29,211.80000000,227.00000000,209.30000000,221.7,58438.46300000
30,221.60000000,228.10000000,218.50000000,227.5,39407.18500000
31,227.60000000,231.10000000,204.40000000,205.0,82593.99000000
32,205.10000000,218.70000000,200.50000000,212.3,64245.38600000
33,212.30000000,217.50000000,209.00000000,215.6,34705.30300000
34,215.40000000,219.20000000,210.30000000,216.1,29619.73500000
35,216.10000000,217.80000000,207.70000000,216.7,34356.24300000
36,216.80000000,218.10000000,208.40000000,209.5,26663.98800000
37,209.50000000,213.70000000,205.80000000,212.9,24292.76400000
38,212.80000000,213.40000000,203.40000000,204.3,20841.07900000
39,204.40000000,204.90000000,186.70000000,195.7,139596.73900000
40,195.70000000,200.30000000,193.70000000,199.9,21422.97600000
41,199.90000000,207.00000000,196.60000000,202.8,22948.54000000
42,202.80000000,207.30000000,200.90000000,204.5,21088.32100000
43,204.30000000,216.90000000,201.20000000,214.5,46190.96700000
44,214.50000000,216.10000000,211.80000000,213.3,18470.15100000
45,213.20000000,219.30000000,210.50000000,215.6,22824.47600000
46,215.60000000,218.90000000,212.30000000,216.8,23790.21300000
47,216.70000000,222.60000000,216.40000000,220.6,42188.61300000
48,220.60000000,221.20000000,217.20000000,218.5,15910.31900000
49,218.70000000,221.10000000,212.80000000,212.8,19337.19600000
50,212.80000000,220.10000000,212.50000000,213.7,23013.68900000
51,213.80000000,222.10000000,209.00000000,213.9,66710.41000000
52,213.80000000,216.60000000,207.10000000,209.3,28480.15500000
53,209.40000000,216.00000000,207.50000000,215.9,12730.23000000
54,215.80000000,217.10000000,205.40000000,207.0,31863.23700000
55,206.90000000,220.80000000,204.00000000,216.7,55504.07200000
56,216.70000000,227.00000000,215.80000000,223.9,45246.90000000
57,223.80000000,232.40000000,222.30000000,229.5,40959.76400000
58,229.50000000,235.40000000,228.50000000,235.0,40121.59900000
59,235.00000000,242.00000000,230.70000000,240.4,70161.59200000
60,240.30000000,243.70000000,235.40000000,238.4,31267.13500000
61,238.40000000,238.80000000,230.30000000,231.9,35201.71000000
62,231.90000000,237.80000000,231.60000000,236.9,19160.64400000
63,236.90000000,245.50000000,236.60000000,238.2,45445.73900000
64,238.10000000,243.90000000,234.30000000,242.5,21265.63800000
65,242.40000000,244.30000000,226.50000000,228.7,43482.42000000
66,228.70000000,237.80000000,228.50000000,230.4,19832.35600000
67,230.50000000,232.20000000,221.30000000,223.1,44160.87000000
68,222.90000000,231.70000000,221.40000000,226.6,45190.83500000
69,226.60000000,240.50000000,222.70000000,223.2,63546.76300000
70,223.10000000,235.60000000,222.90000000,230.0,47754.91500000
71,229.90000000,237.50000000,223.50000000,234.8,72598.75000000
72,234.90000000,235.80000000,228.00000000,232.4,35783.19100000
73,232.40000000,236.90000000,223.90000000,226.7,38562.35800000
74,226.70000000,227.40000000,212.50000000,217.5,53428.11800000
75,217.50000000,221.90000000,213.70000000,217.7,38433.28400000
76,217.80000000,217.90000000,210.00000000,210.2,17239.85200000
77,210.40000000,215.40000000,209.70000000,213.5,15795.03400000
78,213.40000000,216.00000000,212.20000000,214.0,12839.78300000
79,214.20000000,221.40000000,211.30000000,217.3,27461.80500000
80,217.20000000,217.80000000,197.00000000,198.4,48226.52100000
81,198.30000000,200.60000000,181.60000000,189.1,92425.92100000
82,189.10000000,191.10000000,185.40000000,187.1,37037.42800000
83,187.10000000,191.10000000,178.10000000,186.0,69364.72400000
84,186.00000000,188.30000000,163.10000000,171.0,96750.94900000
85,170.90000000,175.40000000,158.90000000,160.5,51462.19100000
86,160.50000000,162.40000000,135.00000000,147.9,126943.26790000
87,147.90000000,154.90000000,141.80000000,144.2,55140.89300000
88,144.50000000,151.00000000,139.30000000,146.9,45455.98100000
89,147.10000000,154.00000000,145.40000000,153.2,46969.79200000
90,153.20000000,163.30000000,151.80000000,156.8,46714.86100000
91,156.70000000,159.60000000,149.70000000,152.5,34252.36000000
92,152.60000000,159.10000000,146.90000000,158.4,43693.41300000
93,158.50000000,158.60000000,146.50000000,149.2,32450.56900000
94,149.10000000,150.40000000,134.70000000,137.2,65132.16600000
95,137.20000000,146.40000000,131.10000000,145.4,103315.41160000
96,145.30000000,154.70000000,144.10000000,152.5,49625.56500000
97,152.40000000,152.60000000,146.70000000,148.4,30510.87200000
98,148.30000000,154.90000000,145.80000000,151.1,27942.93200000
99,151.20000000,154.80000000,146.30000000,152.6,46182.52900000
100,152.70000000,156.30000000,147.20000000,151.8,32578.02500000
101,151.80000000,156.20000000,148.50000000,154.1,22019.36800000
102,154.10000000,157.60000000,150.70000000,156.9,31675.95200000
103,156.90000000,162.80000000,154.70000000,154.7,47433.52200000
104,154.70000000,164.00000000,142.60000000,146.5,96411.10500000
105,146.40000000,148.50000000,138.80000000,142.5,34183.10200000
106,142.40000000,147.00000000,141.80000000,146.9,19756.38500000
107,147.00000000,151.40000000,145.40000000,146.6,32633.22300000
108,146.60000000,147.40000000,137.40000000,144.5,37649.15400000
109,144.60000000,148.60000000,142.20000000,146.3,34142.06800000
110,146.30000000,147.70000000,139.50000000,141.3,39277.86300000
111,141.30000000,147.90000000,139.30000000,146.0,36854.54200000
112,146.10000000,150.70000000,144.60000000,149.0,19179.23000000
113,149.00000000,150.90000000,147.70000000,149.9,13197.38200000
114,149.90000000,154.00000000,149.40000000,152.1,15260.79000000
115,152.10000000,157.00000000,151.60000000,152.8,23227.31300000
116,152.90000000,156.80000000,152.50000000,154.0,16683.63900000
117,154.00000000,154.80000000,150.80000000,154.8,14366.06300000
118,154.90000000,155.40000000,152.30000000,154.3,13582.42100000
119,154.30000000,155.00000000,150.40000000,152.4,13462.01400000
120,152.30000000,152.90000000,145.90000000,148.9,19923.37700000
121,149.00000000,149.40000000,141.60000000,142.9,18809.98400000
122,143.00000000,148.30000000,142.80000000,147.5,12059.40700000
123,147.40000000,158.70000000,145.60000000,157.6,38387.90000000
124,157.60000000,158.60000000,156.10000000,157.5,21279.65200000
125,157.50000000,164.50000000,157.30000000,163.1,27139.69600000
126,163.00000000,166.60000000,160.80000000,163.5,29645.85200000
127,163.50000000,168.30000000,163.00000000,165.9,35940.17700000
