,open,high,low,close,volume
0,1.32500000,1.32700000,1.28100000,1.308,31385910.80000000
1,1.30800000,1.33800000,1.30600000,1.326,17128423.30000000
2,1.32700000,1.33300000,1.31000000,1.319,13588545.10000000
3,1.31900000,1.35000000,1.31800000,1.346,16234294.40000000
4,1.34600000,1.38000000,1.33600000,1.38,22056344.70000000
5,1.37900000,1.38200000,1.34200000,1.355,17690488.60000000
6,1.35600000,1.37000000,1.34800000,1.363,15236618.10000000
7,1.36300000,1.39100000,1.35500000,1.379,26261327.00000000
8,1.37900000,1.38000000,1.35400000,1.377,21823426.70000000
9,1.37800000,1.37800000,1.34400000,1.355,17205063.20000000
10,1.35500000,1.37400000,1.34600000,1.37,14087507.00000000
11,1.37100000,1.37400000,1.32500000,1.339,28853557.30000000
12,1.33900000,1.34700000,1.31000000,1.319,27009698.40000000
13,1.31900000,1.32400000,1.29500000,1.313,23096564.80000000
14,1.31300000,1.34200000,1.30900000,1.341,19440524.10000000
15,1.34100000,1.35200000,1.32700000,1.337,22751942.90000000
16,1.33700000,1.34500000,1.30100000,1.309,29190274.10000000
17,1.31000000,1.33600000,1.30300000,1.333,15332615.10000000
18,1.33300000,1.35300000,1.32300000,1.328,22270984.90000000
19,1.32900000,1.33700000,1.30500000,1.307,25691089.40000000
20,1.30600000,1.31600000,1.19300000,1.23,95445398.80000000
21,1.23000000,1.24400000,1.19700000,1.22,41459538.40000000
22,1.21900000,1.22800000,1.19200000,1.204,43583747.20000000
23,1.20400000,1.24800000,1.18600000,1.238,45319759.70000000
24,1.23800000,1.29700000,1.23700000,1.28,45391362.30000000
25,1.27900000,1.28500000,1.19500000,1.22,76392968.80000000
26,1.21900000,1.24600000,1.18900000,1.232,47712364.50000000
27,1.23200000,1.25000000,1.19000000,1.232,63644602.90000000
28,1.23100000,1.23400000,1.20100000,1.21,22056077.00000000
29,1.20900000,1.23400000,1.20700000,1.232,17443279.80000000
30,1.23100000,1.25400000,1.22100000,1.238,23829726.80000000
31,1.23800000,1.24500000,1.15200000,1.156,46875461.95000000
32,1.15600000,1.23000000,1.12400000,1.181,81582005.13000000
33,1.18200000,1.19900000,1.17200000,1.178,26900492.50000000
34,1.17800000,1.18700000,1.15200000,1.163,25878134.00000000
35,1.16200000,1.19600000,1.14700000,1.189,31605209.10000000
36,1.19000000,1.20600000,1.16700000,1.17,29709863.80000000
37,1.17000000,1.18100000,1.15500000,1.178,23207513.20000000
