,open,high,low,close,volume
0,1.69380000,1.70130000,1.62810000,1.6591,8441647.00000000
1,1.65850000,1.69650000,1.65800000,1.6772,4680006.00000000
2,1.67700000,1.68330000,1.63030000,1.6409,4110167.00000000
3,1.64030000,1.71900000,1.63970000,1.7154,5712913.00000000
4,1.71600000,1.77000000,1.71190000,1.7414,8449162.00000000
5,1.74150000,1.78460000,1.69330000,1.7041,9952761.00000000
6,1.70410000,1.71210000,1.67270000,1.6749,4716924.00000000
7,1.67490000,1.70610000,1.66000000,1.694,6284380.00000000
8,1.69370000,1.70900000,1.66040000,1.6734,5577362.00000000
9,1.67310000,1.67440000,1.62600000,1.6541,6932260.00000000
10,1.65420000,1.69860000,1.64010000,1.6919,7720364.00000000
11,1.69200000,1.78950000,1.67690000,1.769,16871748.00000000
12,1.76880000,1.83570000,1.76260000,1.7949,25620633.00000000
13,1.79490000,1.84510000,1.72200000,1.7409,21918229.00000000
14,1.74080000,1.76870000,1.72470000,1.7464,12439765.00000000
15,1.74660000,1.76720000,1.71270000,1.715,16059836.00000000
16,1.71500000,1.72330000,1.65800000,1.6725,12346086.00000000
17,1.67240000,1.75470000,1.66010000,1.7505,9944260.00000000
18,1.75040000,1.78000000,1.71860000,1.7324,9711003.00000000
19,1.73190000,1.80260000,1.70110000,1.7241,14406959.00000000
20,1.72430000,1.74170000,1.44700000,1.5554,30190390.00000000
21,1.55570000,1.56990000,1.48290000,1.5211,13497080.00000000
22,1.52110000,1.54180000,1.48380000,1.5209,10376502.00000000
23,1.52140000,1.58200000,1.50040000,1.5733,11252835.00000000
24,1.57330000,1.60550000,1.54710000,1.5633,11975053.00000000
25,1.56280000,1.56960000,1.39300000,1.4366,22833551.00000000
26,1.43620000,1.49390000,1.40680000,1.4633,10529962.00000000
27,1.46320000,1.48060000,1.39910000,1.4678,14786233.00000000
28,1.46770000,1.46820000,1.42280000,1.4458,4553273.00000000
29,1.44590000,1.46970000,1.42930000,1.4492,5964557.00000000
30,1.44920000,1.45990000,1.43500000,1.4412,4339807.00000000
31,1.44120000,1.45740000,1.34030000,1.3422,9032483.00000000
32,1.34210000,1.41980000,1.31480000,1.385,10826966.00000000
33,1.38440000,1.43390000,1.37090000,1.4108,5760542.00000000
34,1.41080000,1.41800000,1.37750000,1.4032,3637386.00000000
35,1.40340000,1.43030000,1.36790000,1.4261,4801418.00000000
36,1.42610000,1.44120000,1.39170000,1.4004,4269421.00000000
37,1.40030000,1.41940000,1.37800000,1.4151,3551735.00000000
38,1.41480000,1.45000000,1.40790000,1.4185,7336485.00000000
39,1.41840000,1.42320000,1.30000000,1.3388,20698966.00000000
40,1.33870000,1.39210000,1.32930000,1.3623,5732016.00000000
41,1.36190000,1.43550000,1.34850000,1.3981,9714135.00000000
42,1.39860000,1.42890000,1.36900000,1.3856,7052984.00000000
43,1.38470000,1.44970000,1.35090000,1.4246,10407660.00000000
44,1.42460000,1.45320000,1.41350000,1.446,5395766.00000000
45,1.44560000,1.48770000,1.43760000,1.4751,7703536.00000000
46,1.47440000,1.50390000,1.45910000,1.4757,7674358.00000000
47,1.47640000,1.50420000,1.46050000,1.4848,12828366.00000000
48,1.48500000,1.50300000,1.46150000,1.4991,6568091.00000000
49,1.49860000,1.50110000,1.43140000,1.4579,7382765.00000000
50,1.45810000,1.46970000,1.41700000,1.4287,8376090.00000000
51,1.42880000,1.47130000,1.38090000,1.3926,16891351.00000000
52,1.39270000,1.39550000,1.34060000,1.3615,10282296.00000000
53,1.36130000,1.40660000,1.35000000,1.4,6795789.00000000
54,1.39980000,1.41110000,1.32270000,1.3481,12364649.00000000
55,1.34820000,1.40440000,1.33310000,1.3737,8084061.00000000
56,1.37340000,1.39300000,1.37100000,1.3817,4625232.00000000
57,1.38150000,1.39040000,1.36100000,1.368,5148392.00000000
58,1.36770000,1.39090000,1.35730000,1.3886,3406736.00000000
59,1.38790000,1.41500000,1.36160000,1.4036,6391073.00000000
60,1.40400000,1.40710000,1.37640000,1.3785,3204928.00000000
61,1.37750000,1.39590000,1.36580000,1.3826,3877646.00000000
62,1.38230000,1.40420000,1.37460000,1.3863,4396507.00000000
63,1.38640000,1.44890000,1.36990000,1.4293,10225374.00000000
64,1.42940000,1.44180000,1.40510000,1.429,5696926.00000000
65,1.42930000,1.44390000,1.37500000,1.3963,7674913.00000000
66,1.39650000,1.43140000,1.39400000,1.4027,6611506.00000000
67,1.40220000,1.40640000,1.33710000,1.3465,10132136.00000000
68,1.34660000,1.37060000,1.33810000,1.3413,6934254.00000000
69,1.34130000,1.36180000,1.32080000,1.334,6506390.00000000
70,1.33370000,1.35500000,1.30110000,1.3278,7248495.00000000
71,1.32770000,1.33130000,1.27670000,1.2913,10117210.00000000
72,1.29130000,1.33300000,1.28600000,1.3169,6262442.00000000
73,1.31710000,1.32240000,1.28320000,1.2915,8021268.00000000
74,1.29180000,1.29910000,1.22110000,1.2766,13904092.00000000
75,1.27670000,1.30770000,1.26840000,1.2968,7851230.00000000
76,1.29730000,1.30030000,1.25750000,1.2655,5415823.00000000
77,1.26500000,1.27420000,1.22930000,1.2679,6846850.00000000
78,1.26800000,1.29610000,1.26780000,1.2916,5365785.00000000
79,1.29210000,1.32680000,1.27650000,1.2987,7815397.00000000
80,1.29850000,1.30200000,1.15430000,1.1616,15408287.00000000
81,1.16100000,1.19680000,1.08920000,1.1181,21976956.00000000
82,1.11790000,1.13960000,1.10910000,1.1212,11139227.00000000
