,open,high,low,close,volume
0,1.00000000,100.00000000,1.00000000,7.9068,34290138.41000000
1,7.90380000,8.45600000,7.30000000,7.8542,17779546.69000000
2,7.85060000,7.92050000,7.30090000,7.448,8659954.88000000
3,7.45350000,7.51560000,6.78270000,7.3207,6873058.79000000
4,7.32190000,7.74800000,6.90000000,7.5,5286590.31000000
5,7.50000000,7.67000000,7.31760000,7.4892,4499314.68000000
6,7.48900000,7.50330000,7.02000000,7.0713,4814077.38000000
7,7.07140000,7.45000000,6.98800000,7.3685,3374544.59000000
8,7.36910000,7.70000000,7.18000000,7.604,4471265.84000000
9,7.60400000,7.62000000,7.03380000,7.0721,5263423.62000000
10,7.07500000,7.52600000,6.99000000,7.4182,5027508.80000000
11,7.41870000,7.58210000,7.31660000,7.498,1771783.43000000
12,7.49800000,7.70000000,7.35300000,7.3779,2749590.89000000
13,7.37700000,8.55000000,7.34110000,8.2349,4551649.97000000
14,8.23480000,9.31520000,8.02310000,8.802,10773575.41000000
15,8.80280000,9.23630000,8.58370000,8.9553,4333809.02000000
16,8.95710000,9.99000000,8.88060000,9.9264,8335250.67000000
17,9.92630000,10.33000000,9.47220000,9.6547,9394685.04000000
18,9.65200000,9.75000000,9.02350000,9.1916,8863708.69000000
19,9.19380000,9.88710000,9.17320000,9.7815,4816795.32000000
20,9.78080000,9.91520000,9.23540000,9.3592,4472714.23000000
21,9.35900000,9.71800000,9.31930000,9.5,4570795.49000000
22,9.50000000,9.96800000,9.46470000,9.6541,8680798.46000000
23,9.65600000,9.75380000,9.30000000,9.5293,3116499.85000000
24,9.52980000,9.56800000,9.10010000,9.2556,3836653.80000000
25,9.25560000,9.30680000,9.05000000,9.2177,3212649.82000000
26,9.21780000,9.48000000,8.75000000,8.9198,7869896.53000000
27,8.92170000,8.97280000,8.52020000,8.7863,6049285.30000000
28,8.78330000,8.94460000,8.60610000,8.9378,2816401.78000000
29,8.93780000,9.28630000,8.80000000,8.9029,5279827.41000000
30,8.90280000,9.12470000,8.68770000,8.9246,4429780.49000000
31,8.92420000,9.25790000,8.77200000,9.1951,3195485.74000000
32,9.19110000,9.50680000,9.09340000,9.2138,4359205.00000000
33,9.21380000,9.63870000,9.15490000,9.2371,5379714.87000000
34,9.23550000,9.30000000,9.03460000,9.1112,2748015.35000000
35,9.11060000,9.20410000,8.60000000,8.7013,3631698.48000000
36,8.70150000,8.82640000,8.05790000,8.2154,5497288.51000000
37,8.21550000,8.23970000,7.93370000,8.0492,4693215.63000000
38,8.04950000,8.42990000,7.98000000,8.3638,3538579.02000000
39,8.36130000,8.44800000,8.10750000,8.1845,1877238.02000000
40,8.18270000,8.36920000,8.05010000,8.249,2260170.03000000
41,8.24890000,8.35700000,8.10520000,8.1498,3123034.68000000
42,8.14990000,8.22620000,7.59200000,7.8306,5322233.59000000
43,7.82930000,8.05260000,7.71730000,7.9532,2710763.38000000
44,7.95800000,8.38000000,7.60260000,7.8536,4883029.68000000
45,7.85500000,7.94300000,7.75150000,7.8587,2582141.03000000
46,7.85920000,8.04960000,7.65000000,7.7871,3155423.51000000
47,7.78820000,7.94990000,7.69390000,7.8049,1237461.74000000
48,7.80150000,8.22110000,7.72110000,8.0154,3173831.44000000
