,open,high,low,close,volume
0,0.50000000,1.60000000,0.50000000,1.289,281391747.20000000
1,1.28900000,1.49180000,1.27600000,1.3217,214322512.00000000
2,1.32180000,1.43300000,1.32150000,1.3927,105444848.90000000
3,1.39270000,1.56750000,1.38250000,1.4906,184576749.80000000
4,1.49060000,1.49060000,1.24250000,1.273,138785296.20000000
5,1.27290000,1.32070000,1.17170000,1.2727,114702793.20000000
6,1.27260000,1.31500000,1.20010000,1.2178,74334006.90000000
7,1.21780000,1.26790000,1.18290000,1.2403,88384808.00000000
8,1.24090000,1.28340000,1.22460000,1.2355,70161470.00000000
9,1.23550000,1.24670000,1.18000000,1.2178,49038824.60000000
10,1.21790000,1.23690000,1.20210000,1.2244,28082035.30000000
11,1.22470000,1.31600000,1.21910000,1.293,86659529.10000000
12,1.29300000,1.34990000,1.27280000,1.2928,85338546.30000000
13,1.29280000,1.29690000,1.23000000,1.2818,42041919.60000000
14,1.28180000,1.32590000,1.24750000,1.2542,49651272.30000000
15,1.25410000,1.27720000,1.24680000,1.2606,33789471.40000000
16,1.26050000,1.26540000,1.16700000,1.1784,105568424.70000000
17,1.17830000,1.19810000,1.11600000,1.1657,66542330.90000000
18,1.16580000,1.16580000,1.11000000,1.1467,46738250.00000000
19,1.14670000,1.15800000,1.11770000,1.1513,47174408.30000000
20,1.15120000,1.18440000,1.13610000,1.1515,57166331.10000000
21,1.15150000,1.22400000,1.14800000,1.2204,51694350.80000000
22,1.22020000,1.25000000,1.21400000,1.2347,45710546.80000000
23,1.23480000,1.27670000,1.22800000,1.2425,64301777.90000000
24,1.24250000,1.24720000,1.19570000,1.2074,56276714.60000000
25,1.20760000,1.23370000,1.20190000,1.2257,26451028.10000000
26,1.22570000,1.34500000,1.22340000,1.2977,140518170.10000000
27,1.29770000,1.43000000,1.29400000,1.3838,166285443.10000000
28,1.38190000,1.39630000,1.30000000,1.323,77332049.70000000
29,1.32300000,1.39450000,1.31960000,1.3796,48546665.90000000
30,1.37950000,1.44500000,1.35620000,1.3991,79135012.30000000
31,1.39920000,1.40350000,1.32740000,1.357,70385526.50000000
32,1.35700000,1.41250000,1.34380000,1.382,62485042.90000000
33,1.38200000,1.40800000,1.37140000,1.3897,25394932.40000000
34,1.38970000,1.40280000,1.33980000,1.3409,46626784.90000000
35,1.34100000,1.34620000,1.31000000,1.3339,43762288.90000000
36,1.33400000,1.34480000,1.26000000,1.2751,60963181.50000000
37,1.27520000,1.30260000,1.26180000,1.2931,25397633.30000000
38,1.29300000,1.29850000,1.22910000,1.2516,41702195.10000000
39,1.25150000,1.29030000,1.24910000,1.2802,35659825.40000000
40,1.28010000,1.28010000,1.15100000,1.1882,131344099.20000000
41,1.18810000,1.20420000,1.13290000,1.2016,64951124.40000000
42,1.20170000,1.20790000,1.15000000,1.1813,55517738.00000000
43,1.18140000,1.22790000,1.17520000,1.1985,52602899.60000000
44,1.19860000,1.20240000,1.15180000,1.1655,50764046.70000000
45,1.16540000,1.19480000,1.10000000,1.153,79149943.00000000
46,1.15270000,1.17840000,1.14790000,1.1706,31120408.90000000
47,1.17050000,1.21880000,1.16670000,1.2071,45946429.50000000
48,1.20720000,1.26870000,1.19740000,1.2455,71353857.10000000
49,1.24550000,1.26080000,1.22570000,1.2345,27510988.50000000
50,1.23450000,1.29050000,1.21600000,1.2692,44529925.70000000
51,1.26920000,1.28780000,1.25210000,1.2711,29528393.20000000
52,1.27110000,1.28000000,1.20460000,1.224,45999676.50000000
53,1.22400000,1.26410000,1.21360000,1.2425,27175105.60000000
54,1.24190000,1.24440000,1.20000000,1.2091,26928521.00000000
55,1.20910000,1.21990000,1.18000000,1.202,27709936.50000000
56,1.20190000,1.21750000,1.18780000,1.2068,24354367.30000000
57,1.20690000,1.21520000,1.19300000,1.2149,14720662.40000000
58,1.21510000,1.24690000,1.20880000,1.2189,29569217.30000000
59,1.21870000,1.21960000,1.18470000,1.1879,22034397.00000000
60,1.18810000,1.20620000,1.18510000,1.1905,17148469.90000000
