,open,high,low,close,volume
0,4.02100000,4.04200000,3.90300000,4.018,25415.40000000
1,4.01000000,4.16600000,4.00900000,4.133,29764.20000000
2,4.14800000,4.50000000,4.08700000,4.352,127590.80000000
3,4.35200000,4.43200000,4.15100000,4.176,135265.00000000
4,4.17500000,4.27900000,4.11100000,4.221,54110.40000000
5,4.22100000,4.44400000,4.17200000,4.254,126277.10000000
6,4.26800000,4.37000000,4.22200000,4.286,47078.90000000
7,4.27100000,4.27400000,4.16800000,4.195,32716.20000000
8,4.20100000,4.20600000,4.11900000,4.172,33892.00000000
9,4.17200000,4.17200000,4.09700000,4.156,13844.40000000
10,4.15200000,4.22000000,4.08200000,4.208,32374.90000000
11,4.20800000,4.22500000,4.10000000,4.143,17747.40000000
12,4.13100000,4.21100000,4.08100000,4.152,15798.80000000
13,4.15500000,4.18900000,4.10600000,4.134,22308.70000000
14,4.12600000,4.20500000,4.12000000,4.177,34619.70000000
15,4.18300000,4.27500000,4.15100000,4.191,53875.90000000
16,4.20200000,4.26200000,4.09400000,4.112,117061.50000000
17,4.12900000,4.18600000,4.11100000,4.168,16114.90000000
18,4.17600000,4.18500000,4.08000000,4.116,14263.90000000
19,4.11500000,4.16000000,4.07300000,4.073,17088.60000000
20,4.07400000,4.11300000,3.65000000,3.808,61011.40000000
21,3.80500000,3.83200000,3.70100000,3.755,20096.60000000
22,3.75400000,4.06500000,3.75300000,3.932,94187.50000000
23,3.92800000,3.92800000,3.83700000,3.898,26553.30000000
24,3.88600000,3.91000000,3.82200000,3.876,20816.00000000
25,3.87600000,3.87600000,3.66400000,3.721,20163.20000000
26,3.72100000,3.82500000,3.65000000,3.768,13325.90000000
27,3.75900000,3.80900000,3.61500000,3.731,85239.30000000
28,3.73000000,3.81100000,3.67200000,3.811,20064.90000000
29,3.81200000,3.95200000,3.77100000,3.795,39768.40000000
30,3.79200000,3.95200000,3.76100000,3.845,12258.50000000
31,3.84200000,3.90500000,3.61000000,3.64,23597.80000000
32,3.61800000,3.91600000,3.55500000,3.657,74996.10000000
33,3.65300000,3.82400000,3.62400000,3.694,42370.90000000
34,3.69100000,3.80000000,3.64800000,3.711,39441.60000000
35,3.71100000,3.94900000,3.64900000,3.862,71810.10000000
36,3.87000000,3.88500000,3.74200000,3.77,23174.50000000
37,3.77300000,3.82700000,3.72000000,3.78,14745.10000000
38,3.78500000,3.83700000,3.66900000,3.706,27387.50000000
39,3.70700000,3.72400000,3.45800000,3.596,71347.30000000
40,3.57900000,3.63100000,3.54500000,3.579,12000.50000000
41,3.58600000,3.63800000,3.56100000,3.608,10427.50000000
42,3.60900000,4.03500000,3.56600000,3.806,197939.50000000
43,3.80400000,3.91800000,3.71000000,3.759,97697.60000000
44,3.75700000,3.82000000,3.74200000,3.818,16757.40000000
45,3.79400000,3.87000000,3.76300000,3.81,15460.40000000
46,3.81100000,3.82000000,3.75100000,3.82,20476.80000000
47,3.82600000,3.95600000,3.81500000,3.932,47244.40000000
48,3.91900000,3.97000000,3.88600000,3.922,19289.70000000
49,3.92100000,3.96900000,3.87400000,3.917,8382.20000000
50,3.90900000,3.95200000,3.87500000,3.875,10643.50000000
51,3.87700000,4.00000000,3.78000000,3.84,23989.80000000
52,3.82000000,3.83800000,3.76100000,3.783,7383.50000000
53,3.79100000,3.84800000,3.77100000,3.827,5544.40000000
54,3.83000000,3.86000000,3.78800000,3.798,11218.80000000
55,3.79800000,3.92000000,3.78000000,3.826,21906.10000000
56,3.83000000,3.86200000,3.80700000,3.845,8459.30000000
57,3.84700000,3.86300000,3.81600000,3.84,3615.00000000
58,3.84000000,3.86100000,3.82400000,3.848,2860.10000000
59,3.85100000,3.93000000,3.80900000,3.857,17244.00000000
60,3.84800000,3.89100000,3.84300000,3.846,6537.30000000
61,3.85500000,3.89100000,3.83800000,3.853,4752.10000000
62,3.85300000,3.92000000,3.80400000,3.851,8373.40000000
63,3.85200000,3.90000000,3.82200000,3.873,6743.80000000
64,3.86100000,3.90900000,3.82900000,3.89,11069.40000000
65,3.88500000,3.93000000,3.76900000,3.795,11200.30000000
66,3.82400000,4.06600000,3.76700000,3.9,92797.20000000
67,3.90300000,3.92000000,3.78600000,3.833,23242.80000000
68,3.81800000,3.95700000,3.75800000,3.798,10068.00000000
69,3.79400000,3.82600000,3.70200000,3.735,19811.20000000
