,open,high,low,close,volume
0,0.03000000,1.47700000,0.03000000,0.7405,290534669.50000000
1,0.74040000,0.90820000,0.73120000,0.8389,347870024.30000000
2,0.83870000,0.84300000,0.77860000,0.8144,93434247.70000000
3,0.81440000,0.86600000,0.71100000,0.723,111749347.90000000
4,0.72270000,0.77430000,0.72210000,0.7536,64417501.50000000
5,0.75360000,0.75370000,0.66000000,0.6929,124089007.80000000
6,0.69300000,0.71880000,0.68240000,0.6987,45127548.00000000
7,0.69880000,0.71140000,0.67220000,0.6786,32905202.00000000
8,0.67880000,0.72800000,0.66200000,0.6889,58404318.90000000
9,0.68880000,0.74120000,0.67100000,0.7168,93635522.80000000
10,0.71700000,0.76210000,0.71020000,0.7393,45555630.50000000
11,0.73930000,0.74840000,0.69880000,0.7256,43152084.10000000
12,0.72570000,0.79000000,0.72270000,0.7363,102517366.60000000
13,0.73620000,0.75030000,0.70510000,0.727,50466676.40000000
14,0.72710000,0.72720000,0.70070000,0.7194,17354642.70000000
15,0.71920000,0.72830000,0.68340000,0.6879,29597277.90000000
16,0.68780000,0.70600000,0.68300000,0.6978,25720579.10000000
17,0.69770000,0.70950000,0.63720000,0.6467,64190766.10000000
18,0.64680000,0.64890000,0.61570000,0.6283,29704574.10000000
19,0.62820000,0.63710000,0.60010000,0.6017,38308488.90000000
20,0.60160000,0.60750000,0.56350000,0.5811,49326544.20000000
21,0.58110000,0.60630000,0.53700000,0.5643,58617267.10000000
22,0.56440000,0.58080000,0.56220000,0.5761,20608674.40000000
23,0.57610000,0.58240000,0.55340000,0.5639,27691115.80000000
24,0.56400000,0.57620000,0.53850000,0.5499,30035717.30000000
25,0.54980000,0.55500000,0.50960000,0.5306,58008509.80000000
26,0.53060000,0.53330000,0.50900000,0.5207,20974249.30000000
27,0.52070000,0.54290000,0.51500000,0.5316,21830048.90000000
28,0.53150000,0.54540000,0.50500000,0.5122,37368478.00000000
29,0.51220000,0.51770000,0.44630000,0.4684,76476852.60000000
30,0.46820000,0.47640000,0.45440000,0.4633,31286354.10000000
31,0.46330000,0.46970000,0.45300000,0.4611,21609892.00000000
32,0.46120000,0.47710000,0.46030000,0.4676,21454583.10000000
33,0.46760000,0.47550000,0.44860000,0.4506,28195220.70000000
34,0.45060000,0.48350000,0.44630000,0.4649,24569882.80000000
35,0.46480000,0.47240000,0.45510000,0.4635,17337008.70000000
36,0.46350000,0.46370000,0.42860000,0.4394,31913058.30000000
37,0.43950000,0.45400000,0.43020000,0.4354,25389953.50000000
38,0.43530000,0.43760000,0.40740000,0.4119,23703599.90000000
39,0.41190000,0.42780000,0.39850000,0.4102,32842296.50000000
40,0.41020000,0.41410000,0.37250000,0.3729,49167825.40000000
41,0.37280000,0.38870000,0.36280000,0.3689,48248025.40000000
42,0.36890000,0.39860000,0.35950000,0.3907,22960554.70000000
43,0.39080000,0.40120000,0.38380000,0.3926,20968469.70000000
44,0.39260000,0.42570000,0.38490000,0.4143,51679223.80000000
45,0.41430000,0.42280000,0.39910000,0.4112,38357301.10000000
46,0.41110000,0.42130000,0.40800000,0.4131,15801707.10000000
47,0.41310000,0.42960000,0.39640000,0.4209,28135003.20000000
48,0.42100000,0.42130000,0.38030000,0.387,33808273.40000000
49,0.38690000,0.44220000,0.38300000,0.4287,66540775.60000000
50,0.42870000,0.44300000,0.42310000,0.4354,23748881.60000000
51,0.43540000,0.43550000,0.41480000,0.4247,22634753.50000000
52,0.42450000,0.43530000,0.40930000,0.4155,28132113.20000000
53,0.41540000,0.41760000,0.39160000,0.4086,27514068.30000000
54,0.40860000,0.41520000,0.39560000,0.3988,10539035.00000000
55,0.39890000,0.41320000,0.39170000,0.4007,17403007.40000000
56,0.40060000,0.40880000,0.39770000,0.3994,23003984.10000000
57,0.39940000,0.40100000,0.37230000,0.3736,33096313.70000000
58,0.37350000,0.39930000,0.37140000,0.3866,19854248.70000000
59,0.38670000,0.39770000,0.33410000,0.3364,41678918.00000000
60,0.33610000,0.34110000,0.32640000,0.3307,27543977.10000000
61,0.33050000,0.33320000,0.30810000,0.3088,46640910.60000000
62,0.30870000,0.31840000,0.30750000,0.3158,15095077.50000000
63,0.31600000,0.33370000,0.31460000,0.3173,22097091.40000000
64,0.31740000,0.31770000,0.27410000,0.2764,49693285.30000000
65,0.27650000,0.30890000,0.27480000,0.302,46206061.90000000
66,0.30210000,0.30860000,0.25630000,0.2622,58835295.80000000
67,0.26200000,0.26260000,0.23460000,0.2469,56632931.10000000
68,0.24690000,0.27380000,0.24690000,0.2596,40824534.40000000
69,0.25960000,0.26140000,0.23420000,0.245,55389338.80000000
70,0.24500000,0.25990000,0.24350000,0.2518,19801690.70000000
71,0.25170000,0.25750000,0.22960000,0.2315,25659383.50000000
72,0.23150000,0.25190000,0.22960000,0.2498,27590002.40000000
73,0.24980000,0.26200000,0.24310000,0.2613,41355980.50000000
74,0.26120000,0.26960000,0.24840000,0.2516,21715614.20000000
75,0.25150000,0.27110000,0.24430000,0.264,29152242.70000000
76,0.26400000,0.26690000,0.24730000,0.2642,32520102.60000000
77,0.26430000,0.28390000,0.25800000,0.2702,49217359.50000000
78,0.27020000,0.27080000,0.25200000,0.2538,18383801.90000000
79,0.25370000,0.28030000,0.25360000,0.2717,52070184.70000000
80,0.27180000,0.28420000,0.26550000,0.2795,40234849.00000000
81,0.27950000,0.30010000,0.25590000,0.2679,95644538.30000000
82,0.26810000,0.27260000,0.25550000,0.2679,20178977.70000000
83,0.26790000,0.27320000,0.25020000,0.2703,20278301.30000000
84,0.27040000,0.27460000,0.26670000,0.2729,14497872.00000000
85,0.27290000,0.29480000,0.26730000,0.2837,48149716.20000000
86,0.28360000,0.28370000,0.25690000,0.2608,19784739.10000000
87,0.26090000,0.26310000,0.25130000,0.2584,16718289.10000000
88,0.25840000,0.26490000,0.24320000,0.2517,19308328.60000000
89,0.25160000,0.25230000,0.24350000,0.2472,16737435.50000000
90,0.24740000,0.24980000,0.23930000,0.2403,11126666.60000000
91,0.24040000,0.24980000,0.23900000,0.2443,14662037.20000000
92,0.24430000,0.24660000,0.23760000,0.2452,11111509.50000000
93,0.24520000,0.25220000,0.24040000,0.2506,13252172.10000000
94,0.25050000,0.25560000,0.23140000,0.2336,14609622.80000000
95,0.23350000,0.23350000,0.21220000,0.2139,24622662.40000000
96,0.21390000,0.21540000,0.20000000,0.2049,30106950.50000000
97,0.20500000,0.24050000,0.20450000,0.2309,37645638.10000000
98,0.23100000,0.24300000,0.22660000,0.235,12531918.10000000
99,0.23510000,0.23840000,0.23000000,0.2331,9060144.60000000
100,0.23320000,0.23340000,0.22690000,0.2279,7467244.50000000
101,0.22790000,0.23820000,0.22540000,0.2278,16812838.20000000
102,0.22770000,0.22790000,0.21040000,0.213,9181351.90000000
103,0.21300000,0.23130000,0.20920000,0.2272,10942936.30000000
104,0.22730000,0.24460000,0.22590000,0.2396,17641255.90000000
105,0.23970000,0.23970000,0.22190000,0.2256,30428431.50000000
106,0.22570000,0.24330000,0.22050000,0.2299,28873638.00000000
107,0.22990000,0.23860000,0.22610000,0.2333,7958332.50000000
108,0.23340000,0.24980000,0.22840000,0.2414,29395368.10000000
109,0.24150000,0.24590000,0.23550000,0.2388,19291369.00000000
110,0.23880000,0.24030000,0.23330000,0.2356,8671733.00000000
111,0.23560000,0.24340000,0.22850000,0.2321,13176730.20000000
112,0.23210000,0.27300000,0.23050000,0.2674,34359834.40000000
113,0.26740000,0.26790000,0.24780000,0.2487,43396863.90000000
114,0.24850000,0.24880000,0.23210000,0.2347,22861332.10000000
115,0.23470000,0.24080000,0.22850000,0.2309,13673308.20000000
116,0.23090000,0.23150000,0.21710000,0.2229,20557902.70000000
117,0.22280000,0.22340000,0.21280000,0.2142,15761483.40000000
