,open,high,low,close,volume
0,47016.56000000,47040.52000000,45678.00000000,46216.93,11082.99437000
1,46216.93000000,47555.55000000,46208.37000000,47192.55,5757.82496000
2,47192.56000000,47344.69000000,46715.39000000,46758.87,3989.85668000
3,46758.87000000,47954.63000000,46756.30000000,47754.48,5426.15442000
4,47754.47000000,47844.97000000,47222.22000000,47722.65,4430.62719000
5,47722.66000000,47750.00000000,46770.23000000,47081.28,4333.79921000
6,47081.28000000,47499.45000000,46970.05000000,47235.5,3192.42495000
7,47238.89000000,47990.00000000,47013.50000000,47401.14,5588.49061000
8,47401.14000000,47469.34000000,46654.00000000,47286.18,5225.74563000
9,47286.18000000,47289.11000000,46722.39000000,47078.64,4601.43990000
10,47078.64000000,47431.67000000,46778.00000000,47378.0,5494.24728000
11,47378.00000000,47570.00000000,46263.29000000,46577.15,10001.22580000
12,46577.16000000,46740.96000000,45696.00000000,46446.1,7565.16412000
13,46446.10000000,46549.19000000,45934.50000000,46151.66,6545.02326000
14,46148.23000000,46772.41000000,46058.51000000,46733.77,7480.62333000
15,46733.78000000,47557.54000000,46410.00000000,46555.01,10623.15334000
16,46555.00000000,46719.78000000,45500.00000000,45832.01,10842.61367000
17,45832.01000000,46549.00000000,45722.21000000,46302.8,4038.00403000
18,46302.79000000,47070.00000000,46110.00000000,46270.99,6805.47625000
19,46271.00000000,46822.17000000,45803.67000000,46010.72,8262.85561000
20,46010.72000000,46365.68000000,42500.00000000,43451.13,32677.78268000
21,43451.14000000,43816.00000000,42600.05000000,43050.01,12613.72656000
22,43050.00000000,43275.80000000,42430.58000000,42878.34,10193.75478000
23,42878.33000000,43267.09000000,42632.44000000,43005.29,10316.79898000
24,43005.30000000,43581.30000000,42982.05000000,43082.31,5756.09273000
25,43082.30000000,43145.83000000,41000.00000000,41851.33,17732.69561000
26,41851.33000000,42883.47000000,41206.90000000,42258.62,11827.38146000
27,42258.62000000,42766.17000000,40610.00000000,41993.48,20042.64297000
28,41993.68000000,42054.00000000,41336.82000000,41566.48,5233.78814000
29,41566.48000000,42246.37000000,41558.00000000,41971.7,4534.95589000
30,41971.70000000,42200.00000000,41739.00000000,41940.22,4468.08134000
31,41940.22000000,42063.23000000,40801.00000000,40842.12,9302.49574000
32,40842.11000000,42300.00000000,40501.00000000,41679.74,14647.19814000
33,41679.74000000,42170.11000000,41388.13000000,41765.9,5734.42447000
34,41765.89000000,41990.00000000,41410.00000000,41857.62,4119.55756000
35,41857.62000000,42200.00000000,41200.02000000,42094.59,5891.24867000
36,42094.48000000,42786.70000000,41766.43000000,41864.62,6979.16356000
37,41864.62000000,42248.50000000,41601.00000000,42031.29,4758.70076000
38,42031.30000000,42149.31000000,41455.00000000,41565.34,5639.65487000
39,41565.33000000,42121.63000000,39650.00000000,41184.45,33143.22580000
40,41184.44000000,41985.00000000,41118.36000000,41822.49,7187.58876000
41,41822.49000000,42400.01000000,41544.64000000,42110.0,7002.29723000
42,42110.00000000,42627.66000000,41575.00000000,41809.99,7887.61270000
43,41809.99000000,43100.00000000,41268.93000000,42549.01,16384.72169000
44,42549.01000000,43095.26000000,42353.07000000,42729.29,6021.80567000
45,42729.29000000,42965.00000000,42450.00000000,42705.51,4522.92810000
46,42705.51000000,43443.60000000,42463.13000000,42935.92,8149.04754000
47,42935.92000000,44078.40000000,42874.01000000,43841.57,15048.47287000
