,open,high,low,close,volume
0,0.20200000,0.20210000,0.19500000,0.1986,1656262.00000000
1,0.19830000,0.20470000,0.19780000,0.203,916968.00000000
2,0.20340000,0.20490000,0.20000000,0.201,674702.00000000
3,0.20110000,0.20350000,0.19950000,0.2032,1302567.00000000
4,0.20320000,0.20500000,0.20200000,0.2044,783870.00000000
5,0.20460000,0.20510000,0.19990000,0.2012,1024063.00000000
6,0.20120000,0.20800000,0.20070000,0.2069,1918610.00000000
7,0.20690000,0.22450000,0.20550000,0.2153,9583109.00000000
8,0.21540000,0.24390000,0.21020000,0.2264,28545988.00000000
9,0.22650000,0.22740000,0.21800000,0.2182,4267654.00000000
10,0.21810000,0.23850000,0.21360000,0.2164,13109018.00000000
11,0.21610000,0.21770000,0.20800000,0.2106,4379764.00000000
12,0.21050000,0.21180000,0.20500000,0.2099,3084067.00000000
13,0.20940000,0.21030000,0.20430000,0.2061,1715175.00000000
14,0.20580000,0.21160000,0.20560000,0.2112,1566220.00000000
15,0.21100000,0.21250000,0.20750000,0.2077,2626896.00000000
16,0.20770000,0.20840000,0.20290000,0.2048,2526114.00000000
17,0.20500000,0.21290000,0.20420000,0.2079,2089637.00000000
18,0.20800000,0.21310000,0.20660000,0.2073,2231239.00000000
19,0.20720000,0.20900000,0.20500000,0.2051,1766935.00000000
20,0.20500000,0.20750000,0.19000000,0.1997,5407948.00000000
21,0.19970000,0.20230000,0.19190000,0.1938,2121460.00000000
22,0.19400000,0.19620000,0.18940000,0.1918,1497633.00000000
23,0.19150000,0.19810000,0.18870000,0.197,2123116.00000000
24,0.19680000,0.20770000,0.19630000,0.1975,3258629.00000000
25,0.19780000,0.20010000,0.18780000,0.1923,2241000.00000000
26,0.19230000,0.19700000,0.18780000,0.1945,1830857.00000000
27,0.19450000,0.19890000,0.19140000,0.1965,2984804.00000000
28,0.19650000,0.19660000,0.19000000,0.1922,912498.00000000
29,0.19260000,0.19650000,0.19010000,0.192,2521962.00000000
30,0.19190000,0.19570000,0.19000000,0.1957,2374813.00000000
31,0.19530000,0.19550000,0.18000000,0.1804,2522683.00000000
32,0.18060000,0.18210000,0.17270000,0.1767,4559806.00000000
33,0.17670000,0.18110000,0.17520000,0.1791,1122297.00000000
34,0.17880000,0.18020000,0.17580000,0.1796,658241.00000000
35,0.17950000,0.18360000,0.17730000,0.1826,1519317.00000000
36,0.18250000,0.19780000,0.18200000,0.1826,4507927.00000000
37,0.18270000,0.18680000,0.18190000,0.1847,429523.00000000
38,0.18450000,0.18460000,0.17730000,0.1804,1369455.00000000
39,0.18030000,0.19190000,0.16950000,0.1732,5308462.00000000
40,0.17330000,0.17590000,0.17130000,0.1734,840686.00000000
41,0.17390000,0.17840000,0.17230000,0.1769,658520.00000000
42,0.17700000,0.18160000,0.17410000,0.1765,1238358.00000000
43,0.17680000,0.18200000,0.17430000,0.1793,1370289.00000000
44,0.17870000,0.17980000,0.17780000,0.1789,1132454.00000000
45,0.17930000,0.18090000,0.17780000,0.1783,1476629.00000000
46,0.17840000,0.18280000,0.17820000,0.1815,2901760.00000000
47,0.18150000,0.18810000,0.18100000,0.1845,2738912.00000000
48,0.18450000,0.18560000,0.18300000,0.1844,1194216.00000000
49,0.18490000,0.18530000,0.17950000,0.1822,1136227.00000000
50,0.18190000,0.18690000,0.18100000,0.1821,1553980.00000000
51,0.18240000,0.18480000,0.17640000,0.1775,2273586.00000000
52,0.17720000,0.17940000,0.17550000,0.1761,785173.00000000
53,0.17610000,0.17960000,0.17500000,0.1786,1165992.00000000
54,0.17870000,0.17930000,0.17110000,0.1729,2310223.00000000
55,0.17280000,0.17750000,0.17200000,0.1752,2140172.00000000
56,0.17500000,0.17820000,0.17490000,0.1764,889545.00000000
57,0.17730000,0.17850000,0.17610000,0.1776,440946.00000000
58,0.17760000,0.18890000,0.17720000,0.1815,3971051.00000000
59,0.18120000,0.18980000,0.17770000,0.1868,4185779.00000000
60,0.18680000,0.18840000,0.18230000,0.1829,2771082.00000000
61,0.18280000,0.18380000,0.18000000,0.1817,1389273.00000000
62,0.18160000,0.18790000,0.18140000,0.1851,3497294.00000000
63,0.18510000,0.18670000,0.18270000,0.1836,2123362.00000000
64,0.18360000,0.18870000,0.18180000,0.1855,1879286.00000000
65,0.18580000,0.18890000,0.18000000,0.1813,1558504.00000000
66,0.18150000,0.18190000,0.17600000,0.1769,2347487.00000000
67,0.17690000,0.18150000,0.17500000,0.177,3108657.00000000
68,0.17680000,0.17890000,0.17420000,0.1768,1322844.00000000
69,0.17680000,0.17850000,0.17490000,0.1761,710938.00000000
70,0.17600000,0.17860000,0.17000000,0.172,2920892.00000000
71,0.17200000,0.17240000,0.16560000,0.166,2473514.00000000
72,0.16620000,0.17420000,0.16500000,0.1716,1531099.00000000
73,0.17170000,0.17370000,0.16860000,0.1699,680859.00000000
74,0.16970000,0.17240000,0.16640000,0.17,1197124.00000000
75,0.17050000,0.18180000,0.16860000,0.1729,4974264.00000000
76,0.17310000,0.17490000,0.16670000,0.1669,1617597.00000000
77,0.16700000,0.17470000,0.16670000,0.1729,1044442.00000000
78,0.17280000,0.17470000,0.17000000,0.1718,1370111.00000000
79,0.17180000,0.17630000,0.17060000,0.174,1554437.00000000
80,0.17390000,0.17470000,0.16210000,0.1639,1592313.00000000
81,0.16400000,0.16450000,0.14540000,0.1489,9364542.54800000
82,0.14880000,0.14970000,0.14450000,0.1455,3623919.00000000
83,0.14550000,0.14590000,0.13700000,0.1403,7097862.00000000
84,0.14030000,0.14210000,0.12230000,0.1255,11589806.00000000
85,0.12550000,0.12860000,0.11390000,0.1155,6897035.00000000
86,0.11550000,0.11760000,0.09310000,0.106,16934523.60000000
87,0.10590000,0.11040000,0.10130000,0.1032,6515945.00000000
88,0.10310000,0.11050000,0.10050000,0.1073,4356262.00000000
89,0.10720000,0.11030000,0.10530000,0.1095,3336698.00000000
90,0.10950000,0.11570000,0.10860000,0.1117,4988457.00000000
91,0.11160000,0.11730000,0.10540000,0.1062,5509483.00000000
92,0.10640000,0.10780000,0.10140000,0.1078,4192308.00000000
93,0.10750000,0.10770000,0.09930000,0.1005,4553381.00000000
94,0.10040000,0.10190000,0.09220000,0.0945,8268094.00000000
95,0.09450000,0.10000000,0.09120000,0.0993,5826313.00000000
96,0.09960000,0.10500000,0.09830000,0.1035,3130498.00000000
97,0.10350000,0.10350000,0.09920000,0.1001,1846465.00000000
98,0.10000000,0.10370000,0.09810000,0.1019,2144573.00000000
99,0.10170000,0.10480000,0.09920000,0.1045,2670243.00000000
100,0.10420000,0.10460000,0.10070000,0.1029,1366769.00000000
101,0.10310000,0.10880000,0.10220000,0.1086,2053631.00000000
102,0.10830000,0.11120000,0.10660000,0.1107,2621971.00000000
103,0.11040000,0.11450000,0.10830000,0.1106,4062759.00000000
104,0.11060000,0.11480000,0.10200000,0.1047,7531619.00000000
105,0.10470000,0.10690000,0.10010000,0.1036,3309594.00000000
106,0.10360000,0.10790000,0.10270000,0.1073,2019222.00000000
107,0.10730000,0.10970000,0.10660000,0.1075,2137309.00000000
108,0.10700000,0.10780000,0.10250000,0.1067,2316334.00000000
109,0.10660000,0.11020000,0.10620000,0.1101,2284434.00000000
110,0.11020000,0.11490000,0.10770000,0.1103,4767387.00000000
111,0.11020000,0.11380000,0.10680000,0.1106,2408658.00000000
112,0.11080000,0.11220000,0.10800000,0.1106,2765342.00000000
113,0.11060000,0.11410000,0.11020000,0.1133,2600546.00000000
114,0.11310000,0.11450000,0.11200000,0.1125,1217718.00000000
115,0.11260000,0.11510000,0.11060000,0.1124,2539320.00000000
116,0.11240000,0.11880000,0.11220000,0.1152,18006673.00000000
117,0.11540000,0.11670000,0.11460000,0.1161,1172319.00000000
118,0.11640000,0.11750000,0.11340000,0.1143,2154069.00000000
119,0.11430000,0.11470000,0.11000000,0.1124,2127907.00000000
120,0.11220000,0.11240000,0.10710000,0.1088,1826071.00000000
121,0.10900000,0.10920000,0.10450000,0.1066,1393246.00000000
122,0.10680000,0.10930000,0.10610000,0.1086,903205.00000000
123,0.10860000,0.11490000,0.10610000,0.1134,2274893.00000000
124,0.11340000,0.11440000,0.11130000,0.1123,1397325.00000000
125,0.11220000,0.11390000,0.11140000,0.1129,753225.00000000
126,0.11240000,0.11470000,0.11050000,0.112,1578436.00000000
127,0.11180000,0.11400000,0.11100000,0.1133,1616104.00000000
128,0.11330000,0.11350000,0.11100000,0.1128,1758678.00000000
129,0.11290000,0.11640000,0.11200000,0.1125,2965236.00000000
130,0.11280000,0.11630000,0.11140000,0.1151,1400442.00000000
131,0.11500000,0.11570000,0.10840000,0.1099,6594454.00000000
132,0.10980000,0.11800000,0.10550000,0.107,7718199.00000000
133,0.10680000,0.10860000,0.10620000,0.1077,1369081.00000000
134,0.10770000,0.10930000,0.10540000,0.1088,2581835.00000000
135,0.10870000,0.11200000,0.10670000,0.1082,4267209.00000000
136,0.10820000,0.11290000,0.10680000,0.1101,3039802.00000000
137,0.11010000,0.11600000,0.10940000,0.114,3149030.00000000
138,0.11420000,0.11580000,0.11280000,0.1138,2127810.00000000
139,0.11370000,0.12200000,0.11310000,0.1203,4767707.00000000
140,0.12050000,0.12220000,0.11710000,0.1207,4178450.00000000
141,0.12070000,0.12410000,0.11900000,0.1238,3534756.00000000
142,0.12340000,0.12390000,0.11810000,0.1202,7780968.00000000
143,0.12020000,0.17690000,0.11930000,0.1619,130314471.00000000
144,0.16170000,0.16420000,0.14500000,0.1458,81689877.00000000
145,0.14570000,0.16260000,0.14290000,0.1497,49379008.00000000
146,0.14990000,0.17200000,0.14700000,0.1575,77082174.00000000
147,0.15750000,0.16370000,0.14450000,0.1467,47427366.00000000
148,0.14660000,0.14740000,0.13820000,0.1428,14161091.00000000
149,0.14280000,0.14780000,0.13940000,0.1455,8986980.00000000
150,0.14550000,0.14610000,0.14030000,0.1448,8154450.00000000
