,open,high,low,close,volume
0,5.41700000,5.52700000,5.14200000,5.319,7296306.30000000
1,5.31600000,5.77000000,5.31500000,5.698,6085736.40000000
2,5.69800000,6.04200000,5.67700000,5.922,9808804.90000000
3,5.92500000,6.29800000,5.72000000,6.232,10456272.30000000
4,6.22900000,6.29900000,6.04500000,6.203,7494733.30000000
5,6.20300000,6.45800000,6.02800000,6.361,8372840.52600000
6,6.36100000,6.45000000,6.11200000,6.145,5711862.90000000
7,6.14500000,6.21100000,5.95200000,6.075,8043789.00000000
8,6.07500000,6.09100000,5.90500000,6.041,5393932.60000000
9,6.04000000,6.04200000,5.73200000,5.871,6726653.60000000
10,5.87200000,6.40300000,5.80700000,6.402,8399769.50000000
11,6.40300000,6.73800000,6.21300000,6.399,16725962.62600000
12,6.39900000,6.59000000,6.14100000,6.518,9518759.90000000
13,6.51800000,6.80000000,6.30500000,6.696,12878939.30600000
14,6.69400000,6.70500000,6.31000000,6.39,8026101.20000000
15,6.39300000,6.60700000,6.19800000,6.224,8124635.60000000
16,6.22400000,6.32200000,6.05200000,6.078,6225026.80000000
17,6.07800000,6.36000000,6.05200000,6.315,4513683.80000000
18,6.31500000,6.43000000,6.10500000,6.164,4940288.10000000
19,6.16400000,6.18500000,5.80000000,5.813,7454170.90000000
20,5.81500000,5.92200000,4.99100000,5.403,18999233.70000000
21,5.40100000,5.53900000,5.18600000,5.292,12897383.40000000
22,5.29200000,5.36000000,5.07100000,5.227,9602266.60000000
23,5.22600000,5.45000000,5.12600000,5.399,7766457.30000000
24,5.39900000,5.50000000,5.27400000,5.403,5370128.80000000
25,5.40400000,5.43400000,4.72000000,4.998,14100397.50000000
26,4.99900000,5.23000000,4.79500000,5.056,9604685.60000000
27,5.05800000,5.21100000,4.83900000,5.123,10942741.80000000
28,5.12400000,5.18800000,4.94300000,5.003,4187497.00000000
29,5.00400000,5.26700000,4.95800000,5.156,5898916.90000000
30,5.15900000,5.17900000,5.06600000,5.099,4898905.80000000
31,5.10200000,5.11000000,4.47500000,4.491,8756889.50000000
32,4.48700000,4.76000000,4.37200000,4.602,9505599.30000000
33,4.60300000,4.74400000,4.55900000,4.674,6364077.30000000
34,4.67200000,4.71000000,4.50900000,4.645,5764032.30000000
35,4.64500000,4.83700000,4.51800000,4.833,6909930.50000000
36,4.83100000,4.87100000,4.49500000,4.503,6159130.70000000
37,4.49900000,4.60600000,4.37700000,4.522,8243788.30000000
38,4.52300000,4.61700000,4.39300000,4.431,6023179.00000000
39,4.43100000,4.46100000,4.01000000,4.211,18084365.60000000
40,4.21100000,4.34100000,4.16800000,4.317,3866111.70000000
41,4.31700000,4.46300000,4.25700000,4.371,4571447.50000000
42,4.37200000,4.48700000,4.32200000,4.408,5610067.30000000
43,4.40700000,4.67600000,4.25600000,4.604,8226546.80000000
44,4.60600000,4.66800000,4.56700000,4.607,3635500.90000000
45,4.61000000,4.80300000,4.57600000,4.8,5030925.50000000
46,4.79900000,4.81100000,4.68500000,4.753,5893912.10000000
47,4.75300000,4.96800000,4.74200000,4.936,8572849.20000000
48,4.93600000,5.01800000,4.85300000,4.904,4141233.10000000
49,4.90200000,5.00900000,4.75600000,4.817,5516032.20000000
50,4.81700000,4.99200000,4.78400000,4.874,4648745.30000000
51,4.87200000,5.08000000,4.82000000,5.053,10942549.30000000
52,5.05400000,5.18800000,4.95400000,5.025,7031194.60000000
53,5.02500000,5.11700000,4.82400000,4.843,6803714.40000000
54,4.84600000,4.94000000,4.65100000,4.701,6841439.30000000
55,4.69900000,5.15900000,4.67100000,5.034,8719744.50000000
56,5.03500000,5.40000000,4.98800000,5.341,6329868.90000000
57,5.34200000,5.40400000,5.24900000,5.311,3549848.60000000
58,5.31100000,5.48000000,5.25800000,5.4,6163794.10000000
59,5.40000000,5.45000000,5.27300000,5.306,5397134.20000000
60,5.30600000,5.47700000,5.26500000,5.276,3164501.60000000
61,5.27700000,5.36900000,5.15700000,5.181,3878136.60000000
62,5.18000000,5.25500000,5.11200000,5.163,3842600.60000000
63,5.16200000,5.18900000,5.05900000,5.126,4785324.70000000
64,5.12800000,5.17500000,5.06500000,5.141,2555842.60000000
65,5.14200000,5.17800000,4.77600000,4.818,6063904.40000000
66,4.81800000,4.87800000,4.78300000,4.837,3745508.70000000
67,4.83700000,5.04400000,4.82000000,4.859,7877436.20000000
68,4.85800000,4.85800000,4.60400000,4.78,4862406.10000000
69,4.78000000,4.84900000,4.62300000,4.661,3777085.90000000
70,4.66200000,4.75100000,4.53500000,4.646,4718313.90000000
71,4.64600000,4.67200000,4.41400000,4.423,5864712.40000000
72,4.42300000,4.65300000,4.40000000,4.554,4043455.40000000
73,4.55300000,4.57100000,4.29400000,4.384,4717318.10000000
74,4.38200000,4.39400000,4.21100000,4.349,5745779.00000000
75,4.35000000,4.43700000,4.29100000,4.383,6796692.30000000
76,4.38100000,4.39200000,4.18000000,4.188,3753037.80000000
77,4.18800000,4.30600000,4.16400000,4.287,2589130.80000000
78,4.28800000,4.36700000,4.23600000,4.325,3597646.10000000
79,4.32500000,4.55900000,4.26100000,4.462,6758496.70000000
80,4.46200000,4.51000000,3.93700000,3.964,8081471.60000000
81,3.96400000,4.05800000,3.74200000,3.841,8545432.50000000
82,3.84200000,3.92200000,3.73200000,3.775,5639300.00000000
83,3.77600000,3.78200000,3.58000000,3.662,10094903.70000000
84,3.66000000,3.72700000,3.21000000,3.308,13467229.40000000
85,3.30500000,3.45400000,3.06900000,3.101,9368754.80000000
86,3.10000000,3.15600000,2.55700000,2.908,20331637.90000000
87,2.90800000,3.09900000,2.78800000,2.809,11758478.90000000
88,2.80900000,2.95900000,2.72600000,2.885,5871065.70000000
89,2.88400000,3.04700000,2.84800000,2.972,5712498.90000000
90,2.97000000,3.14800000,2.92000000,3.028,6637102.70000000
91,3.02800000,3.08600000,2.89100000,2.942,5595428.00000000
92,2.94200000,3.05700000,2.82400000,3.019,5165834.20000000
93,3.01800000,3.02200000,2.77700000,2.79,3955721.10000000
94,2.79100000,2.81500000,2.44800000,2.48,11053654.70000000
95,2.47900000,2.65500000,2.36400000,2.632,16580090.50000000
