,open,high,low,close,volume
0,1.44000000,17.79000000,1.44000000,4.867,10203976.82000000
1,4.86800000,4.99000000,4.42000000,4.687,1933156.53000000
2,4.68800000,5.29000000,4.53900000,4.796,3737797.44000000
3,4.79600000,5.18000000,4.65200000,4.787,2652105.72000000
4,4.78700000,4.80000000,4.16400000,4.237,2027722.30000000
5,4.23400000,4.41000000,4.02000000,4.296,1087092.52000000
6,4.29600000,4.38000000,4.06000000,4.171,604963.97000000
7,4.17100000,4.18400000,3.86200000,3.903,1435986.25000000
8,3.90700000,4.04100000,3.80200000,4.033,1141063.31000000
9,4.03500000,4.06000000,3.70500000,3.872,754449.91000000
10,3.87400000,4.43100000,3.86400000,4.399,1389604.01000000
11,4.39200000,5.10000000,4.38500000,4.578,5898906.15000000
12,4.57800000,4.67400000,4.05500000,4.13,2542848.03000000
13,4.13000000,4.46200000,4.04600000,4.45,1087144.19000000
14,4.44900000,4.67000000,4.24100000,4.379,1014081.34000000
15,4.37600000,4.41300000,4.15000000,4.242,949135.31000000
16,4.24200000,4.25200000,4.01100000,4.144,1108741.05000000
17,4.14000000,4.18300000,4.02200000,4.041,477760.95000000
18,4.03400000,4.31400000,4.00000000,4.189,675572.84000000
19,4.19000000,4.78000000,4.11500000,4.408,2319049.59000000
20,4.40400000,4.52900000,4.31600000,4.376,1124281.43000000
21,4.37600000,4.60800000,4.36200000,4.516,782109.91000000
22,4.51600000,4.64900000,4.33500000,4.476,928917.08000000
23,4.47500000,4.47600000,4.12000000,4.248,1501991.06000000
24,4.24800000,4.77500000,4.15100000,4.685,5065955.42000000
25,4.68200000,5.07000000,4.58600000,4.894,2488892.90000000
26,4.89500000,5.47000000,4.67500000,4.83,8045752.76000000
27,4.82700000,4.90200000,4.39000000,4.461,4221618.41000000
28,4.46200000,4.73000000,4.29600000,4.404,3892212.33000000
29,4.40400000,4.48100000,4.14600000,4.313,1656955.86000000
30,4.31200000,4.47300000,3.68800000,4.117,3482125.44000000
31,4.11400000,4.11900000,3.96900000,4.039,1774970.57000000
32,4.03900000,4.25000000,3.86000000,4.198,2731684.38000000
33,4.19900000,4.19900000,4.04700000,4.108,890286.15000000
34,4.11000000,4.11600000,3.92200000,4.037,894969.44000000
35,4.03700000,4.12000000,3.96400000,3.99,1241793.61000000
36,3.99100000,4.06500000,3.85000000,3.893,1505388.67000000
37,3.89500000,3.95200000,3.73800000,3.89,967602.63000000
38,3.88900000,3.93200000,3.69400000,3.757,1015570.74000000
39,3.76000000,3.76500000,3.65100000,3.707,1478509.90000000
40,3.70800000,3.79200000,3.53000000,3.601,1784943.60000000
41,3.60000000,3.66100000,3.52600000,3.647,773639.27000000
42,3.64700000,3.75000000,3.53000000,3.706,1055546.66000000
43,3.70700000,3.73000000,3.60900000,3.644,965706.64000000
44,3.64500000,3.66000000,3.56100000,3.596,1400618.13000000
45,3.59600000,3.86800000,3.59200000,3.698,1816439.40000000
46,3.69700000,3.89000000,3.66900000,3.755,1359209.56000000
47,3.75500000,3.92100000,3.71100000,3.813,2001107.52000000
48,3.81300000,3.87900000,3.77200000,3.814,1603339.13000000
49,3.81400000,3.87000000,3.71400000,3.808,1569975.06000000
50,3.80800000,3.80900000,3.61000000,3.644,806562.04000000
51,3.64500000,3.66600000,3.56700000,3.655,594438.94000000
52,3.65600000,3.76200000,3.61400000,3.638,531584.56000000
53,3.63800000,3.67000000,3.56600000,3.655,400014.86000000
54,3.65500000,3.98200000,3.61800000,3.713,2708806.82000000
55,3.71300000,3.73500000,3.58400000,3.734,1112893.86000000
56,3.73300000,5.28300000,3.72500000,5.041,11208123.96000000
57,5.03800000,8.22000000,4.99200000,7.16,15058994.62000000
58,7.17400000,7.76000000,6.60200000,7.315,7428822.38000000
59,7.31800000,8.86700000,7.03600000,7.106,10376309.13000000
60,7.10700000,8.50000000,6.87000000,8.383,10365733.95000000
61,8.38300000,8.98900000,7.81700000,8.691,6835058.64000000
62,8.67900000,9.34400000,8.34000000,9.166,5014574.99000000
63,9.16100000,9.21800000,8.23800000,8.702,4137589.69000000
64,8.70100000,8.77600000,7.94100000,8.214,3453288.91000000
65,8.21600000,9.65000000,7.94800000,8.56,3771522.67000000
66,8.56100000,9.11900000,8.36500000,8.573,2813558.57000000
67,8.57300000,10.55000000,8.55500000,10.384,7778766.64000000
68,10.38300000,13.66400000,9.80000000,13.026,11070294.00000000
69,13.02000000,16.20000000,10.69600000,11.617,13951894.22000000
70,11.63200000,14.20000000,11.13200000,13.056,7647123.62000000
71,13.04800000,14.30000000,8.58600000,8.684,10833812.62000000
72,8.69000000,8.91700000,6.92700000,7.217,16967290.58000000
73,7.21700000,7.67200000,6.53300000,7.181,7266185.10000000
74,7.17900000,7.68900000,6.95400000,7.407,3727123.45000000
75,7.40600000,7.75000000,6.56200000,7.08,4321295.46000000
76,7.08300000,7.30000000,6.75800000,6.941,3674059.66000000
77,6.94100000,7.21200000,6.61000000,6.806,2965105.29000000
78,6.80700000,7.03400000,6.63700000,6.822,2254829.71000000
79,6.82200000,7.46000000,6.77900000,7.048,4233571.66000000
80,7.04800000,7.07100000,6.02600000,6.121,4197287.89000000
81,6.11900000,6.29600000,6.04400000,6.203,1385735.19000000
82,6.20400000,6.21800000,5.68400000,5.837,2527000.69000000
83,5.83700000,5.98300000,5.67800000,5.805,1776567.58000000
84,5.80700000,5.96500000,5.75700000,5.801,1466045.78000000
85,5.80100000,5.91100000,5.61800000,5.851,1127168.23000000
86,5.84800000,6.47300000,5.75200000,6.35,4242552.26000000
87,6.34900000,6.36100000,5.83000000,5.901,2229654.35000000
88,5.90000000,6.02400000,5.80600000,5.956,1211501.60000000
89,5.94800000,6.14000000,5.88300000,6.076,1355851.28000000
90,6.07600000,6.24300000,5.90400000,6.068,1263328.28000000
91,6.06600000,6.13500000,5.86500000,5.881,1033390.53000000
92,5.88200000,5.99900000,5.81900000,5.945,960054.34000000
93,5.94900000,6.03100000,5.86400000,5.925,792497.65000000
94,5.92700000,6.13800000,5.84000000,5.881,1211771.43000000
95,5.88100000,5.88200000,5.21700000,5.405,3061877.24000000
96,5.40400000,5.56300000,5.35700000,5.415,1019032.43000000
97,5.41600000,5.49100000,5.41200000,5.461,500384.24000000
98,5.46300000,5.54700000,5.35500000,5.377,841057.60000000
99,5.37800000,5.41700000,5.25200000,5.263,905582.37000000
100,5.26500000,5.33700000,5.22000000,5.286,738236.17000000
101,5.28600000,5.31900000,5.21000000,5.249,614063.06000000
102,5.24900000,5.32000000,4.78700000,4.967,1603512.78000000
103,4.96600000,5.17500000,4.93000000,4.997,1071588.97000000
104,4.99800000,5.04300000,4.87100000,4.936,971172.69000000
105,4.93600000,4.99800000,4.88700000,4.902,455067.52000000
106,4.90400000,4.96400000,4.63300000,4.702,938162.80000000
107,4.70300000,4.84000000,4.52000000,4.572,2384691.70000000
108,4.57200000,5.72500000,4.55700000,5.138,11008359.55000000
109,5.13900000,5.59900000,5.01700000,5.495,3817375.31000000
110,5.49600000,5.64500000,5.13000000,5.317,3313803.09000000
111,5.31600000,5.38600000,5.04600000,5.158,2200982.77000000
112,5.15700000,5.36500000,4.97000000,4.999,2302155.88000000
113,5.00000000,5.10300000,4.96700000,4.997,829537.20000000
114,4.99800000,5.10500000,4.77700000,4.799,1313670.87000000
115,4.79800000,4.97400000,4.78400000,4.899,1659920.52000000
116,4.89800000,4.98400000,4.80100000,4.879,1203647.20000000
117,4.87800000,5.01800000,4.85400000,4.941,860890.72000000
118,4.94100000,5.03400000,4.85400000,4.886,1324512.70000000
119,4.88500000,4.99100000,4.81700000,4.965,2258653.57000000
120,4.96600000,5.31300000,4.91000000,5.238,3422586.09000000
121,5.23900000,5.24300000,5.05600000,5.061,1103037.76000000
122,5.06300000,5.06500000,4.90800000,4.984,1025813.47000000
123,4.98400000,5.15500000,4.94500000,5.033,1043421.08000000
124,5.02900000,5.17500000,5.02000000,5.096,1620919.55000000
125,5.09500000,5.53300000,5.08700000,5.483,1680161.86000000
126,5.48200000,5.61000000,5.20100000,5.262,2488718.41000000
127,5.26200000,5.55000000,5.20900000,5.503,1452470.92000000
128,5.50200000,5.52800000,5.22700000,5.303,1383528.18000000
129,5.30400000,5.32000000,5.22000000,5.311,519268.01000000
130,5.31100000,5.31100000,5.01400000,5.082,1089374.05000000
131,5.08200000,5.09000000,4.98000000,5.024,822384.19000000
132,5.02300000,5.04900000,4.90700000,4.914,737895.72000000
133,4.91400000,5.00900000,4.82400000,4.922,1274430.93000000
134,4.92400000,5.02700000,4.73500000,4.985,1442017.04000000
135,4.98500000,5.07100000,4.90900000,5.019,1223786.28000000
136,5.01900000,5.13000000,4.89800000,4.967,1443464.08000000
137,4.96700000,5.00600000,4.92400000,4.936,360493.41000000
138,4.93400000,5.09800000,4.88500000,5.034,574449.44000000
139,5.03100000,5.21400000,5.01400000,5.128,1119402.21000000
