,open,high,low,close,volume
0,0.30000000,4.94000000,0.30000000,3.982,21628559.64000000
1,3.98000000,4.57700000,3.72800000,3.809,39757292.20000000
2,3.80700000,4.44400000,3.67900000,4.295,28603319.38000000
3,4.29700000,4.35500000,3.75000000,4.013,15457819.97000000
4,4.01400000,4.24800000,3.93000000,4.045,11713064.87000000
5,4.04600000,4.08000000,3.49300000,3.557,13290615.47000000
6,3.55700000,3.76100000,3.46200000,3.513,7037455.92000000
7,3.51300000,3.53300000,3.14800000,3.252,8338510.61000000
8,3.25300000,3.55400000,3.16900000,3.42,5140930.62000000
9,3.41800000,3.51000000,3.25900000,3.427,4970807.55000000
10,3.42800000,3.71700000,3.36800000,3.443,8897815.67000000
11,3.44300000,3.52400000,3.28500000,3.352,3907087.90000000
12,3.35100000,3.54100000,3.26700000,3.414,4547845.22000000
13,3.41300000,3.62300000,3.30700000,3.392,6481250.59000000
14,3.39100000,3.68900000,3.36900000,3.606,6089158.95000000
15,3.60500000,3.71400000,3.56000000,3.577,3442216.24000000
16,3.57500000,3.62300000,3.44800000,3.477,3055336.99000000
17,3.47600000,3.47600000,3.34900000,3.417,4361372.94000000
18,3.41600000,3.43500000,3.20200000,3.227,4280474.60000000
19,3.22600000,3.23300000,3.16900000,3.181,3385279.38000000
20,3.18100000,3.23400000,3.05300000,3.094,4212031.57000000
21,3.09500000,3.28600000,3.05200000,3.197,4603126.36000000
22,3.19700000,3.31400000,3.16500000,3.264,3943963.68000000
23,3.26400000,3.32500000,3.18100000,3.292,2378755.22000000
24,3.29100000,3.58700000,3.28400000,3.411,5768276.64000000
25,3.41100000,3.55000000,3.31200000,3.547,3839428.47000000
26,3.54600000,3.67600000,3.46300000,3.499,5713779.22000000
27,3.49900000,3.51200000,3.30300000,3.361,2460413.21000000
28,3.36200000,3.47200000,3.33600000,3.396,2548642.09000000
29,3.39600000,3.79800000,3.37200000,3.621,9034660.68000000
30,3.62100000,4.04600000,3.61200000,3.906,16987725.93000000
31,3.90500000,3.94900000,3.68200000,3.724,5022640.92000000
32,3.72700000,4.14800000,3.63500000,4.131,10368029.17000000
33,4.13100000,4.16400000,3.88000000,4.041,10007808.14000000
34,4.04300000,4.06700000,3.62700000,3.737,9046150.16000000
35,3.73700000,3.76000000,3.57300000,3.667,4543876.86000000
36,3.66600000,3.85700000,3.61400000,3.731,5293225.87000000
