,open,high,low,close,volume
0,0.30000000,0.84000000,0.30000000,0.618,634287354.70000000
1,0.61800000,0.84100000,0.59300000,0.806,573510429.21000000
2,0.80500000,0.91300000,0.75200000,0.775,342914127.85000000
3,0.77500000,0.89200000,0.70300000,0.823,263427218.38000000
4,0.82200000,0.96600000,0.81500000,0.902,288377646.82000000
5,0.90200000,1.32000000,0.85400000,1.104,595432620.37000000
6,1.10400000,1.15800000,1.04500000,1.134,192175832.71000000
7,1.13400000,1.16300000,0.90700000,1.042,209864479.69000000
8,1.04300000,1.16800000,0.95100000,1.126,179691268.75000000
9,1.12600000,1.15800000,1.00700000,1.049,149655456.35000000
10,1.04800000,1.05000000,0.92600000,0.97,107706416.40000000
11,0.97000000,1.04400000,0.91500000,0.954,137781750.61000000
12,0.95400000,0.96200000,0.86100000,0.879,104721437.73000000
13,0.87900000,1.03000000,0.86800000,0.997,156589848.25000000
14,0.99600000,1.06900000,0.96000000,1.018,103135690.39000000
15,1.01800000,1.05000000,0.96200000,1.041,78578422.31000000
16,1.04000000,1.15600000,1.02500000,1.112,153928612.82000000
17,1.11100000,1.19400000,1.06300000,1.114,134490518.86000000
18,1.11400000,1.14200000,1.08500000,1.089,48553009.04000000
19,1.08900000,1.17800000,1.05900000,1.164,92882690.35000000
20,1.16400000,1.25000000,1.15700000,1.227,152955363.46000000
21,1.22800000,1.27100000,1.16800000,1.212,120112076.15000000
22,1.21200000,1.22000000,1.16000000,1.19,50677121.28000000
23,1.19100000,1.19100000,1.13800000,1.171,59380443.01000000
24,1.17200000,1.17200000,1.07000000,1.114,113583408.63000000
25,1.11400000,1.36000000,1.11300000,1.248,293339950.36000000
26,1.24800000,1.32500000,1.24700000,1.293,60314833.97000000
27,1.29300000,1.39400000,1.29200000,1.354,125875234.96000000
28,1.35400000,1.40500000,1.24500000,1.281,165458170.31000000
29,1.28200000,1.28200000,1.19200000,1.227,97071301.16000000
30,1.22700000,1.25000000,1.20300000,1.241,40519710.26000000
31,1.24100000,1.40000000,1.22300000,1.37,131645288.48000000
32,1.37000000,1.45700000,1.34100000,1.36,151394338.46000000
33,1.36000000,1.51000000,1.30200000,1.451,217728579.64000000
34,1.45100000,1.47500000,1.39300000,1.461,71848523.47000000
35,1.46100000,1.49800000,1.40200000,1.424,82948707.57000000
36,1.42400000,1.52300000,1.37900000,1.458,117441092.11000000
37,1.45800000,1.51900000,1.40500000,1.406,106711795.76000000
38,1.40700000,1.43000000,1.35000000,1.372,50093932.25000000
39,1.37200000,1.48400000,1.37200000,1.466,61481225.28000000
40,1.46500000,1.48200000,1.39000000,1.42,60395410.14000000
41,1.42000000,1.42700000,1.11100000,1.26,251215730.74000000
42,1.26000000,1.32100000,1.08000000,1.278,206561770.79000000
43,1.27800000,1.34100000,1.18000000,1.3,95457827.04000000
44,1.30000000,1.31400000,1.22700000,1.241,63603610.53000000
45,1.24200000,1.25700000,1.03000000,1.082,135948056.48000000
46,1.08200000,1.12100000,0.90400000,1.046,267513016.53000000
47,1.04700000,1.15000000,0.98600000,1.129,137769222.22000000
48,1.12900000,1.18700000,1.06700000,1.082,93071385.15000000
49,1.08200000,1.17600000,1.05200000,1.12,130863242.66000000
50,1.11900000,1.22000000,1.10000000,1.209,80559576.03000000
51,1.20900000,1.21000000,1.10600000,1.159,67937699.10000000
52,1.16000000,1.19600000,1.14000000,1.144,76994755.31000000
53,1.14400000,1.21800000,1.10000000,1.116,137595188.79000000
54,1.11600000,1.14100000,1.02100000,1.057,87576064.48000000
