,open,high,low,close,volume
0,0.23000000,5.32000000,0.23000000,3.196,55892948.50000000
1,3.19300000,3.44000000,3.04700000,3.12,10265304.50000000
2,3.11900000,3.48600000,2.81000000,3.256,13666619.30000000
3,3.25800000,3.45000000,3.00000000,3.225,11431643.30000000
4,3.22700000,3.23300000,2.93000000,3.076,7194090.00000000
5,3.07700000,3.11400000,2.82600000,3.021,4269175.10000000
6,3.02100000,3.23900000,2.89600000,2.999,5860615.10000000
7,2.99900000,3.38800000,2.99200000,3.296,8179376.80000000
8,3.29700000,4.15000000,3.27600000,4.059,36234316.20000000
9,4.05800000,4.39000000,3.88500000,4.207,18733498.00000000
10,4.20900000,4.43800000,3.97000000,4.168,15219529.40000000
11,4.17000000,4.36600000,3.98000000,4.033,9602569.70000000
12,4.03200000,4.13800000,3.70500000,3.781,9645056.40000000
13,3.78100000,3.88000000,3.73000000,3.815,3365714.40000000
14,3.81600000,4.16000000,3.77300000,3.959,9364163.70000000
15,3.95800000,4.05000000,3.50800000,3.582,8612900.50000000
16,3.58100000,3.75300000,3.55600000,3.687,6024147.70000000
17,3.68700000,3.71800000,3.56200000,3.69,2582021.90000000
18,3.69100000,3.83000000,3.60800000,3.684,4240532.70000000
19,3.68600000,4.12700000,3.68200000,3.936,9449787.40000000
20,3.93800000,4.26700000,3.85600000,4.095,9120064.00000000
21,4.09700000,4.38000000,4.01100000,4.227,5793721.70000000
22,4.22700000,4.29800000,3.92000000,4.018,6964569.80000000
23,4.02000000,4.09900000,3.92200000,4.004,4050574.70000000
24,4.00700000,4.07000000,3.89700000,3.925,4000066.10000000
25,3.92600000,4.02600000,3.92400000,3.979,2872777.70000000
26,3.98000000,4.55000000,3.95800000,4.362,12420940.30000000
27,4.36200000,4.39600000,4.21200000,4.273,5470631.00000000
28,4.27200000,4.70000000,4.27200000,4.515,12739554.30000000
29,4.51700000,4.54800000,4.34600000,4.458,4378090.80000000
30,4.45900000,5.00800000,4.40900000,4.852,13423479.80000000
31,4.85300000,4.93800000,4.70000000,4.768,7522188.70000000
32,4.76800000,5.15800000,4.61900000,5.045,11939172.50000000
33,5.04500000,5.55500000,5.00200000,5.468,9543394.40000000
34,5.46800000,6.43800000,5.31000000,6.425,27692695.70000000
35,6.42500000,6.48000000,5.85200000,6.362,20847616.40000000
36,6.36200000,7.39000000,6.32300000,7.254,37933781.70000000
37,7.25300000,8.66000000,7.07300000,7.92,27481827.70000000
38,7.92100000,8.01600000,7.01200000,7.902,27686114.80000000
39,7.90100000,8.05400000,6.76800000,7.075,22540486.40000000
40,7.07500000,7.39100000,6.71700000,7.169,17526297.20000000
41,7.16800000,7.16800000,6.79200000,7.011,8037055.70000000
42,7.01000000,7.31000000,6.86700000,7.215,10691091.10000000
