,open,high,low,close,volume
0,1.13800000,1.13800000,1.13700000,1.137,5253858.40000000
1,1.13700000,1.13800000,1.13500000,1.136,3464213.90000000
2,1.13600000,1.13600000,1.13300000,1.134,3297847.20000000
3,1.13400000,1.13500000,1.13200000,1.134,5228145.90000000
4,1.13400000,1.13500000,1.13400000,1.134,3720436.20000000
5,1.13500000,1.13500000,1.13400000,1.135,2592058.60000000
6,1.13500000,1.13600000,1.13500000,1.135,4022652.10000000
7,1.13600000,1.13600000,1.13500000,1.135,4160630.60000000
8,1.13600000,1.13600000,1.13500000,1.136,3741742.20000000
9,1.13600000,1.13600000,1.13400000,1.134,2248161.70000000
10,1.13400000,1.13600000,1.13300000,1.135,5204411.00000000
11,1.13600000,1.13600000,1.12800000,1.129,8169074.10000000
12,1.12900000,1.13000000,1.12800000,1.13,6413283.30000000
13,1.12900000,1.13000000,1.12900000,1.129,2066688.20000000
14,1.13000000,1.13000000,1.12800000,1.129,5068128.50000000
15,1.12900000,1.13300000,1.12800000,1.13,9297053.30000000
16,1.12900000,1.13000000,1.12700000,1.127,6937692.00000000
17,1.12700000,1.12900000,1.12700000,1.129,2537305.40000000
18,1.12900000,1.13200000,1.12800000,1.131,5417890.60000000
19,1.13100000,1.13400000,1.13100000,1.134,7877807.20000000
20,1.13300000,1.13400000,1.12600000,1.128,21411915.40000000
21,1.12900000,1.13100000,1.12800000,1.13,3659060.30000000
22,1.13000000,1.13200000,1.12700000,1.129,12106002.10000000
23,1.13000000,1.13000000,1.12600000,1.128,13113832.90000000
24,1.12900000,1.12900000,1.12700000,1.128,10549708.30000000
25,1.12900000,1.12900000,1.12600000,1.128,3274315.60000000
26,1.12800000,1.13100000,1.12800000,1.131,8978271.70000000
27,1.13100000,1.13600000,1.12900000,1.136,12274705.60000000
28,1.13500000,1.13600000,1.13400000,1.134,5597952.30000000
29,1.13400000,1.13600000,1.13400000,1.135,2339485.40000000
30,1.13600000,1.13600000,1.13300000,1.133,3636679.40000000
31,1.13400000,1.13400000,1.13200000,1.134,7440106.50000000
32,1.13400000,1.13400000,1.13200000,1.133,8019264.40000000
33,1.13400000,1.13400000,1.13300000,1.133,2125763.00000000
34,1.13400000,1.13500000,1.13300000,1.135,3571567.30000000
35,1.13500000,1.13500000,1.13300000,1.133,4880244.20000000
36,1.13300000,1.13400000,1.13200000,1.134,8848753.40000000
37,1.13300000,1.13500000,1.13300000,1.133,3534106.40000000
38,1.13300000,1.13400000,1.13200000,1.133,4486035.30000000
39,1.13200000,1.13300000,1.12700000,1.132,14506414.90000000
40,1.13300000,1.13300000,1.13100000,1.132,5582636.30000000
41,1.13200000,1.13400000,1.13100000,1.133,2021813.60000000
42,1.13300000,1.13400000,1.13200000,1.132,5277248.20000000
43,1.13300000,1.13600000,1.13100000,1.134,9993536.00000000
44,1.13500000,1.13500000,1.13300000,1.135,6135630.70000000
45,1.13400000,1.13600000,1.13400000,1.135,2633319.40000000
46,1.13600000,1.13600000,1.13400000,1.134,7431290.70000000
47,1.13500000,1.14200000,1.13400000,1.142,15453133.40000000
48,1.14200000,1.14300000,1.14000000,1.142,7475924.00000000
49,1.14200000,1.14300000,1.14100000,1.143,2827030.40000000
50,1.14300000,1.14600000,1.14200000,1.145,5148275.30000000
51,1.14500000,1.14700000,1.14400000,1.145,8866823.30000000
52,1.14500000,1.14600000,1.14300000,1.144,6577556.60000000
53,1.14500000,1.14700000,1.14400000,1.146,2265820.20000000
54,1.14600000,1.14700000,1.14400000,1.144,6460754.90000000
55,1.14500000,1.14500000,1.13900000,1.139,7363574.20000000
56,1.14000000,1.14000000,1.13900000,1.139,4186790.00000000
57,1.14000000,1.14000000,1.13700000,1.138,6183147.00000000
58,1.13800000,1.13900000,1.13800000,1.139,4453067.00000000
59,1.13900000,1.14000000,1.13800000,1.14,5318456.00000000
60,1.14000000,1.14000000,1.13900000,1.14,3167361.20000000
61,1.13900000,1.14000000,1.13900000,1.139,2326564.70000000
62,1.14000000,1.14000000,1.13900000,1.14,3155781.80000000
63,1.13900000,1.14000000,1.13900000,1.139,4479287.00000000
64,1.14000000,1.14000000,1.13900000,1.14,3426105.60000000
65,1.14000000,1.14100000,1.13900000,1.14,2210555.70000000
66,1.14000000,1.14200000,1.13800000,1.14,10133430.30000000
67,1.14000000,1.14100000,1.13800000,1.14,8182011.80000000
68,1.13900000,1.14000000,1.13700000,1.138,6966714.70000000
69,1.13900000,1.14100000,1.13800000,1.138,3746868.70000000
70,1.13800000,1.13900000,1.13800000,1.138,4933254.10000000
71,1.13800000,1.13900000,1.13200000,1.133,8009600.40000000
72,1.13200000,1.13300000,1.13100000,1.131,5921195.70000000
73,1.13200000,1.13200000,1.13100000,1.131,905194.50000000
74,1.13100000,1.13400000,1.13100000,1.133,5650125.00000000
75,1.13300000,1.13400000,1.13300000,1.134,6436590.30000000
76,1.13300000,1.13400000,1.13200000,1.133,4834115.80000000
77,1.13300000,1.13500000,1.13200000,1.135,2521422.70000000
78,1.13500000,1.13500000,1.13300000,1.133,4336319.10000000
79,1.13400000,1.13500000,1.13200000,1.132,7490800.00000000
80,1.13300000,1.13300000,1.12800000,1.129,8165320.30000000
81,1.12900000,1.13200000,1.12900000,1.131,5440405.30000000
82,1.13100000,1.13300000,1.13000000,1.132,10074280.90000000
83,1.13200000,1.13500000,1.13100000,1.132,11586982.80000000
84,1.13200000,1.13400000,1.13000000,1.13,13113305.10000000
85,1.13000000,1.13200000,1.13000000,1.131,3157339.50000000
86,1.13100000,1.13400000,1.12900000,1.13,26707683.70000000
87,1.13000000,1.13200000,1.12900000,1.131,19393747.70000000
88,1.13100000,1.13200000,1.12900000,1.13,9039902.30000000
89,1.12900000,1.13200000,1.12800000,1.131,3827490.10000000
90,1.13100000,1.13200000,1.12700000,1.129,11407302.90000000
91,1.12900000,1.13100000,1.12800000,1.13,7321443.20000000
92,1.13000000,1.13200000,1.13000000,1.131,5293334.30000000
93,1.13100000,1.13200000,1.13100000,1.131,1482502.10000000
94,1.13100000,1.13300000,1.12900000,1.13,9848138.60000000
95,1.12900000,1.13200000,1.12700000,1.131,13734773.70000000
96,1.13200000,1.13200000,1.12800000,1.131,9732131.40000000
97,1.13100000,1.13100000,1.12900000,1.129,1952284.70000000
98,1.13000000,1.13000000,1.12500000,1.125,7120806.80000000
99,1.12600000,1.12800000,1.12400000,1.128,10225947.70000000
100,1.12700000,1.12900000,1.12700000,1.128,6543494.60000000
101,1.12900000,1.13000000,1.12800000,1.129,2541737.00000000
102,1.12900000,1.13000000,1.12600000,1.126,6165347.50000000
103,1.12700000,1.12700000,1.12600000,1.127,7915869.80000000
104,1.12600000,1.12900000,1.12100000,1.122,11864549.80000000
105,1.12200000,1.12200000,1.12100000,1.122,1676455.70000000
106,1.12100000,1.12200000,1.11500000,1.115,6257330.50000000
107,1.11500000,1.11600000,1.11300000,1.113,8533709.30000000
108,1.11300000,1.11400000,1.11200000,1.113,8104588.80000000
109,1.11300000,1.11500000,1.11300000,1.114,2126342.50000000
