,open,high,low,close,volume
0,1.78190000,2.60000000,1.27000000,1.6372,6335282.20000000
1,1.63630000,1.89490000,1.47370000,1.7943,7852963.20000000
2,1.79400000,1.83560000,1.55200000,1.7429,3277260.70000000
3,1.74050000,1.84400000,1.63650000,1.7013,2735523.60000000
4,1.70150000,1.98400000,1.64690000,1.9696,3660618.70000000
5,1.97280000,2.00000000,1.79110000,1.826,4343765.90000000
6,1.82710000,1.95990000,1.73890000,1.8739,4017518.10000000
7,1.87390000,1.94750000,1.77520000,1.7793,2796964.50000000
8,1.77920000,1.85000000,1.67370000,1.7614,3677460.10000000
9,1.76150000,1.86340000,1.76150000,1.8079,2741930.40000000
10,1.80780000,1.88190000,1.80430000,1.833,2009483.50000000
11,1.83320000,1.91000000,1.80110000,1.8529,2121104.20000000
12,1.85280000,1.85580000,1.82040000,1.8361,1356055.50000000
13,1.83610000,1.88500000,1.82200000,1.8454,1654890.50000000
14,1.84550000,1.86480000,1.82330000,1.8608,1206703.60000000
15,1.86060000,1.87290000,1.72260000,1.7383,2247323.30000000
16,1.73840000,1.97770000,1.71400000,1.8895,4553906.10000000
17,1.88990000,2.16850000,1.88010000,2.045,7678999.30000000
18,2.04520000,2.11290000,1.99210000,2.0313,3811803.80000000
19,2.03130000,2.03130000,1.90620000,1.9143,2731454.20000000
20,1.91450000,2.20470000,1.88520000,2.1284,4797549.80000000
21,2.12880000,2.43800000,1.95600000,2.3754,7131631.90000000
22,2.37560000,2.65550000,2.33010000,2.4489,9828621.30000000
23,2.44960000,2.54860000,2.40690000,2.4954,3886701.20000000
24,2.49560000,2.58000000,2.36250000,2.4186,5137436.40000000
25,2.41830000,2.46580000,2.35520000,2.3706,3502829.90000000
26,2.37100000,2.42000000,2.34110000,2.3899,1744454.00000000
27,2.39000000,2.40990000,2.34740000,2.3873,1384879.20000000
28,2.38730000,2.39310000,2.21720000,2.2988,3096689.90000000
29,2.29910000,2.34790000,2.27450000,2.3354,1579626.80000000
30,2.33580000,2.35420000,2.27490000,2.2811,1052385.10000000
31,2.28090000,2.33050000,2.24690000,2.3006,1152641.70000000
32,2.30180000,2.41000000,2.27540000,2.347,2394326.40000000
33,2.34720000,2.51040000,2.30490000,2.411,2767110.30000000
34,2.41120000,2.48980000,2.34480000,2.4364,2169021.30000000
35,2.43410000,2.47600000,2.34810000,2.3706,1195379.00000000
36,2.37100000,2.45650000,2.35720000,2.4362,2206193.90000000
37,2.43710000,2.46270000,2.28710000,2.3188,2853384.10000000
38,2.31950000,2.35590000,2.25430000,2.2574,1204585.60000000
39,2.25690000,2.29870000,2.20570000,2.2084,1031045.20000000
40,2.20860000,2.28300000,2.17030000,2.2482,1303241.10000000
41,2.24840000,2.29820000,2.17500000,2.1924,1206514.70000000
42,2.19190000,2.23690000,2.17140000,2.2094,575959.70000000
43,2.20870000,2.27100000,2.15430000,2.2065,962791.70000000
44,2.20690000,2.27640000,2.18110000,2.215,951602.90000000
45,2.21490000,2.33860000,2.20390000,2.2984,1304224.90000000
46,2.29890000,2.41180000,2.27460000,2.3228,1885466.90000000
47,2.32290000,2.42930000,2.28820000,2.3951,1213365.40000000
48,2.39630000,2.40400000,2.29090000,2.383,1460771.20000000
49,2.38290000,2.49990000,2.35060000,2.3692,2314070.40000000
50,2.36870000,2.41710000,2.31040000,2.3191,585127.80000000
51,2.31890000,2.40050000,2.29240000,2.3392,786750.90000000
52,2.33910000,2.39020000,2.23370000,2.2675,1158107.70000000
53,2.26560000,2.34580000,2.23590000,2.2878,1205398.60000000
54,2.28820000,2.29090000,2.23100000,2.2413,487967.50000000
55,2.24030000,2.26320000,1.68900000,2.0986,2783198.30000000
56,2.09900000,2.16000000,2.07260000,2.1308,2206851.60000000
57,2.13060000,2.33000000,2.12230000,2.1972,1671590.40000000
58,2.19720000,2.34500000,2.12780000,2.1797,1281261.50000000
59,2.18160000,2.22140000,2.08210000,2.0991,967172.50000000
60,2.09940000,2.15150000,2.06890000,2.0891,870433.80000000
61,2.08940000,2.18380000,2.08150000,2.1437,881502.10000000
62,2.14310000,2.21000000,2.12710000,2.1859,373408.00000000
63,2.18590000,2.20660000,2.11640000,2.1437,419563.20000000
64,2.14320000,2.14580000,2.05170000,2.0954,642834.40000000
65,2.09450000,2.17060000,2.08910000,2.1569,715845.40000000
66,2.15760000,2.19480000,2.13260000,2.1729,381651.40000000
67,2.17310000,2.18360000,2.11230000,2.1259,556259.50000000
68,2.12560000,2.16000000,2.11210000,2.1323,2316890.80000000
69,2.13320000,2.15550000,2.06010000,2.0617,815118.00000000
70,2.06100000,2.19160000,2.03250000,2.1758,1160142.90000000
71,2.17580000,2.23740000,2.09130000,2.1099,564354.70000000
72,2.10940000,2.12790000,2.08420000,2.1087,566440.00000000
73,2.10920000,2.11320000,1.82980000,1.9321,2886059.70000000
74,1.92990000,1.98100000,1.84760000,1.9181,1172820.20000000
75,1.91810000,2.03310000,1.85700000,1.9622,1871898.40000000
76,1.96290000,2.08670000,1.92860000,2.0031,8171732.60000000
77,2.00330000,2.14540000,1.93520000,2.0378,2621565.80000000
78,2.03760000,2.04050000,1.98410000,1.9854,812384.70000000
79,1.98480000,2.06840000,1.96300000,1.989,512260.90000000
80,1.98990000,2.00940000,1.94000000,2.0003,755135.30000000
81,2.00040000,2.02940000,1.88880000,1.9884,1424123.20000000
82,1.98720000,2.00790000,1.92210000,1.95,596630.70000000
83,1.95030000,2.05770000,1.91000000,2.014,2085298.20000000
84,2.01400000,2.05800000,1.99240000,2.0191,566041.50000000
85,2.01890000,2.08870000,2.00770000,2.0838,822015.00000000
86,2.08390000,2.16360000,2.07080000,2.1324,695738.80000000
87,2.13270000,2.13730000,2.02000000,2.0415,708144.00000000
88,2.04160000,2.05000000,2.00620000,2.021,407455.10000000
89,2.02050000,2.05200000,1.98490000,2.0169,513999.20000000
90,2.01590000,2.02490000,1.94160000,1.9855,2845755.90000000
