,open,high,low,close,volume
0,0.09000000,0.29800000,0.09000000,0.2495,221481772.20000000
1,0.24930000,0.27650000,0.24600000,0.2712,70756758.30000000
2,0.27120000,0.36660000,0.26000000,0.2887,153821665.90000000
3,0.28860000,0.30320000,0.25720000,0.2713,72774717.60000000
4,0.27150000,0.28660000,0.21210000,0.225,104679524.20000000
5,0.22510000,0.23870000,0.21560000,0.2238,39372517.90000000
6,0.22350000,0.22510000,0.20260000,0.2109,42133969.20000000
7,0.21090000,0.21510000,0.20000000,0.2061,35215293.90000000
8,0.20610000,0.21450000,0.19850000,0.2107,35724242.90000000
9,0.21050000,0.21750000,0.20460000,0.2158,16427878.40000000
10,0.21590000,0.22710000,0.20710000,0.2116,27356295.40000000
11,0.21170000,0.21500000,0.20410000,0.2129,30074198.90000000
12,0.21300000,0.21480000,0.19400000,0.1964,28066142.90000000
13,0.19630000,0.20160000,0.19470000,0.2006,11523755.60000000
14,0.20060000,0.20820000,0.19920000,0.2074,13140442.90000000
15,0.20730000,0.21450000,0.20440000,0.2076,20419107.40000000
16,0.20760000,0.23730000,0.20750000,0.2243,35409719.10000000
17,0.22440000,0.22680000,0.21690000,0.2202,12037869.50000000
18,0.22020000,0.23690000,0.21040000,0.2355,24746036.60000000
19,0.23550000,0.24210000,0.19020000,0.1978,43589085.40000000
20,0.19780000,0.20450000,0.18500000,0.1921,24713706.70000000
21,0.19200000,0.19740000,0.19010000,0.1909,12390091.60000000
22,0.19080000,0.19660000,0.18770000,0.1938,8991071.70000000
23,0.19380000,0.20200000,0.19330000,0.1968,22498044.80000000
24,0.19690000,0.19950000,0.19070000,0.1937,13455102.90000000
25,0.19390000,0.19500000,0.18800000,0.194,9150329.40000000
26,0.19400000,0.20100000,0.19300000,0.1978,11364907.60000000
27,0.19770000,0.20440000,0.19110000,0.197,23272732.90000000
28,0.19690000,0.20130000,0.19290000,0.1966,16200688.40000000
29,0.19670000,0.20090000,0.19340000,0.1959,7830914.90000000
30,0.19600000,0.20500000,0.19470000,0.1953,15482235.20000000
31,0.19540000,0.19990000,0.19510000,0.1972,7949847.80000000
32,0.19720000,0.19810000,0.18080000,0.1883,14955214.00000000
33,0.18840000,0.18980000,0.18420000,0.1889,4489029.90000000
34,0.18890000,0.19370000,0.18570000,0.1911,6239095.70000000
35,0.19120000,0.19540000,0.18670000,0.1945,9999254.20000000
36,0.19460000,0.19540000,0.18360000,0.1857,15707286.50000000
37,0.18570000,0.18710000,0.17500000,0.1791,9101958.30000000
38,0.17910000,0.18010000,0.17060000,0.1733,12569140.10000000
39,0.17310000,0.17670000,0.17200000,0.1739,8966184.80000000
40,0.17400000,0.17920000,0.17220000,0.1778,14015983.40000000
41,0.17790000,0.18210000,0.17630000,0.1806,6132783.30000000
42,0.18070000,0.18280000,0.17670000,0.1802,6929489.30000000
43,0.18020000,0.18100000,0.16510000,0.1717,16818859.30000000
44,0.17160000,0.17360000,0.16260000,0.1677,10152895.20000000
45,0.16780000,0.17000000,0.16640000,0.167,5313129.40000000
46,0.16700000,0.16840000,0.16000000,0.1614,8544722.50000000
47,0.16140000,0.16240000,0.15560000,0.1615,14573537.10000000
48,0.16150000,0.16290000,0.15690000,0.1592,8243933.90000000
49,0.15930000,0.16280000,0.15850000,0.1618,5164081.90000000
50,0.16190000,0.16670000,0.16000000,0.1642,7158673.30000000
51,0.16410000,0.16480000,0.15880000,0.1598,6033792.90000000
52,0.15970000,0.16390000,0.15700000,0.1623,9429588.60000000
53,0.16240000,0.16610000,0.16010000,0.1638,8254792.60000000
54,0.16380000,0.17090000,0.16340000,0.1661,8693444.90000000
55,0.16620000,0.17010000,0.15180000,0.1541,14450223.10000000
56,0.15420000,0.15600000,0.14540000,0.1521,9758292.80000000
57,0.15210000,0.15280000,0.13840000,0.1442,15851288.40000000
58,0.14430000,0.14730000,0.14120000,0.1418,15955194.50000000
59,0.14170000,0.14870000,0.13890000,0.1442,12326763.40000000
60,0.14430000,0.14490000,0.13430000,0.137,12752121.20000000
61,0.13700000,0.14070000,0.13290000,0.14,15300183.50000000
62,0.14010000,0.14920000,0.13990000,0.1446,13778493.50000000
63,0.14450000,0.14890000,0.14360000,0.1463,10334050.80000000
64,0.14620000,0.15570000,0.14450000,0.1545,16901926.30000000
65,0.15470000,0.16050000,0.15000000,0.1579,14810910.00000000
66,0.15780000,0.16530000,0.15350000,0.1646,10449027.00000000
