,open,high,low,close,volume
0,8.38800000,8.44000000,8.21700000,8.246,61993.00000000
1,8.23800000,8.48100000,8.23600000,8.424,17482.90000000
2,8.42400000,8.49300000,8.34500000,8.345,19766.90000000
3,8.34500000,8.37900000,8.29200000,8.367,50158.10000000
4,8.36900000,8.55100000,8.34000000,8.53,67009.10000000
5,8.53000000,8.53600000,8.32200000,8.363,27529.80000000
6,8.35700000,8.44300000,8.31300000,8.422,24189.60000000
7,8.42700000,8.66000000,8.37000000,8.523,86501.90000000
8,8.52300000,8.60400000,8.44700000,8.551,29503.20000000
9,8.56900000,8.58000000,8.40000000,8.455,24278.70000000
10,8.46800000,8.55300000,8.40000000,8.534,28558.60000000
11,8.52800000,8.60000000,8.30000000,8.342,57534.60000000
12,8.33500000,8.36200000,8.15400000,8.276,44539.10000000
13,8.27500000,8.33300000,8.12400000,8.187,46300.40000000
14,8.18600000,8.39900000,8.18600000,8.379,53309.10000000
15,8.37900000,8.41600000,8.24300000,8.33,87672.90000000
16,8.33000000,8.35900000,8.11200000,8.133,58366.40000000
17,8.13000000,8.32300000,8.11200000,8.267,57106.00000000
18,8.26700000,8.33600000,8.16900000,8.207,107585.60000000
19,8.19900000,8.30800000,8.15200000,8.205,67062.40000000
20,8.20000000,8.20000000,7.40000000,7.578,245125.80000000
21,7.57700000,7.61800000,7.21700000,7.341,153245.40000000
22,7.32500000,7.35100000,7.07800000,7.192,99658.93200000
23,7.19800000,7.42500000,7.13600000,7.309,75148.90000000
24,7.31000000,7.46800000,7.30400000,7.43,43055.80000000
25,7.41500000,7.44700000,6.74200000,7.017,121964.10000000
26,7.01400000,7.27700000,6.78900000,7.247,96273.60000000
27,7.25900000,7.35700000,6.87300000,7.189,118131.20000000
28,7.18900000,7.19700000,6.91100000,6.946,25512.00000000
29,6.95400000,7.05600000,6.92300000,7.006,31930.70000000
30,7.00500000,7.35000000,6.97700000,7.072,46763.40000000
31,7.06600000,7.09900000,6.62200000,6.624,94681.70000000
32,6.62200000,6.93500000,6.50000000,6.854,125317.10000000
33,6.85400000,6.95500000,6.75400000,6.867,24807.00000000
34,6.86800000,6.88400000,6.70000000,6.837,27619.90000000
35,6.84700000,6.93700000,6.78000000,6.875,51222.90000000
36,6.87700000,7.05700000,6.72500000,6.74,109978.40000000
37,6.73900000,6.79300000,6.67200000,6.76,25170.80000000
38,6.76700000,6.92700000,6.70000000,6.718,81178.20000000
39,6.71700000,7.59000000,6.32700000,6.867,314344.90000000
40,6.88500000,6.93100000,6.73400000,6.816,77928.60000000
41,6.80000000,7.11400000,6.76300000,7.071,68372.40000000
42,7.06500000,7.60000000,6.96500000,6.985,259569.60000000
43,6.98500000,7.10000000,6.78000000,7.0,112521.10000000
44,6.98200000,7.21400000,6.96000000,7.147,65924.80000000
45,7.12300000,7.36200000,7.11500000,7.165,100488.70000000
46,7.14900000,7.23600000,7.01600000,7.087,113907.80000000
47,7.08900000,7.43500000,7.07500000,7.228,154850.00000000
48,7.22500000,7.28100000,7.15900000,7.247,38230.60000000
49,7.22600000,7.32000000,7.05100000,7.117,92770.90000000
50,7.11700000,7.27800000,7.09500000,7.2,60516.30000000
51,7.19900000,7.29200000,6.90200000,6.967,108124.70000000
52,6.96700000,6.97600000,6.79300000,6.799,54600.40000000
53,6.79400000,6.90600000,6.75800000,6.906,42222.50000000
54,6.90600000,6.92100000,6.71400000,6.743,42790.40000000
55,6.74200000,6.99700000,6.71300000,6.899,77948.60000000
56,6.89600000,7.03000000,6.88200000,6.986,56296.10000000
57,6.99600000,7.03000000,6.91900000,6.982,31188.90000000
58,6.98100000,7.05300000,6.85900000,7.039,48556.70000000
59,7.04900000,7.19800000,6.95000000,7.079,64851.70000000
60,7.07900000,7.10700000,7.00300000,7.075,38187.30000000
61,7.07100000,7.15000000,7.03500000,7.07,34945.60000000
62,7.07600000,7.16400000,7.04400000,7.044,25322.30000000
63,7.05400000,7.24400000,6.94500000,7.16,102017.90000000
64,7.16200000,7.28200000,7.10200000,7.234,55929.90000000
65,7.22200000,7.23000000,6.90500000,6.95,49606.20000000
66,6.96100000,6.96700000,6.89800000,6.922,29128.30000000
67,6.91800000,6.92900000,6.80500000,6.837,44225.00000000
68,6.83200000,6.90900000,6.73500000,6.891,65468.60000000
69,6.89100000,6.90400000,6.72300000,6.731,55300.90000000
70,6.73500000,6.76200000,6.59400000,6.599,43053.90000000
71,6.60800000,6.75800000,6.48000000,6.504,81562.20000000
72,6.49900000,6.67200000,6.47300000,6.651,40537.10000000
73,6.65100000,6.67000000,6.41900000,6.431,40681.10000000
