,open,high,low,close,volume
0,0.03000000,0.87200000,0.03000000,0.6841,211153718.50000000
1,0.68420000,0.69900000,0.62100000,0.6617,129734601.90000000
2,0.66170000,0.68430000,0.56360000,0.5778,110875015.80000000
3,0.57770000,0.62920000,0.55010000,0.6033,118625643.50000000
4,0.60330000,0.62480000,0.56300000,0.5869,94992328.30000000
5,0.58670000,0.60540000,0.57000000,0.6024,51304004.90000000
6,0.60240000,0.61730000,0.57640000,0.5929,46927205.90000000
7,0.59310000,0.64000000,0.58340000,0.621,92832727.10000000
8,0.62090000,0.65000000,0.60050000,0.6162,87968761.20000000
9,0.61620000,0.62390000,0.60380000,0.6171,28416552.40000000
10,0.61740000,0.62100000,0.57000000,0.5848,56880886.90000000
11,0.58440000,0.58900000,0.57050000,0.5756,30808494.50000000
12,0.57570000,0.58290000,0.56150000,0.5779,36900993.00000000
13,0.57800000,0.57970000,0.56350000,0.5649,18929089.40000000
14,0.56490000,0.57310000,0.55300000,0.5577,25701837.70000000
15,0.55760000,0.56220000,0.53260000,0.5537,56536708.50000000
16,0.55370000,0.56820000,0.55190000,0.5556,30796284.90000000
17,0.55570000,0.55800000,0.52360000,0.5305,26890511.20000000
18,0.53030000,0.54220000,0.52020000,0.538,25498941.70000000
19,0.53790000,0.56800000,0.53400000,0.5648,40045141.80000000
20,0.56500000,0.57130000,0.53730000,0.5445,34799214.00000000
21,0.54450000,0.54610000,0.52450000,0.541,23896082.10000000
22,0.54100000,0.54350000,0.52460000,0.5297,21247205.00000000
23,0.52940000,0.53810000,0.51110000,0.5187,26189671.80000000
24,0.51870000,0.52770000,0.50500000,0.5154,29657025.00000000
25,0.51540000,0.54140000,0.51280000,0.5319,20923586.80000000
26,0.53180000,0.54280000,0.51250000,0.5204,23908697.20000000
27,0.52050000,0.55540000,0.51310000,0.5534,25443581.20000000
28,0.55340000,0.60450000,0.54500000,0.5712,101997667.40000000
29,0.57120000,0.58210000,0.55010000,0.5545,35132363.90000000
30,0.55420000,0.56280000,0.54240000,0.5491,27556207.50000000
31,0.54910000,0.55500000,0.53130000,0.5418,38738100.30000000
32,0.54190000,0.54550000,0.52110000,0.5313,49721169.20000000
33,0.53130000,0.53460000,0.50100000,0.5099,28980898.70000000
34,0.50990000,0.51170000,0.48870000,0.5056,48908957.90000000
35,0.50560000,0.50850000,0.49050000,0.5066,44991599.30000000
36,0.50660000,0.51880000,0.49260000,0.5035,56823170.40000000
37,0.50350000,0.52770000,0.49550000,0.5096,35373289.10000000
38,0.50960000,0.52700000,0.50960000,0.5191,19251723.60000000
39,0.51920000,0.52060000,0.49520000,0.5057,27514534.60000000
40,0.50560000,0.51650000,0.50240000,0.508,14654773.00000000
41,0.50800000,0.51530000,0.50020000,0.5044,13360323.40000000
42,0.50450000,0.51250000,0.50120000,0.512,11748491.90000000
43,0.51210000,0.52300000,0.50520000,0.5168,26114253.40000000
44,0.51690000,0.52350000,0.50580000,0.5136,25529587.80000000
45,0.51370000,0.51800000,0.50130000,0.5066,18365238.70000000
46,0.50670000,0.51340000,0.49120000,0.497,18199358.70000000
47,0.49700000,0.50290000,0.43100000,0.4761,57485759.30000000
48,0.47610000,0.50420000,0.46660000,0.5013,39331878.00000000
49,0.50140000,0.50950000,0.49920000,0.5064,19626904.50000000
50,0.50630000,0.51730000,0.48750000,0.5045,20034737.30000000
51,0.50470000,0.51450000,0.49480000,0.5003,22676717.60000000
52,0.50040000,0.50170000,0.47040000,0.473,36299636.90000000
53,0.47310000,0.49450000,0.47230000,0.4794,16833613.30000000
54,0.47940000,0.49300000,0.47050000,0.4906,17533434.10000000
55,0.49050000,0.50570000,0.48810000,0.503,35812750.40000000
56,0.50300000,0.51890000,0.49740000,0.5035,56498473.60000000
57,0.50350000,0.53550000,0.50180000,0.5292,44569950.80000000
58,0.52910000,0.54090000,0.51440000,0.5231,32056278.70000000
59,0.52320000,0.56480000,0.52110000,0.5455,45964263.30000000
60,0.54550000,0.54980000,0.50000000,0.516,48475086.30000000
61,0.51610000,0.52680000,0.50740000,0.5169,16222061.40000000
62,0.51680000,0.53250000,0.51080000,0.528,16673527.70000000
63,0.52800000,0.52910000,0.50690000,0.5202,25484517.20000000
64,0.52020000,0.53540000,0.49050000,0.5104,36575979.70000000
65,0.51050000,0.51690000,0.50270000,0.5141,11380326.50000000
66,0.51420000,0.51880000,0.50270000,0.5143,12619634.70000000
67,0.51420000,0.52200000,0.50470000,0.5097,14528879.90000000
68,0.50960000,0.51070000,0.48020000,0.5012,23026590.90000000
69,0.50120000,0.50670000,0.49910000,0.5036,10172682.30000000
70,0.50360000,0.51840000,0.49800000,0.5159,18813094.50000000
71,0.51600000,0.53670000,0.50820000,0.5311,32385430.80000000
72,0.53110000,0.55810000,0.51990000,0.5457,42475304.40000000
73,0.54560000,0.55250000,0.53080000,0.5346,20764095.50000000
74,0.53470000,0.54530000,0.52720000,0.5419,20129009.90000000
75,0.54180000,0.55540000,0.52830000,0.539,34405373.30000000
76,0.53890000,0.54330000,0.52110000,0.5292,33294633.10000000
77,0.52950000,0.53590000,0.52430000,0.5263,18636307.00000000
78,0.52640000,0.53090000,0.51000000,0.5239,23817213.80000000
79,0.52400000,0.52960000,0.51000000,0.5263,21648468.50000000
80,0.52630000,0.53000000,0.45190000,0.4907,51314336.60000000
81,0.49060000,0.50990000,0.48860000,0.5054,13755010.90000000
82,0.50540000,0.50600000,0.48910000,0.4901,12757279.70000000
83,0.49000000,0.49260000,0.46710000,0.4697,32370294.20000000
84,0.46970000,0.47840000,0.45550000,0.461,20988317.00000000
85,0.46110000,0.47680000,0.45360000,0.4748,10998599.20000000
86,0.47480000,0.47490000,0.45560000,0.4682,18281476.00000000
87,0.46820000,0.48760000,0.46820000,0.4812,20900705.80000000
