,open,high,low,close,volume
0,2.81000000,3.89000000,2.15000000,2.206,6403949.07000000
1,2.20700000,2.72500000,1.89300000,2.066,5202050.13000000
2,2.07200000,2.33900000,1.80200000,2.0,2912672.05000000
3,2.00000000,2.13800000,1.69000000,1.897,5532909.14000000
4,1.90500000,2.19900000,1.87800000,2.12,2160603.41000000
5,2.12000000,2.37000000,2.08000000,2.155,1556601.42000000
6,2.15800000,2.19000000,1.84200000,2.009,817426.95000000
7,2.01100000,2.03100000,1.84000000,1.852,1095981.88000000
8,1.86000000,1.86000000,1.52100000,1.602,1673419.98000000
9,1.60000000,1.93800000,1.50000000,1.568,1504216.10000000
10,1.56800000,1.59900000,1.38600000,1.523,596823.62000000
11,1.52300000,1.69000000,1.25100000,1.258,672536.01000000
12,1.25600000,1.50000000,1.19400000,1.43,773741.64000000
13,1.43000000,1.67800000,1.40100000,1.479,694892.77000000
14,1.48700000,1.48700000,1.30000000,1.404,276547.12000000
15,1.40400000,1.75900000,1.36800000,1.641,538587.52000000
16,1.63800000,1.70300000,1.57600000,1.639,500370.17000000
17,1.63900000,1.80800000,1.54600000,1.549,882953.64000000
18,1.54600000,1.54900000,1.41800000,1.497,237753.31000000
19,1.49900000,1.55700000,1.41000000,1.45,354216.40000000
20,1.45700000,1.49400000,1.36200000,1.37,314664.60000000
21,1.36800000,1.42700000,1.33000000,1.367,312040.72000000
22,1.36900000,1.50000000,1.36300000,1.488,212267.42000000
23,1.48900000,1.53700000,1.36900000,1.386,190945.14000000
24,1.38600000,1.43900000,1.33000000,1.43,235147.18000000
25,1.43500000,1.50000000,1.36700000,1.377,327721.69000000
26,1.37700000,1.52100000,1.37000000,1.468,200535.34000000
27,1.47000000,1.51400000,1.41600000,1.498,145696.76000000
28,1.49800000,1.49800000,1.36800000,1.371,276830.10000000
29,1.37200000,1.40800000,1.34000000,1.366,298601.19000000
30,1.37500000,1.46400000,1.36600000,1.432,56066.02000000
31,1.43100000,1.50400000,1.43100000,1.443,147877.76000000
32,1.44700000,1.55500000,1.44500000,1.493,253641.67000000
33,1.49000000,1.55500000,1.46000000,1.51,373354.29000000
34,1.51000000,1.56500000,1.38100000,1.533,319296.32000000
35,1.52900000,1.63900000,1.51500000,1.531,302901.89000000
36,1.53700000,1.54500000,1.46000000,1.467,181567.69000000
37,1.46800000,1.47000000,1.37000000,1.393,262901.47000000
