,open,high,low,close,volume
0,147.60000000,147.70000000,143.70000000,146.3,96287.55400000
1,146.20000000,149.70000000,146.10000000,148.1,64119.96500000
2,148.10000000,148.70000000,146.50000000,147.5,52631.11300000
3,147.50000000,151.00000000,147.40000000,150.5,62407.18500000
4,150.60000000,151.00000000,149.40000000,150.8,45997.27700000
5,150.80000000,150.90000000,147.80000000,149.3,64554.89000000
6,149.30000000,150.60000000,148.60000000,149.4,42651.54500000
7,149.40000000,153.40000000,148.70000000,152.5,70377.06400000
8,152.60000000,152.60000000,149.90000000,151.2,50766.58800000
9,151.10000000,151.20000000,149.20000000,150.5,45443.15500000
10,150.60000000,151.20000000,149.00000000,150.8,51094.59300000
11,150.80000000,151.20000000,147.20000000,148.4,112738.60900000
12,148.30000000,148.90000000,146.00000000,148.5,81762.51600000
13,148.40000000,148.80000000,146.40000000,148.0,52763.27400000
14,147.90000000,150.50000000,147.60000000,150.1,74974.40000000
15,150.10000000,151.70000000,148.80000000,149.2,98677.69500000
16,149.20000000,149.70000000,145.20000000,146.5,105290.29400000
17,146.50000000,148.90000000,145.90000000,147.9,52274.81300000
18,148.00000000,150.00000000,147.30000000,148.0,67032.91700000
19,147.90000000,149.90000000,146.70000000,147.2,93000.52600000
20,147.20000000,148.90000000,129.80000000,135.4,389655.80100000
21,135.30000000,137.80000000,133.20000000,135.6,172126.64000000
22,135.70000000,136.90000000,132.60000000,134.1,126980.98100000
23,134.20000000,136.90000000,132.40000000,136.3,150384.65900000
24,136.30000000,138.10000000,135.90000000,135.9,81935.07700000
25,135.90000000,136.50000000,125.90000000,130.1,225970.57391000
26,130.10000000,134.70000000,127.60000000,133.3,169759.24600000
27,133.40000000,135.40000000,128.50000000,134.5,255561.17000000
28,134.50000000,134.60000000,129.80000000,131.4,82684.32200000
29,131.40000000,133.70000000,130.80000000,132.7,61793.13900000
30,132.80000000,134.70000000,131.70000000,134.4,77403.16300000
31,134.30000000,134.80000000,127.20000000,127.5,139613.41300000
32,127.50000000,131.60000000,124.80000000,129.4,171481.63978000
33,129.40000000,131.70000000,128.60000000,130.0,82287.97000000
34,130.00000000,131.10000000,128.50000000,130.3,67732.65300000
35,130.20000000,131.40000000,127.70000000,130.9,88928.29300000
36,130.80000000,132.60000000,130.30000000,130.9,82879.42700000
37,130.80000000,131.50000000,129.40000000,130.9,72381.75400000
38,130.90000000,131.00000000,128.90000000,129.4,66967.56800000
39,129.40000000,129.50000000,120.70000000,124.4,381620.56603000
40,124.40000000,127.10000000,124.10000000,126.5,100032.41800000
41,126.60000000,129.80000000,125.70000000,128.7,83339.51600000
42,128.70000000,130.30000000,127.40000000,128.1,77847.80700000
43,128.10000000,133.50000000,126.80000000,131.3,146253.18600000
44,131.20000000,132.30000000,130.70000000,131.6,88859.71100000
45,131.60000000,132.40000000,130.80000000,131.7,52051.55300000
46,131.60000000,135.00000000,131.10000000,133.7,83185.82500000
47,133.80000000,139.00000000,133.70000000,138.7,132817.64800000
48,138.80000000,142.30000000,138.10000000,141.9,119690.54100000
49,142.00000000,142.40000000,138.60000000,139.9,66908.79300000
50,140.00000000,141.20000000,136.60000000,137.1,185546.85600000
51,137.10000000,141.00000000,134.60000000,135.9,139155.11400000
52,135.90000000,137.50000000,134.80000000,136.7,70778.39100000
53,136.70000000,139.90000000,135.80000000,139.7,94156.03300000
54,139.70000000,140.00000000,136.10000000,138.6,123317.68500000
55,138.60000000,146.70000000,137.20000000,143.9,301916.11700000
56,143.90000000,145.50000000,143.20000000,144.7,68717.91700000
57,144.70000000,149.70000000,144.00000000,148.7,153930.95100000
58,148.70000000,150.70000000,147.40000000,148.2,124561.80300000
59,148.10000000,149.40000000,144.70000000,148.0,126066.82600000
60,147.90000000,149.70000000,147.30000000,147.7,57226.45600000
61,147.60000000,149.00000000,145.10000000,145.4,98643.69700000
62,145.30000000,147.00000000,144.20000000,144.8,81714.47000000
63,144.80000000,147.50000000,143.20000000,146.9,103396.29400000
64,146.90000000,147.30000000,145.10000000,146.4,40198.20400000
