,open,high,low,close,volume
0,2369.00000000,2372.00000000,2291.00000000,2334.0,401.15320000
1,2332.00000000,2369.00000000,2321.00000000,2360.0,291.43720000
2,2357.00000000,2393.00000000,2330.00000000,2339.0,340.50200000
3,2337.00000000,2449.00000000,2337.00000000,2418.0,417.31320000
4,2417.00000000,2463.00000000,2387.00000000,2419.0,630.71550000
5,2420.00000000,2425.00000000,2328.00000000,2343.0,494.07000000
6,2342.00000000,2384.00000000,2335.00000000,2374.0,266.63120000
7,2373.00000000,2495.00000000,2363.00000000,2483.0,559.70790000
8,2485.00000000,2540.00000000,2434.00000000,2471.0,734.07410000
9,2468.00000000,2487.00000000,2445.00000000,2475.0,196.28150000
10,2476.00000000,2545.00000000,2449.00000000,2527.0,421.22700000
11,2528.00000000,2599.00000000,2410.00000000,2426.0,1293.37470000
12,2425.00000000,2439.00000000,2375.00000000,2391.0,598.61560000
13,2392.00000000,2412.00000000,2354.00000000,2393.0,369.17330000
14,2395.00000000,2476.00000000,2391.00000000,2460.0,290.96960000
15,2461.00000000,2541.00000000,2432.00000000,2472.0,813.02580000
16,2475.00000000,2492.00000000,2383.00000000,2446.0,589.34680000
17,2446.00000000,2492.00000000,2427.00000000,2471.0,209.26140000
18,2471.00000000,2513.00000000,2463.00000000,2488.0,287.08420000
19,2487.00000000,2523.00000000,2443.00000000,2443.0,431.43120000
20,2443.00000000,2454.00000000,2177.00000000,2238.0,1251.70790000
21,2235.00000000,2262.00000000,2161.00000000,2188.0,708.31060000
22,2187.00000000,2209.00000000,2113.00000000,2173.0,668.56980000
23,2174.00000000,2474.00000000,2161.00000000,2242.0,1874.09970000
24,2243.00000000,2279.00000000,2240.00000000,2244.0,450.89710000
25,2248.00000000,2253.00000000,2107.00000000,2184.0,747.34100000
26,2181.00000000,2237.00000000,2122.00000000,2208.0,618.20150000
27,2210.00000000,2233.00000000,2109.00000000,2164.0,1024.36400000
28,2161.00000000,2165.00000000,2104.00000000,2132.0,378.70680000
29,2133.00000000,2194.00000000,2095.00000000,2166.0,709.91121000
30,2164.00000000,2186.00000000,2147.00000000,2162.0,152.09760000
31,2162.00000000,2167.00000000,2029.00000000,2031.0,500.05350000
32,2031.00000000,2088.00000000,2000.00000000,2047.0,1017.15720000
33,2048.00000000,2118.00000000,2034.00000000,2100.0,272.38650000
34,2101.00000000,2121.00000000,2073.00000000,2115.0,179.43180000
35,2116.00000000,2142.00000000,2063.00000000,2136.0,334.31080000
36,2137.00000000,2160.00000000,2106.00000000,2122.0,240.43400000
37,2122.00000000,2147.00000000,2104.00000000,2138.0,170.95040000
38,2136.00000000,2144.00000000,2076.00000000,2083.0,149.26420000
39,2084.00000000,2086.00000000,1935.00000000,1971.0,1223.08751000
40,1972.00000000,2005.00000000,1955.00000000,1987.0,401.44810000
41,1987.00000000,2038.00000000,1974.00000000,2014.0,333.02110000
42,2012.00000000,2046.00000000,2004.00000000,2030.0,179.04490000
43,2028.00000000,2087.00000000,2001.00000000,2072.0,485.56100000
44,2072.00000000,2077.00000000,2044.00000000,2076.0,353.12390000
45,2075.00000000,2093.00000000,2054.00000000,2062.0,283.60030000
46,2065.00000000,2117.00000000,2039.00000000,2094.0,312.93130000
47,2097.00000000,2153.00000000,2097.00000000,2149.0,562.80290000
48,2149.00000000,2181.00000000,2143.00000000,2168.0,250.97600000
49,2168.00000000,2181.00000000,2133.00000000,2157.0,199.71150000
50,2159.00000000,2191.00000000,2155.00000000,2159.0,292.48900000
51,2160.00000000,2200.00000000,2094.00000000,2112.0,447.49000000
52,2112.00000000,2130.00000000,2075.00000000,2097.0,232.35820000
53,2097.00000000,2153.00000000,2082.00000000,2153.0,166.40240000
54,2153.00000000,2168.00000000,2103.00000000,2120.0,192.59110000
55,2119.00000000,2165.00000000,2104.00000000,2148.0,267.29840000
56,2150.00000000,2198.00000000,2149.00000000,2191.0,123.35030000
57,2193.00000000,2200.00000000,2167.00000000,2187.0,98.46320000
58,2189.00000000,2226.00000000,2181.00000000,2219.0,204.17540000
