,open,high,low,close,volume
0,0.10700000,0.20000000,0.09680000,0.1062,135548660.90000000
1,0.10650000,0.10650000,0.09020000,0.0929,178666543.50000000
2,0.09290000,0.09730000,0.08180000,0.0875,154749195.80000000
3,0.08740000,0.08980000,0.08130000,0.087,136172291.20000000
4,0.08690000,0.09150000,0.08550000,0.0882,63344361.40000000
5,0.08820000,0.08820000,0.06500000,0.066,260630765.00000000
6,0.06600000,0.07480000,0.06500000,0.0709,243246628.50000000
7,0.07090000,0.07450000,0.06660000,0.0686,182894408.40000000
8,0.06860000,0.07560000,0.06800000,0.0712,104807097.60000000
9,0.07120000,0.07440000,0.06600000,0.0678,263346370.50000000
10,0.06780000,0.06790000,0.05510000,0.0593,393187141.30000000
11,0.05930000,0.06290000,0.05650000,0.0597,204710338.30000000
12,0.05980000,0.06570000,0.05930000,0.0613,125346008.30000000
13,0.06120000,0.06340000,0.05590000,0.0603,129441600.30000000
14,0.06020000,0.06130000,0.05390000,0.056,157153232.50000000
15,0.05590000,0.05750000,0.05300000,0.0565,172616606.30000000
16,0.05650000,0.05930000,0.05150000,0.0521,78957166.50000000
17,0.05210000,0.05830000,0.04970000,0.057,156205840.70000000
18,0.05710000,0.05800000,0.04670000,0.0476,259800786.00000000
19,0.04770000,0.04880000,0.04440000,0.0455,268038081.60000000
20,0.04550000,0.04710000,0.04380000,0.0461,101458043.30000000
21,0.04610000,0.04710000,0.03940000,0.0402,226737518.00000000
22,0.04030000,0.04190000,0.03830000,0.0399,168699239.20000000
23,0.03990000,0.04390000,0.03930000,0.0412,164659032.60000000
24,0.04110000,0.04300000,0.03870000,0.0407,102116298.20000000
25,0.04070000,0.04390000,0.03860000,0.0399,166616820.80000000
26,0.03990000,0.04070000,0.03710000,0.04,112261961.30000000
27,0.04000000,0.04100000,0.03770000,0.0381,138308369.80000000
28,0.03810000,0.03950000,0.03710000,0.0376,56557486.10000000
29,0.03760000,0.04040000,0.03640000,0.0402,114664155.60000000
30,0.04010000,0.04130000,0.03770000,0.0379,109973949.60000000
31,0.03790000,0.04070000,0.03760000,0.0392,108529998.00000000
32,0.03920000,0.03970000,0.03840000,0.0387,43492286.10000000
33,0.03860000,0.04090000,0.03800000,0.0406,55960600.90000000
34,0.04060000,0.04280000,0.04050000,0.0408,112801379.60000000
35,0.04080000,0.04140000,0.03820000,0.0383,82460119.70000000
36,0.03830000,0.03900000,0.03710000,0.0381,64424239.60000000
37,0.03810000,0.04070000,0.03780000,0.04,44000876.90000000
38,0.04010000,0.04250000,0.03960000,0.0415,87522810.10000000
39,0.04140000,0.04230000,0.03980000,0.0403,99600349.00000000
40,0.04020000,0.04060000,0.03820000,0.0397,83640351.50000000
41,0.03980000,0.04100000,0.03810000,0.0395,118728044.80000000
42,0.03950000,0.03980000,0.03470000,0.0374,196864480.70000000
43,0.03740000,0.04160000,0.03660000,0.0411,234857384.00000000
44,0.04110000,0.04110000,0.03870000,0.0388,43066522.30000000
45,0.03880000,0.04080000,0.03750000,0.0375,84042918.50000000
46,0.03760000,0.03760000,0.03490000,0.036,97361450.70000000
47,0.03610000,0.03700000,0.03200000,0.0325,173919012.90000000
48,0.03250000,0.03300000,0.02960000,0.0297,114338055.70000000
49,0.02970000,0.03080000,0.02800000,0.0304,166997025.30000000
50,0.03040000,0.03170000,0.03010000,0.0306,122834286.90000000
51,0.03060000,0.03320000,0.03040000,0.0332,151680013.90000000
52,0.03320000,0.03420000,0.03270000,0.0331,86329074.70000000
53,0.03320000,0.03350000,0.03050000,0.0307,90269818.30000000
54,0.03060000,0.03120000,0.02860000,0.029,121176562.10000000
55,0.02890000,0.03000000,0.02810000,0.0286,136470399.70000000
56,0.02870000,0.02910000,0.02820000,0.0283,48716306.30000000
57,0.02840000,0.02880000,0.02730000,0.0279,87926962.50000000
58,0.02790000,0.02880000,0.02780000,0.0286,56723487.10000000
59,0.02860000,0.03190000,0.02780000,0.0313,173000511.30000000
60,0.03130000,0.03360000,0.02880000,0.0296,150570853.40000000
61,0.02960000,0.03140000,0.02940000,0.0303,115611990.50000000
62,0.03030000,0.03320000,0.02800000,0.0295,184247562.80000000
63,0.02950000,0.03190000,0.02870000,0.0311,112227616.70000000
64,0.03110000,0.03170000,0.03030000,0.0314,63913159.50000000
65,0.03130000,0.03160000,0.02880000,0.0293,59448797.60000000
66,0.02940000,0.03100000,0.02930000,0.0298,44984498.70000000
67,0.02980000,0.03020000,0.02820000,0.0299,90122382.70000000
68,0.02990000,0.03040000,0.02490000,0.0259,186846532.70000000
69,0.02590000,0.02750000,0.02540000,0.0259,91338441.10000000
70,0.02590000,0.02660000,0.02520000,0.0258,89270364.60000000
71,0.02580000,0.02600000,0.02080000,0.023,472597639.30000000
72,0.02300000,0.02440000,0.02300000,0.0237,79392728.80000000
73,0.02370000,0.02420000,0.02270000,0.0233,77462407.20000000
74,0.02330000,0.02370000,0.02290000,0.0232,74193575.20000000
75,0.02330000,0.02370000,0.02230000,0.0234,89604368.00000000
76,0.02350000,0.02430000,0.02320000,0.0233,61137341.90000000
77,0.02320000,0.02610000,0.02320000,0.0244,134107525.00000000
78,0.02430000,0.02500000,0.02350000,0.024,81385053.70000000
79,0.02400000,0.02440000,0.02320000,0.0234,76162280.80000000
80,0.02340000,0.02490000,0.02340000,0.0243,46982880.60000000
81,0.02430000,0.02620000,0.02420000,0.0257,44392817.50000000
82,0.02580000,0.02610000,0.02460000,0.025,133626228.20000000
83,0.02500000,0.02720000,0.02500000,0.0264,243008149.80000000
84,0.02630000,0.02660000,0.02500000,0.0262,82069554.30000000
85,0.02610000,0.02680000,0.02530000,0.0257,62765822.50000000
86,0.02560000,0.02740000,0.02550000,0.0269,83963532.60000000
