,open,high,low,close,volume
0,0.30000000,0.86000000,0.30000000,0.5716,260220831.20000000
1,0.57160000,0.57960000,0.50780000,0.5351,61670925.30000000
2,0.53500000,0.57730000,0.44670000,0.4596,73483884.60000000
3,0.45950000,0.47950000,0.43620000,0.4568,52918524.20000000
4,0.45670000,0.48660000,0.43560000,0.4457,57343926.10000000
5,0.44580000,0.45070000,0.39200000,0.4357,27800211.30000000
6,0.43560000,0.44800000,0.40400000,0.4169,31012474.30000000
7,0.41690000,0.41940000,0.38280000,0.3855,39462252.70000000
8,0.38550000,0.39040000,0.36170000,0.367,37951050.70000000
9,0.36690000,0.39460000,0.36470000,0.3827,21211560.50000000
10,0.38270000,0.39170000,0.35260000,0.3586,29787002.70000000
11,0.35860000,0.37580000,0.35500000,0.372,29588156.80000000
12,0.37190000,0.40220000,0.36400000,0.3905,47876827.50000000
13,0.39060000,0.39620000,0.37680000,0.3885,25407230.80000000
14,0.38860000,0.41380000,0.37940000,0.3983,36068420.40000000
15,0.39830000,0.40610000,0.37560000,0.3892,37163402.00000000
16,0.38920000,0.39230000,0.37930000,0.3843,35183518.60000000
17,0.38430000,0.39380000,0.38120000,0.3898,17191925.50000000
18,0.38980000,0.42500000,0.38550000,0.4124,38867413.60000000
19,0.41240000,0.41990000,0.39770000,0.4027,41616497.00000000
20,0.40260000,0.41270000,0.39360000,0.398,36391783.60000000
21,0.39790000,0.41180000,0.39370000,0.4099,17562895.70000000
22,0.40990000,0.44850000,0.40990000,0.4295,46724766.20000000
23,0.42930000,0.42980000,0.38230000,0.3907,48740526.70000000
24,0.39060000,0.39500000,0.36910000,0.3754,53578401.30000000
