,open,high,low,close,volume
0,0.70560000,0.92500000,0.70560000,0.9077,14026571.30000000
1,0.90790000,0.92870000,0.88620000,0.8938,5953981.80000000
2,0.89390000,0.90180000,0.86440000,0.8742,3759665.20000000
3,0.87420000,0.89450000,0.87180000,0.8758,4421268.80000000
4,0.87590000,0.92500000,0.87360000,0.9046,6882767.80000000
5,0.90510000,0.92670000,0.90220000,0.9052,3019727.80000000
6,0.90530000,0.92740000,0.88600000,0.8884,4101849.60000000
7,0.88840000,0.90240000,0.87660000,0.8843,2235433.40000000
8,0.88420000,0.90000000,0.86640000,0.8956,3126314.00000000
9,0.89560000,0.90000000,0.83840000,0.8476,5246413.10000000
10,0.84760000,0.88980000,0.84490000,0.8739,4666352.80000000
11,0.87390000,0.89680000,0.85960000,0.8953,3280078.20000000
12,0.89540000,0.91360000,0.87110000,0.8897,7313399.50000000
13,0.88970000,0.89570000,0.87380000,0.8757,3125886.00000000
14,0.87580000,0.89100000,0.86480000,0.8761,3122192.50000000
15,0.87610000,0.91000000,0.86630000,0.8721,5772031.90000000
16,0.87210000,0.88500000,0.84350000,0.8481,5415350.40000000
17,0.84800000,0.85210000,0.82780000,0.8321,2820059.50000000
18,0.83200000,0.83680000,0.81840000,0.8221,3457290.70000000
19,0.82190000,0.83190000,0.80810000,0.8209,3418478.50000000
20,0.82090000,0.84430000,0.80220000,0.8032,5010315.60000000
21,0.80310000,0.84330000,0.80280000,0.8194,3659818.00000000
22,0.81930000,0.84300000,0.81740000,0.8401,2366189.50000000
23,0.84020000,0.85080000,0.83330000,0.842,2334895.40000000
24,0.84180000,0.85160000,0.82180000,0.8482,4600642.10000000
25,0.84820000,0.85080000,0.82410000,0.8291,2483714.50000000
26,0.82920000,0.83350000,0.82180000,0.8289,1542056.60000000
27,0.82890000,0.83670000,0.82290000,0.8315,1707518.60000000
28,0.83150000,0.83820000,0.82220000,0.8339,2021234.50000000
29,0.83390000,0.83610000,0.82590000,0.8308,1255665.00000000
30,0.83060000,0.84920000,0.82880000,0.8408,1748291.80000000
31,0.84090000,0.84940000,0.83580000,0.8403,1195758.10000000
32,0.84040000,0.85430000,0.83970000,0.8522,1975101.50000000
33,0.85230000,0.85860000,0.84610000,0.8549,1588227.80000000
34,0.85500000,0.86280000,0.84910000,0.8517,2024696.00000000
35,0.85170000,0.85490000,0.82290000,0.8272,1710116.50000000
