,open,high,low,close,volume
0,1.44000000,2.20000000,1.25700000,1.317,49913871.77000000
1,1.31800000,1.41900000,1.03900000,1.224,52503518.92000000
2,1.22400000,1.35000000,1.14200000,1.232,32738017.90000000
3,1.23400000,1.30900000,1.08600000,1.132,21889995.93000000
4,1.13200000,1.30100000,1.05000000,1.286,23107985.63000000
5,1.28500000,1.63300000,1.26600000,1.433,86732573.57000000
6,1.43400000,1.56800000,1.37100000,1.546,30259720.31000000
7,1.54600000,1.65300000,1.47100000,1.537,38526592.49000000
8,1.53700000,1.54500000,1.28900000,1.332,31192268.08000000
9,1.33000000,1.40900000,1.30400000,1.366,27031017.64000000
10,1.36500000,1.44200000,1.31200000,1.362,11160318.77000000
11,1.36200000,1.38400000,1.29700000,1.345,11647766.30000000
12,1.34800000,1.48400000,1.34400000,1.378,23898789.51000000
13,1.37800000,1.44900000,1.32500000,1.377,20826437.51000000
14,1.37700000,1.44700000,1.37000000,1.393,8392405.67000000
15,1.39300000,1.43500000,1.33300000,1.359,13305158.34000000
16,1.36000000,1.38600000,1.27800000,1.32,11897284.42000000
17,1.32000000,1.32600000,1.16000000,1.238,27335670.49000000
18,1.23900000,1.24700000,1.15100000,1.165,7976813.30000000
19,1.16600000,1.28300000,1.14000000,1.255,16563132.55000000
20,1.25600000,1.34400000,1.24200000,1.256,14791554.30000000
21,1.25600000,1.32700000,1.22300000,1.308,15142316.15000000
22,1.30800000,1.36800000,1.29700000,1.321,10303788.33000000
23,1.32000000,1.32000000,1.16600000,1.192,18068737.55000000
24,1.19100000,1.22800000,1.15200000,1.179,8078440.06000000
25,1.18000000,1.19500000,1.11400000,1.177,11196678.80000000
26,1.17700000,1.22500000,1.05000000,1.108,18022383.78000000
27,1.10700000,1.11800000,0.89800000,1.004,27182927.26000000
28,1.00400000,1.03700000,0.94500000,1.008,12384236.42000000
29,1.00700000,1.02500000,0.91600000,0.94,10577521.47000000
30,0.94000000,0.94500000,0.69800000,0.73,38806517.97000000
31,0.73000000,0.90000000,0.72100000,0.845,38854724.48000000
32,0.84600000,0.91000000,0.83100000,0.844,13668079.69000000
33,0.84600000,0.85700000,0.80300000,0.838,14378508.22000000
34,0.83800000,0.84200000,0.76700000,0.824,9245072.98000000
35,0.82400000,0.94700000,0.79500000,0.887,20006957.29000000
36,0.88700000,0.96400000,0.83200000,0.911,28794170.32000000
37,0.91100000,0.98000000,0.85400000,0.899,41059813.86000000
38,0.89900000,0.93500000,0.86500000,0.879,10652486.74000000
39,0.88000000,0.93000000,0.87400000,0.895,12388244.02000000
