,open,high,low,close,volume
0,0.37940000,1.00000000,0.37800000,0.405,34732543.80000000
1,0.40500000,0.44640000,0.40430000,0.4192,65601401.50000000
2,0.41910000,0.42780000,0.40960000,0.4108,18806737.60000000
3,0.41080000,0.42400000,0.40700000,0.4153,17609735.10000000
4,0.41490000,0.42000000,0.40570000,0.4085,14576699.90000000
5,0.40840000,0.41430000,0.40370000,0.4079,13684130.60000000
6,0.40790000,0.40790000,0.39800000,0.4058,11467207.40000000
7,0.40580000,0.40830000,0.40170000,0.4039,10304805.90000000
8,0.40380000,0.40500000,0.39800000,0.3994,11165173.10000000
9,0.39940000,0.40440000,0.39100000,0.3961,10764650.10000000
10,0.39610000,0.40180000,0.38660000,0.3887,14664636.80000000
11,0.38880000,0.39250000,0.37420000,0.3851,13663614.60000000
12,0.38520000,0.38610000,0.37460000,0.3798,14925823.90000000
13,0.37980000,0.38420000,0.37230000,0.3802,16891974.30000000
14,0.38020000,0.38040000,0.37430000,0.3759,5011110.40000000
15,0.37590000,0.38550000,0.37380000,0.3851,8459719.00000000
16,0.38520000,0.38770000,0.38130000,0.3832,8451486.50000000
17,0.38300000,0.39070000,0.38140000,0.3849,16663649.40000000
18,0.38470000,0.38560000,0.37790000,0.3816,8438212.50000000
19,0.38160000,0.38280000,0.37680000,0.3795,7779608.60000000
20,0.37930000,0.38120000,0.37260000,0.3764,7587075.40000000
21,0.37660000,0.38020000,0.37220000,0.3787,8327876.70000000
22,0.37870000,0.39020000,0.37810000,0.3902,12568319.80000000
23,0.39010000,0.39800000,0.38870000,0.3972,12583670.30000000
24,0.39720000,0.39960000,0.39390000,0.3972,10360791.00000000
25,0.39710000,0.40210000,0.39630000,0.4001,15908438.70000000
26,0.40020000,0.40200000,0.39250000,0.3991,9107427.10000000
27,0.39910000,0.40850000,0.39320000,0.406,11373438.60000000
28,0.40630000,0.40990000,0.40380000,0.404,11440766.70000000
29,0.40390000,0.40640000,0.39460000,0.3962,17002365.70000000
30,0.39620000,0.40140000,0.39470000,0.4014,4513504.60000000
31,0.40140000,0.40370000,0.39600000,0.3978,5490758.90000000
32,0.39790000,0.40210000,0.39790000,0.4012,5342264.30000000
33,0.40130000,0.40860000,0.40060000,0.4079,8089973.90000000
34,0.40790000,0.41170000,0.40500000,0.4115,5241021.90000000
35,0.41150000,0.41150000,0.40200000,0.4026,8981393.30000000
36,0.40240000,0.40550000,0.39910000,0.4015,7298301.10000000
37,0.40160000,0.40210000,0.39670000,0.4012,5687468.30000000
38,0.40120000,0.40230000,0.39260000,0.401,10455742.70000000
39,0.40100000,0.40710000,0.39410000,0.4052,13745754.20000000
40,0.40520000,0.40540000,0.40000000,0.4017,11102770.10000000
41,0.40180000,0.40810000,0.40080000,0.4054,21107729.80000000
42,0.40540000,0.40800000,0.40440000,0.4059,11277437.10000000
43,0.40590000,0.40700000,0.40000000,0.4029,13498228.30000000
44,0.40290000,0.40920000,0.40280000,0.406,16687399.10000000
45,0.40600000,0.40810000,0.39900000,0.4046,18682399.10000000
46,0.40460000,0.40980000,0.40380000,0.4092,16035975.80000000
47,0.40920000,0.41400000,0.40800000,0.4093,15286147.10000000
48,0.40930000,0.41000000,0.40400000,0.4093,11049161.00000000
49,0.40920000,0.41900000,0.40880000,0.4093,16175856.50000000
50,0.40930000,0.41530000,0.40840000,0.4095,9273996.40000000
51,0.40950000,0.41380000,0.40280000,0.4137,13063316.50000000
52,0.41360000,0.42600000,0.41300000,0.4208,19015074.20000000
53,0.42100000,0.43230000,0.41960000,0.4258,23493704.80000000
54,0.42580000,0.42890000,0.42120000,0.4257,9912811.50000000
55,0.42560000,0.43520000,0.42350000,0.4347,15861703.60000000
56,0.43470000,0.43660000,0.42930000,0.4317,19941461.90000000
57,0.43170000,0.43830000,0.43010000,0.4329,24185753.20000000
58,0.43300000,0.43500000,0.43030000,0.4336,8286600.40000000
59,0.43350000,0.43750000,0.43150000,0.432,9622068.60000000
60,0.43200000,0.43230000,0.41740000,0.4236,13901300.00000000
61,0.42360000,0.42700000,0.42000000,0.4246,8661420.30000000
62,0.42460000,0.42660000,0.41890000,0.424,5393844.20000000
63,0.42400000,0.42510000,0.41990000,0.4208,5940667.00000000
64,0.42080000,0.42140000,0.41600000,0.4186,8173169.80000000
65,0.41860000,0.42380000,0.41350000,0.4225,9045610.80000000
66,0.42250000,0.42600000,0.41970000,0.4212,6761870.80000000
67,0.42130000,0.42220000,0.40600000,0.4135,14783861.50000000
68,0.41350000,0.41590000,0.40510000,0.4096,10594469.10000000
69,0.40970000,0.41080000,0.40220000,0.4044,10084975.00000000
70,0.40450000,0.40450000,0.39330000,0.3961,11855040.30000000
71,0.39620000,0.40480000,0.39340000,0.4029,8610888.00000000
72,0.40290000,0.40570000,0.40200000,0.4032,6706341.70000000
73,0.40330000,0.40400000,0.36600000,0.3799,42505771.30000000
74,0.37980000,0.38340000,0.36800000,0.3759,19163609.90000000
75,0.37590000,0.38730000,0.37410000,0.3824,10106143.30000000
76,0.38250000,0.38700000,0.37460000,0.377,9123199.90000000
77,0.37700000,0.38280000,0.37110000,0.381,19725937.90000000
78,0.38110000,0.38110000,0.36770000,0.3734,18735182.80000000
79,0.37330000,0.37910000,0.37060000,0.3752,8738878.30000000
80,0.37510000,0.37640000,0.36500000,0.3704,14882180.50000000
81,0.37040000,0.37490000,0.36540000,0.3744,24581339.80000000
82,0.37430000,0.37830000,0.37300000,0.3757,8172931.10000000
83,0.37580000,0.38060000,0.37490000,0.3799,7438447.80000000
84,0.38000000,0.38070000,0.37670000,0.3792,5963234.00000000
85,0.37920000,0.38610000,0.37650000,0.3834,15694917.90000000
86,0.38340000,0.38630000,0.38240000,0.3838,4747667.70000000
87,0.38390000,0.38590000,0.37940000,0.3842,5146057.80000000
88,0.38410000,0.38570000,0.38280000,0.384,3345571.00000000
89,0.38410000,0.38520000,0.37750000,0.3784,5440852.80000000
90,0.37840000,0.38020000,0.37590000,0.3794,4355124.70000000
91,0.37940000,0.38120000,0.37720000,0.3781,3057991.10000000
92,0.37810000,0.38140000,0.37750000,0.3811,2797219.20000000
93,0.38120000,0.38530000,0.38070000,0.3826,6007486.70000000
94,0.38270000,0.38360000,0.37990000,0.3829,4980152.50000000
95,0.38280000,0.39000000,0.38130000,0.3861,8724027.70000000
96,0.38600000,0.38770000,0.37890000,0.3839,7571941.10000000
97,0.38390000,0.38860000,0.38120000,0.3845,12237701.00000000
98,0.38450000,0.38510000,0.37290000,0.3742,13701053.80000000
99,0.37430000,0.37840000,0.37310000,0.3744,6837904.90000000
100,0.37450000,0.37630000,0.37170000,0.3762,6218706.80000000
101,0.37620000,0.37830000,0.37040000,0.3752,13048470.60000000
102,0.37510000,0.37980000,0.37290000,0.3765,6270522.40000000
103,0.37660000,0.38100000,0.37460000,0.3808,5539778.10000000
104,0.38070000,0.38070000,0.37370000,0.3761,4938944.80000000
105,0.37600000,0.37660000,0.37020000,0.3722,9629700.10000000
106,0.37230000,0.37270000,0.36110000,0.3669,13289366.70000000
107,0.36700000,0.37000000,0.36570000,0.3691,3778240.80000000
108,0.36930000,0.36970000,0.36230000,0.3686,5085726.40000000
109,0.36860000,0.37010000,0.36220000,0.3632,8550023.30000000
110,0.36310000,0.36870000,0.36030000,0.3686,6302403.40000000
111,0.36870000,0.37160000,0.36700000,0.3691,3182705.40000000
112,0.36910000,0.37390000,0.36890000,0.3725,4757158.60000000
113,0.37260000,0.37460000,0.37030000,0.3732,10271248.30000000
114,0.37320000,0.37500000,0.37210000,0.3735,7511617.60000000
115,0.37360000,0.37500000,0.37070000,0.3736,5552930.40000000
116,0.37350000,0.37600000,0.37230000,0.3735,7035048.60000000
117,0.37350000,0.37570000,0.37210000,0.3722,7442676.20000000
118,0.37230000,0.37300000,0.37070000,0.3717,5339805.80000000
119,0.37180000,0.37230000,0.36750000,0.3691,6345616.50000000
120,0.36920000,0.36980000,0.36620000,0.3664,5315932.40000000
121,0.36630000,0.36850000,0.36130000,0.3619,8953291.10000000
122,0.36180000,0.36710000,0.36090000,0.3663,7386023.20000000
123,0.36640000,0.37300000,0.36320000,0.3707,14916091.30000000
124,0.37090000,0.37420000,0.36980000,0.373,12909505.70000000
125,0.37300000,0.37600000,0.37200000,0.3752,16875705.90000000
126,0.37510000,0.37780000,0.37390000,0.3762,10226523.30000000
127,0.37620000,0.37870000,0.37280000,0.3731,11330806.10000000
128,0.37310000,0.37620000,0.36680000,0.3685,14961154.80000000
129,0.36860000,0.37790000,0.36120000,0.3713,34227996.10000000
130,0.37130000,0.37300000,0.36500000,0.3708,6993019.40000000
131,0.37070000,0.37430000,0.36770000,0.3701,6207583.00000000
132,0.37010000,0.37380000,0.36680000,0.3729,10621691.20000000
133,0.37300000,0.37380000,0.36720000,0.3701,10913620.20000000
134,0.37010000,0.37330000,0.36850000,0.3715,6467324.10000000
135,0.37150000,0.37380000,0.36850000,0.3685,6160253.90000000
136,0.36860000,0.36960000,0.36330000,0.3639,7101705.40000000
137,0.36370000,0.36890000,0.36260000,0.3642,9798914.20000000
138,0.36420000,0.36630000,0.36120000,0.3658,6082921.20000000
139,0.36580000,0.36990000,0.36470000,0.3688,5092028.50000000
140,0.36900000,0.37050000,0.36600000,0.3661,4815828.50000000
141,0.36620000,0.36910000,0.36430000,0.3676,9244035.60000000
142,0.36770000,0.37010000,0.36650000,0.3699,7408600.30000000
143,0.36980000,0.37700000,0.36960000,0.3753,8522491.70000000
144,0.37530000,0.37590000,0.37130000,0.3713,7523998.80000000
145,0.37130000,0.37420000,0.37050000,0.3711,4810365.00000000
146,0.37110000,0.37250000,0.37030000,0.3718,3882910.20000000
147,0.37180000,0.37250000,0.36770000,0.3691,4783499.20000000
148,0.36910000,0.37090000,0.36810000,0.3705,6234110.90000000
149,0.37060000,0.38400000,0.36920000,0.3787,30985499.30000000
150,0.37880000,0.38590000,0.37850000,0.3853,9393578.40000000
151,0.38530000,0.38820000,0.38070000,0.384,8837938.40000000
152,0.38400000,0.38490000,0.37480000,0.3774,12698057.70000000
153,0.37740000,0.37870000,0.36850000,0.3739,12714157.20000000
154,0.37390000,0.37480000,0.37080000,0.371,4332397.10000000
155,0.37090000,0.37410000,0.36800000,0.3732,7743333.70000000
156,0.37320000,0.37450000,0.36410000,0.367,13521116.60000000
157,0.36700000,0.36830000,0.36350000,0.3667,11797531.50000000
158,0.36670000,0.36770000,0.36400000,0.3668,8344050.40000000
159,0.36680000,0.36710000,0.36270000,0.3636,5457528.10000000
160,0.36360000,0.36570000,0.35850000,0.3597,12802353.50000000
161,0.35970000,0.36060000,0.35030000,0.3508,22660394.50000000
162,0.35080000,0.35570000,0.34610000,0.3552,10180222.50000000
163,0.35520000,0.35960000,0.35400000,0.3585,5229308.20000000
164,0.35850000,0.35910000,0.35190000,0.3542,11541571.20000000
165,0.35420000,0.35690000,0.35370000,0.3562,9367584.70000000
166,0.35610000,0.35930000,0.35520000,0.3562,5405084.60000000
167,0.35620000,0.35670000,0.34630000,0.3486,9829901.90000000
168,0.34870000,0.35250000,0.34580000,0.3518,7676844.10000000
169,0.35180000,0.35270000,0.33520000,0.3358,18503110.20000000
170,0.33570000,0.33970000,0.30590000,0.322,56051914.20000000
171,0.32210000,0.32920000,0.31860000,0.3258,34382822.30000000
172,0.32570000,0.32780000,0.32500000,0.3274,5843002.40000000
173,0.32730000,0.32790000,0.31900000,0.3262,10723761.60000000
174,0.32620000,0.33020000,0.32560000,0.329,4408832.40000000
175,0.32890000,0.33000000,0.32730000,0.3295,3455259.70000000
176,0.32940000,0.32940000,0.32550000,0.3263,4868822.40000000
