,open,high,low,close,volume
0,7.03000000,7.03000000,6.30300000,6.797,2213479.50000000
1,6.79500000,6.93000000,6.68000000,6.821,1062909.92000000
2,6.82100000,6.92800000,6.74100000,6.777,856262.20000000
3,6.77300000,6.77300000,6.52500000,6.719,701399.16000000
4,6.72300000,6.85000000,6.71800000,6.728,417262.83000000
5,6.72800000,6.80200000,6.48000000,6.539,1134193.26000000
6,6.53700000,6.65400000,6.35000000,6.465,649191.93000000
7,6.46300000,6.55200000,6.35200000,6.452,297173.56000000
8,6.45200000,6.52500000,6.37900000,6.401,281609.08000000
9,6.40400000,6.53400000,6.15400000,6.333,830638.33000000
10,6.34100000,6.37300000,6.20700000,6.266,369691.71000000
11,6.26200000,6.50500000,6.22100000,6.496,357487.12000000
12,6.49600000,6.66000000,6.45700000,6.615,518728.55000000
13,6.61900000,6.62700000,6.11500000,6.286,1265772.85000000
14,6.28900000,6.30500000,6.11400000,6.15,351421.02000000
15,6.15100000,6.29400000,6.10000000,6.165,458377.52000000
16,6.16500000,6.30200000,6.14500000,6.192,395654.58000000
17,6.19200000,6.23900000,6.03100000,6.083,449360.61000000
18,6.07700000,6.09200000,5.92100000,6.009,535635.60000000
19,6.01300000,6.18000000,5.73900000,5.996,574042.48000000
20,6.00300000,6.05700000,5.81800000,5.913,588709.21000000
21,5.91300000,6.06000000,5.81800000,5.943,588729.15000000
22,5.94200000,5.97800000,5.70100000,5.744,685668.27000000
23,5.74200000,5.89400000,5.50000000,5.703,574306.61000000
24,5.70300000,5.76000000,5.48000000,5.496,1185172.74000000
25,5.49600000,5.64300000,5.10600000,5.343,2574014.27000000
26,5.34300000,5.69100000,5.25400000,5.604,1172018.25000000
27,5.60200000,5.64900000,5.31100000,5.396,534216.07000000
28,5.39700000,5.47200000,5.26500000,5.314,543615.26000000
29,5.31700000,5.36400000,4.89200000,5.033,1753293.70000000
30,5.03600000,5.06100000,4.83000000,4.937,1138898.07000000
31,4.93500000,5.00000000,4.75700000,4.974,892385.60000000
32,4.97400000,5.16000000,4.97400000,5.144,634959.52000000
33,5.14300000,5.33500000,4.79400000,4.824,1799253.80000000
34,4.82400000,5.08700000,4.76400000,4.95,1318018.26000000
35,4.94800000,5.08400000,4.86800000,5.011,615664.26000000
36,5.00800000,5.03800000,4.83300000,4.919,648536.32000000
37,4.91700000,4.95600000,4.31700000,4.484,2092874.44000000
38,4.48400000,4.76700000,4.46500000,4.531,1405951.40000000
39,4.53400000,4.60300000,3.75000000,3.755,3584539.01000000
40,3.75500000,4.33900000,3.41000000,3.788,4448581.97000000
41,3.79200000,4.51500000,3.52000000,4.298,3936373.37000000
42,4.29800000,4.33100000,4.04700000,4.131,1266740.75000000
43,4.13200000,4.76100000,4.12200000,4.749,1669573.91000000
44,4.74900000,4.90000000,4.52200000,4.61,2208189.41000000
45,4.61100000,4.88400000,4.51100000,4.791,2123028.78000000
46,4.79000000,4.85800000,4.63800000,4.679,1088007.64000000
47,4.67600000,4.98100000,4.56400000,4.927,1206455.55000000
48,4.92700000,4.95200000,4.73900000,4.777,979832.63000000
49,4.77800000,4.93400000,4.48400000,4.511,1682608.46000000
50,4.50800000,4.52100000,4.29200000,4.374,1480886.47000000
51,4.37400000,4.72300000,4.27200000,4.614,1403599.34000000
52,4.61500000,4.64800000,4.43300000,4.548,1257800.20000000
53,4.54900000,4.84600000,4.50100000,4.76,1709065.73000000
54,4.76000000,5.07600000,4.73900000,5.044,1287883.26000000
55,5.04200000,5.12800000,4.84300000,4.882,1147934.45000000
56,4.88200000,4.96400000,4.81200000,4.896,744580.71000000
57,4.89600000,5.00400000,4.80400000,4.872,759030.95000000
58,4.87000000,4.92200000,4.80900000,4.853,587404.00000000
59,4.85100000,4.91900000,4.75000000,4.763,332590.59000000
60,4.76700000,4.90000000,4.75500000,4.895,337328.83000000
61,4.89600000,4.89900000,4.80000000,4.847,370295.65000000
62,4.84700000,4.96000000,4.84000000,4.899,503948.06000000
63,4.90300000,5.11900000,4.88700000,4.991,625140.57000000
64,4.99200000,5.02700000,4.80300000,4.831,916997.44000000
65,4.83000000,4.84000000,4.62000000,4.653,738121.75000000
66,4.65200000,4.67400000,4.46700000,4.481,882642.51000000
67,4.48100000,4.54800000,4.45900000,4.514,306209.09000000
68,4.51300000,4.76000000,4.42500000,4.752,1039647.55000000
69,4.75100000,4.77500000,4.47900000,4.641,1117878.86000000
70,4.64000000,4.72900000,4.55000000,4.708,428662.38000000
71,4.70600000,4.70900000,4.52400000,4.637,521517.39000000
72,4.63900000,4.68300000,4.55800000,4.614,395064.65000000
73,4.61400000,4.87900000,4.59200000,4.818,842343.50000000
74,4.81800000,4.87400000,4.71200000,4.828,430457.60000000
75,4.82900000,4.87400000,4.76100000,4.767,318079.43000000
76,4.76700000,4.94400000,4.75000000,4.886,594827.31000000
77,4.88800000,4.97800000,4.71300000,4.738,1096286.62000000
78,4.73800000,4.79600000,4.63100000,4.701,440999.01000000
79,4.70200000,4.85000000,4.63500000,4.644,302311.20000000
80,4.64400000,4.70000000,4.54700000,4.598,563119.71000000
81,4.59500000,4.76900000,4.52300000,4.526,684855.86000000
82,4.52600000,4.60200000,4.46100000,4.547,765236.94000000
83,4.54700000,4.56100000,4.46300000,4.527,293970.87000000
84,4.52700000,4.62200000,4.48900000,4.513,369836.85000000
85,4.51200000,4.52000000,4.30600000,4.46,705367.10000000
86,4.45800000,4.53400000,4.43400000,4.504,388038.61000000
87,4.50300000,4.57000000,4.45800000,4.502,305140.34000000
88,4.50100000,4.51500000,4.39300000,4.438,371341.38000000
89,4.43400000,4.55300000,4.42200000,4.507,370433.99000000
90,4.50600000,4.54500000,4.47300000,4.514,235780.46000000
91,4.51400000,4.57800000,4.47200000,4.473,251065.12000000
92,4.47300000,4.58900000,4.46500000,4.561,357592.17000000
93,4.55900000,4.63600000,4.55000000,4.565,691821.20000000
94,4.56400000,4.61100000,4.49400000,4.497,419125.19000000
95,4.49900000,4.50200000,4.40000000,4.416,345558.85000000
96,4.41700000,4.48300000,4.31500000,4.377,466694.78000000
97,4.37400000,4.49200000,4.32600000,4.426,502624.06000000
98,4.42700000,4.61600000,4.39200000,4.613,625683.74000000
99,4.61300000,4.71600000,4.56600000,4.684,888177.18000000
100,4.68400000,4.69000000,4.54400000,4.555,780737.08000000
101,4.55500000,4.60600000,4.37500000,4.488,847879.43000000
102,4.48500000,4.55800000,4.46500000,4.491,275239.04000000
103,4.49200000,4.52900000,4.46400000,4.51,154000.77000000
104,4.51000000,4.56400000,4.49000000,4.513,336026.04000000
105,4.51600000,4.62700000,4.38900000,4.584,725551.09000000
106,4.58400000,4.85700000,4.57400000,4.784,1133296.82000000
107,4.78400000,4.83500000,4.70600000,4.814,458382.89000000
108,4.81400000,5.04500000,4.80600000,4.993,1245780.86000000
109,4.99300000,5.09400000,4.92600000,4.939,1258825.50000000
110,4.93800000,5.05800000,4.93000000,5.053,589411.13000000
111,5.05400000,5.25000000,5.04700000,5.205,830589.42000000
112,5.20300000,5.23000000,5.15200000,5.156,675322.05000000
113,5.15700000,5.64400000,5.15700000,5.637,1605102.81000000
114,5.63700000,5.77100000,5.53600000,5.595,1439245.21000000
115,5.59600000,5.64700000,5.44500000,5.573,611466.61000000
116,5.57300000,5.90000000,5.56000000,5.747,975040.98000000
117,5.74600000,6.30500000,5.74200000,6.224,2231500.87000000
118,6.22400000,6.37500000,6.10700000,6.192,1316488.84000000
119,6.19300000,6.34000000,6.10000000,6.252,1135502.15000000
120,6.25200000,6.27400000,6.10100000,6.148,1478842.27000000
121,6.14900000,6.49500000,6.14300000,6.285,1884574.59000000
122,6.28600000,6.47000000,6.21300000,6.314,1017239.29000000
123,6.31400000,6.42800000,6.17700000,6.326,723651.72000000
124,6.33000000,6.37600000,6.17600000,6.265,850259.57000000
125,6.26700000,6.29700000,5.96100000,6.067,1847556.69000000
126,6.06800000,6.24300000,5.98600000,6.161,1079355.80000000
127,6.16000000,6.58300000,6.14900000,6.578,1164287.78000000
128,6.58100000,6.58400000,5.98800000,6.092,2253985.39000000
129,6.09100000,6.12600000,5.82100000,5.9,1621732.06000000
