,open,high,low,close,volume
0,0.30140000,0.42990000,0.30140000,0.3852,96402419.40000000
1,0.38510000,0.39290000,0.33020000,0.3431,39948711.10000000
2,0.34300000,0.35700000,0.32000000,0.3425,25578175.00000000
3,0.34230000,0.34860000,0.30760000,0.3157,23429200.50000000
4,0.31580000,0.32500000,0.28890000,0.291,34118121.10000000
5,0.29090000,0.29100000,0.26110000,0.2691,21843333.60000000
6,0.26900000,0.28170000,0.22980000,0.2466,31151058.90000000
7,0.24660000,0.26200000,0.23650000,0.2495,14771865.00000000
8,0.24940000,0.27530000,0.23880000,0.2628,27968671.60000000
9,0.26270000,0.29790000,0.25810000,0.2882,24966921.50000000
10,0.28800000,0.30070000,0.26230000,0.2692,24687304.30000000
11,0.26920000,0.27080000,0.25380000,0.2574,11852766.80000000
12,0.25730000,0.26770000,0.24550000,0.2483,14854173.90000000
13,0.24820000,0.25860000,0.24210000,0.2575,7126081.80000000
14,0.25740000,0.27250000,0.25550000,0.2595,12355034.80000000
15,0.25970000,0.26030000,0.24510000,0.2502,8431900.40000000
16,0.25010000,0.25690000,0.23910000,0.2439,12992306.00000000
17,0.24380000,0.24980000,0.23760000,0.2422,5865122.10000000
18,0.24210000,0.25840000,0.23830000,0.2557,10544547.80000000
19,0.25600000,0.26450000,0.25330000,0.2615,9696295.90000000
20,0.26150000,0.27940000,0.25440000,0.2743,19237701.00000000
21,0.27440000,0.28050000,0.25240000,0.2531,14473086.20000000
22,0.25340000,0.25980000,0.24890000,0.2512,7007459.60000000
23,0.25100000,0.25520000,0.24410000,0.2459,9781803.90000000
24,0.24580000,0.24580000,0.22200000,0.2257,14676773.50000000
25,0.22560000,0.23660000,0.22490000,0.2272,8217483.50000000
26,0.22730000,0.22900000,0.22270000,0.2251,6014957.30000000
27,0.22530000,0.22980000,0.21090000,0.2144,15072815.50000000
28,0.21450000,0.21570000,0.20520000,0.2137,16859082.50000000
29,0.21380000,0.22030000,0.21180000,0.2186,8576524.90000000
30,0.21870000,0.22480000,0.21610000,0.2231,9536433.10000000
31,0.22320000,0.22480000,0.21610000,0.2168,7784356.30000000
32,0.21690000,0.21790000,0.18660000,0.1975,22294842.00000000
33,0.19740000,0.19970000,0.18920000,0.1932,11117923.40000000
34,0.19330000,0.20040000,0.19270000,0.1941,7147643.30000000
35,0.19410000,0.19880000,0.18820000,0.1947,10035161.40000000
36,0.19470000,0.19650000,0.18050000,0.188,10761567.10000000
37,0.18800000,0.19390000,0.18090000,0.1828,5696874.00000000
38,0.18280000,0.18970000,0.17920000,0.1889,4163151.70000000
39,0.18880000,0.19220000,0.18610000,0.1908,4215213.70000000
40,0.19100000,0.19170000,0.17960000,0.1844,5829697.50000000
41,0.18440000,0.19390000,0.18290000,0.1928,10557952.50000000
42,0.19280000,0.19600000,0.18160000,0.1847,8069288.50000000
43,0.18470000,0.19530000,0.18390000,0.1888,9833594.70000000
44,0.18850000,0.19970000,0.18230000,0.1977,26117708.00000000
45,0.19760000,0.19770000,0.18480000,0.1884,10569008.40000000
46,0.18830000,0.19400000,0.18570000,0.1914,6879165.20000000
47,0.19130000,0.21840000,0.19110000,0.216,26496182.10000000
48,0.21590000,0.22550000,0.20030000,0.2144,30430973.80000000
49,0.21440000,0.22470000,0.21300000,0.2167,10477515.20000000
50,0.21680000,0.21770000,0.20940000,0.2155,7479216.60000000
51,0.21540000,0.21710000,0.20000000,0.2008,8549166.20000000
52,0.20090000,0.20370000,0.17240000,0.1861,41609922.80000000
53,0.18620000,0.18660000,0.16110000,0.1722,37000317.00000000
54,0.17220000,0.17810000,0.16820000,0.1692,15882843.50000000
55,0.16930000,0.17540000,0.16450000,0.1688,19304708.20000000
56,0.16870000,0.18500000,0.16110000,0.1621,42099302.50000000
57,0.16210000,0.16700000,0.15540000,0.1591,11499765.00000000
58,0.15920000,0.17070000,0.15880000,0.1653,11156893.90000000
59,0.16520000,0.16580000,0.15200000,0.1563,15028683.70000000
60,0.15630000,0.15650000,0.13930000,0.1397,19129099.60000000
61,0.13960000,0.14990000,0.13820000,0.148,14747306.30000000
62,0.14810000,0.15200000,0.14560000,0.1494,12604488.40000000
63,0.14940000,0.15210000,0.14740000,0.1512,8981794.20000000
64,0.15130000,0.15680000,0.14780000,0.1554,14022745.10000000
65,0.15540000,0.16300000,0.15350000,0.1579,16958612.90000000
66,0.15790000,0.16150000,0.15390000,0.1582,9257498.40000000
67,0.15830000,0.15900000,0.14950000,0.1558,9374410.00000000
68,0.15590000,0.17500000,0.14090000,0.1477,51051746.70000000
69,0.14770000,0.15570000,0.14670000,0.1526,11843706.80000000
70,0.15260000,0.15810000,0.15250000,0.1538,11506394.90000000
71,0.15390000,0.15700000,0.15090000,0.1531,9125289.80000000
72,0.15310000,0.15630000,0.15130000,0.1541,11254767.80000000
73,0.15410000,0.15930000,0.15300000,0.1576,9008480.80000000
74,0.15760000,0.15890000,0.15150000,0.1553,8928877.50000000
75,0.15520000,0.16370000,0.15490000,0.1634,11506452.80000000
76,0.16330000,0.16490000,0.15590000,0.1572,15565146.20000000
