,open,high,low,close,volume
0,6.95900000,6.99600000,6.62800000,6.795,501232.00000000
1,6.79700000,7.04200000,6.79100000,6.971,304098.40000000
2,6.97800000,7.02300000,6.82400000,6.863,246128.20000000
3,6.86200000,7.47000000,6.85700000,7.426,764181.80000000
4,7.42600000,7.44300000,7.26300000,7.361,518321.80000000
5,7.35900000,7.60300000,7.30900000,7.492,569726.40000000
6,7.49200000,7.73900000,7.34100000,7.537,688530.30000000
7,7.53600000,7.66500000,7.37100000,7.597,769718.90000000
8,7.59000000,7.59500000,7.32400000,7.385,401252.50000000
9,7.38200000,7.41100000,7.10200000,7.213,543130.00000000
10,7.20900000,7.44100000,7.12200000,7.396,630789.10000000
11,7.39700000,7.41800000,6.96900000,7.166,1007353.30000000
12,7.16300000,7.35100000,7.04500000,7.306,696726.50000000
13,7.30600000,7.59700000,7.10000000,7.49,589111.90000000
14,7.48300000,8.02600000,7.38800000,8.005,1479477.00000000
15,8.00500000,8.28600000,7.82400000,7.962,1948126.60000000
16,7.96000000,8.08700000,7.65600000,7.768,1408376.00000000
17,7.76900000,7.95000000,7.70000000,7.802,775412.80000000
18,7.80400000,8.21200000,7.79300000,7.915,1164230.80000000
19,7.91400000,8.06800000,7.62200000,7.643,1007910.30000000
20,7.64600000,7.67900000,6.71100000,7.09,3834341.60000000
21,7.09900000,7.13800000,6.62700000,6.785,1145684.80000000
22,6.78200000,6.86000000,6.53000000,6.651,1055916.20000000
23,6.65200000,7.25000000,6.60200000,7.055,2060295.80000000
24,7.05600000,7.21000000,6.96300000,6.969,591675.10000000
25,6.97100000,7.04000000,6.33800000,6.574,1248950.30000000
26,6.57400000,6.91000000,6.43700000,6.72,926683.80000000
27,6.72500000,7.05600000,6.55000000,6.786,1358877.80000000
28,6.78600000,6.79200000,6.44500000,6.519,730556.70000000
29,6.52000000,6.70700000,6.45000000,6.665,558909.50000000
30,6.66100000,6.78300000,6.56800000,6.64,606735.60000000
31,6.64300000,6.69000000,5.93200000,5.968,1196017.40000000
32,5.97200000,6.28200000,5.78100000,6.067,1532590.20000000
33,6.06700000,6.22900000,5.99600000,6.108,500901.60000000
34,6.10900000,6.21500000,5.91300000,6.172,460181.40000000
35,6.17200000,6.27500000,5.96700000,6.245,506558.20000000
36,6.25300000,6.41900000,6.17600000,6.21,597874.20000000
37,6.20900000,6.43000000,6.06700000,6.164,616211.10000000
38,6.16200000,6.21000000,5.95700000,5.986,501161.80000000
39,5.98800000,6.01800000,5.46600000,5.699,2033413.61500000
40,5.70500000,5.74000000,5.59400000,5.722,627107.90000000
41,5.72100000,5.88200000,5.65300000,5.824,400287.70000000
42,5.82200000,5.94700000,5.78200000,5.925,537934.40000000
43,5.92000000,6.46100000,5.91600000,6.356,1631400.70000000
44,6.35600000,6.35600000,6.12400000,6.173,1620044.80000000
45,6.17800000,6.34800000,6.04400000,6.338,1477291.00000000
46,6.33900000,6.61900000,6.20800000,6.518,1105053.90000000
47,6.52300000,6.81700000,6.50700000,6.713,1107700.50000000
48,6.72000000,7.02900000,6.68700000,6.992,864620.70000000
49,6.98500000,7.12700000,6.77700000,6.825,1006027.50000000
50,6.82600000,6.88600000,6.62300000,6.652,752945.90000000
51,6.64400000,6.91800000,6.44500000,6.537,1408593.80000000
52,6.53500000,6.56800000,6.28400000,6.321,768741.00000000
53,6.32000000,6.44100000,6.24900000,6.438,462311.00000000
54,6.43800000,6.47000000,6.08800000,6.146,823822.00000000
55,6.14900000,6.38200000,6.10300000,6.308,746185.80000000
56,6.30500000,6.44900000,6.28700000,6.39,349929.70000000
57,6.39000000,6.45100000,6.30600000,6.355,449653.70000000
58,6.35100000,6.40100000,6.31700000,6.377,262475.50000000
59,6.37500000,6.66200000,6.28000000,6.589,713122.40000000
60,6.59400000,6.62500000,6.51100000,6.518,329758.50000000
61,6.51600000,6.57000000,6.35600000,6.37,373489.10000000
62,6.36700000,6.54900000,6.23000000,6.285,1005669.70000000
63,6.28200000,6.47200000,6.20000000,6.368,734861.70000000
64,6.37000000,6.39200000,6.21500000,6.296,674768.60000000
65,6.29000000,6.31800000,5.98400000,6.072,661397.20000000
66,6.07600000,6.12100000,6.01800000,6.036,374697.20000000
67,6.03400000,6.07200000,5.76700000,5.851,1792614.10000000
68,5.85200000,5.92900000,5.75800000,5.875,584547.70000000
69,5.87400000,5.96600000,5.73300000,5.777,586070.80000000
70,5.77300000,5.91500000,5.63800000,5.817,558930.70000000
71,5.81300000,6.12100000,5.54500000,5.668,1161688.80000000
72,5.66000000,5.88600000,5.55300000,5.813,824574.80000000
73,5.80900000,5.82600000,5.55000000,5.613,499037.70000000
74,5.61200000,5.63000000,5.33400000,5.48,952972.73200000
75,5.48300000,5.57600000,5.42100000,5.52,806385.30000000
76,5.51900000,5.51900000,5.36800000,5.378,435458.00000000
77,5.37800000,5.42300000,5.23300000,5.412,542530.83900000
78,5.40600000,5.78000000,5.40600000,5.639,823453.50000000
79,5.63600000,5.89900000,5.52600000,5.815,1438299.00000000
80,5.81800000,5.82000000,5.02000000,5.07,1954213.42700000
81,5.06700000,5.12300000,4.66900000,4.786,2041346.10000000
82,4.78900000,5.13600000,4.72900000,4.866,1678861.80000000
83,4.87000000,4.95000000,4.53300000,4.869,2744575.10000000
84,4.86800000,4.94400000,4.15300000,4.259,2780289.47300000
85,4.25800000,4.34900000,3.85000000,3.918,1432026.96500000
86,3.91800000,4.20200000,3.54400000,3.966,3750406.70000000
87,3.96800000,4.16500000,3.74700000,3.789,2006521.50000000
88,3.78900000,4.03600000,3.66900000,3.896,1553305.30000000
89,3.89400000,4.02100000,3.80800000,3.97,776059.20000000
90,3.96700000,4.23800000,3.93200000,4.111,1167049.30000000
91,4.11200000,4.18000000,3.93500000,3.98,985698.10000000
92,3.97900000,3.99900000,3.72500000,3.931,2068601.50000000
93,3.92600000,3.92900000,3.66900000,3.716,870212.70000000
94,3.71400000,3.75700000,3.31600000,3.36,2053777.72900000
95,3.36100000,3.59000000,3.25700000,3.59,2595523.54500000
96,3.58900000,3.82200000,3.56200000,3.781,1398940.20000000
97,3.78800000,3.87600000,3.66000000,3.815,693818.30000000
98,3.81900000,4.12500000,3.70600000,3.928,1487456.30000000
99,3.92300000,4.10000000,3.81400000,4.073,1409089.70000000
100,4.07200000,4.33500000,4.04600000,4.185,2052547.60000000
101,4.18400000,4.23000000,4.04300000,4.164,632149.50000000
102,4.16500000,4.36100000,4.12100000,4.321,1069244.80000000
103,4.32400000,4.46200000,4.26100000,4.377,1044133.90000000
104,4.37900000,4.60000000,3.95300000,4.079,3341212.90000000
105,4.07900000,4.13000000,3.85400000,3.913,749292.80000000
106,3.91100000,4.04700000,3.89000000,4.036,743688.70000000
107,4.04400000,4.12400000,3.95500000,3.982,701184.90000000
108,3.98300000,4.02700000,3.79300000,3.994,968674.50000000
109,3.99600000,4.11900000,3.88600000,4.043,619627.90000000
110,4.04300000,4.06500000,3.85600000,3.885,628674.10000000
111,3.88900000,3.98000000,3.81900000,3.896,1006638.50000000
112,3.89600000,4.09100000,3.87700000,4.031,788235.10000000
113,4.03300000,4.19400000,4.02400000,4.156,564859.50000000
