,open,high,low,close,volume
0,172.65000000,172.74000000,167.67000000,169.99,285555.30000000
1,170.01000000,174.36000000,169.93000000,173.26,174377.66000000
2,173.25000000,173.81000000,170.80000000,171.53,115846.60000000
3,171.56000000,175.49000000,171.45000000,175.0,140943.74000000
4,175.04000000,179.20000000,174.64000000,179.06,203431.39000000
5,179.06000000,179.53000000,175.08000000,176.64,204272.28000000
6,176.64000000,176.84000000,174.51000000,175.66,109551.56000000
7,175.66000000,178.69000000,174.94000000,177.75,160213.43000000
8,177.75000000,177.75000000,174.31000000,176.35,146050.11000000
9,176.34000000,176.49000000,172.00000000,173.5,171444.00000000
10,173.50000000,175.02000000,172.35000000,174.74,138956.01000000
11,174.76000000,175.80000000,168.75000000,170.62,420979.13000000
12,170.62000000,171.35000000,166.59000000,170.15,299937.29000000
13,170.14000000,170.41000000,166.47000000,167.53,242214.84000000
14,167.53000000,172.28000000,167.05000000,171.63,281969.64000000
15,171.63000000,173.93000000,170.00000000,170.09,304697.19000000
16,170.16000000,170.96000000,167.00000000,167.72,212450.96000000
17,167.74000000,169.37000000,167.17000000,169.0,159588.17000000
18,169.01000000,171.32000000,168.00000000,168.51,174084.17000000
19,168.51000000,169.26000000,163.01000000,163.56,306835.30000000
20,163.56000000,165.46000000,144.92000000,154.52,1019340.53000000
21,154.48000000,154.80000000,147.06000000,149.34,467918.42000000
22,149.35000000,151.00000000,145.98000000,147.56,380605.90000000
23,147.54000000,152.74000000,146.32000000,152.2,461362.39000000
24,152.23000000,154.44000000,150.00000000,150.26,265184.59000000
25,150.28000000,150.72000000,135.52000000,140.05,1013436.43000000
26,140.06000000,144.00000000,134.60000000,139.21,674886.28000000
27,139.20000000,142.83000000,133.08000000,140.19,760579.54000000
28,140.19000000,140.96000000,135.94000000,136.45,270495.05000000
29,136.43000000,142.00000000,135.80000000,141.89,356072.69000000
30,141.88000000,148.11000000,140.43000000,146.43,617467.28000000
31,146.44000000,146.82000000,135.01000000,135.44,641646.11000000
32,135.43000000,146.94000000,133.00000000,142.14,1080229.43000000
33,142.10000000,145.36000000,140.70000000,141.15,468810.09000000
34,141.14000000,142.18000000,137.83000000,140.56,298901.73000000
35,140.59000000,144.83000000,137.97000000,144.61,317005.59000000
36,144.63000000,145.71000000,140.00000000,140.82,350435.74000000
37,140.82000000,143.59000000,138.88000000,142.97,255687.44000000
38,143.00000000,143.86000000,138.96000000,139.44,229428.12000000
39,139.45000000,139.76000000,130.00000000,132.92,1119640.33000000
40,132.92000000,136.10000000,131.87000000,135.86,289756.62000000
41,135.84000000,137.89000000,133.58000000,135.65,261261.99000000
42,135.65000000,138.52000000,134.27000000,135.4,213040.48000000
43,135.40000000,143.08000000,135.00000000,141.62,539697.74000000
44,141.65000000,143.50000000,139.68000000,140.2,314579.36000000
45,140.19000000,141.53000000,139.07000000,140.29,217932.05000000
46,140.29000000,144.10000000,138.22000000,141.42,389008.35000000
47,141.40000000,152.22000000,141.23000000,151.1,911729.33000000
48,151.10000000,153.39000000,149.12000000,151.51,428119.03000000
49,151.50000000,152.22000000,148.12000000,149.49,256081.54000000
50,149.49000000,152.80000000,149.34000000,150.32,290181.94000000
51,150.33000000,157.80000000,148.64000000,150.63,914580.99000000
52,150.64000000,151.73000000,145.41000000,146.14,523277.12000000
53,146.13000000,149.40000000,144.39000000,149.31,296101.94000000
54,149.31000000,150.56000000,141.84000000,143.45,446485.44000000
55,143.45000000,148.58000000,142.02000000,145.88,397864.71000000
56,145.89000000,149.80000000,145.39000000,146.17,287693.21000000
57,146.18000000,147.29000000,144.59000000,145.17,182677.34000000
58,145.17000000,146.82000000,144.70000000,146.4,159156.99000000
59,146.39000000,148.83000000,143.90000000,148.37,314302.86000000
60,148.37000000,149.49000000,147.13000000,147.64,208877.56000000
61,147.61000000,148.22000000,146.09000000,146.57,150386.45000000
62,146.56000000,150.73000000,146.42000000,148.13,254743.50000000
63,148.11000000,151.96000000,147.08000000,149.57,341146.71000000
64,149.55000000,149.90000000,146.30000000,147.98,217993.48000000
65,147.98000000,148.29000000,141.66000000,143.01,360249.74000000
66,143.02000000,144.01000000,142.27000000,142.46,268746.25000000
67,142.46000000,143.80000000,139.15000000,139.89,358555.30000000
68,139.91000000,140.29000000,137.02000000,139.8,310102.85000000
69,139.81000000,141.83000000,138.11000000,139.1,294566.70000000
70,139.07000000,140.90000000,135.95000000,137.62,265904.83000000
71,137.61000000,138.24000000,134.39000000,136.35,373037.97000000
72,136.32000000,142.77000000,135.64000000,141.22,320827.67000000
73,141.32000000,142.70000000,136.96000000,138.31,283157.30000000
74,138.31000000,138.76000000,132.77000000,136.13,346779.61000000
75,136.15000000,138.61000000,135.33000000,137.31,335490.46000000
76,137.32000000,137.71000000,134.71000000,135.25,209744.02000000
77,135.23000000,137.30000000,134.49000000,137.01,141005.01000000
78,137.01000000,138.20000000,135.60000000,137.89,163555.03000000
79,137.90000000,143.83000000,136.96000000,140.16,484017.85000000
80,140.18000000,141.55000000,126.01000000,127.54,676016.09000000
81,127.54000000,128.73000000,121.04000000,125.9,1080104.41000000
82,125.87000000,126.91000000,121.27000000,122.19,465947.06000000
83,122.19000000,126.89000000,115.55000000,123.5,1425315.77000000
84,123.47000000,125.46000000,106.11000000,112.27,1551653.45000000
85,112.24000000,114.89000000,103.54000000,104.29,827055.93000000
86,104.29000000,105.02000000,87.73000000,98.69,2855405.48000000
87,98.69000000,103.30000000,91.46000000,92.22,1529395.25000000
88,92.22000000,97.48000000,88.54000000,94.54,1243752.32000000
89,94.57000000,99.25000000,93.25000000,97.33,734552.25000000
90,97.33000000,104.82000000,96.48000000,101.85,1190907.57000000
91,101.85000000,103.19000000,96.12000000,98.51,809528.32000000
92,98.52000000,101.85000000,93.95000000,99.78,826762.90000000
93,99.74000000,99.83000000,88.59000000,88.61,1334587.85000000
94,88.62000000,90.21000000,81.71000000,83.94,1879521.18000000
95,83.95000000,90.00000000,80.83000000,88.88,2276805.39000000
96,88.92000000,96.31000000,87.66000000,91.93,1499122.29000000
97,91.94000000,92.03000000,87.41000000,89.16,559988.29000000
98,89.15000000,94.52000000,88.07000000,91.59,866600.37000000
99,91.60000000,97.98000000,90.38000000,96.55,1049219.02000000
