,open,high,low,close,volume
0,0.10000000,2.00000000,0.10000000,1.3329,373016962.70000000
1,1.33290000,1.41500000,1.28100000,1.4016,73581530.70000000
2,1.40160000,1.49900000,1.37460000,1.3981,69170490.20000000
3,1.39770000,1.39830000,1.29680000,1.3021,50724509.50000000
4,1.30220000,1.35000000,1.29610000,1.325,29977406.40000000
5,1.32500000,1.34700000,1.30880000,1.3303,10824036.50000000
6,1.33030000,1.33900000,1.26000000,1.286,26911269.30000000
7,1.28560000,1.38000000,1.26250000,1.3427,37752980.40000000
8,1.34250000,1.36940000,1.29280000,1.2955,32103652.10000000
9,1.29580000,1.31730000,1.28010000,1.3064,12335975.50000000
10,1.30670000,1.36290000,1.29020000,1.3304,23967170.40000000
11,1.33040000,1.37520000,1.30070000,1.3243,22374017.50000000
12,1.32430000,1.35160000,1.27000000,1.3128,29444984.70000000
13,1.31190000,1.33880000,1.30180000,1.3297,8880446.10000000
14,1.32990000,1.34690000,1.28660000,1.3024,13143222.40000000
15,1.30200000,1.31380000,1.28170000,1.2908,8127837.90000000
16,1.29080000,1.31100000,1.27540000,1.2837,11880123.10000000
17,1.28360000,1.29110000,1.22000000,1.2431,8753456.60000000
18,1.24300000,1.24390000,1.09000000,1.1604,40245048.00000000
19,1.16050000,1.16190000,1.11240000,1.1434,25765501.10000000
20,1.14300000,1.16230000,1.06110000,1.0682,22691712.80000000
21,1.06790000,1.16000000,1.02220000,1.1374,32043839.10000000
22,1.13770000,1.14340000,1.10320000,1.1229,13284079.70000000
23,1.12290000,1.15500000,1.09320000,1.1405,21240698.70000000
24,1.14030000,1.17880000,1.12370000,1.1569,30835881.50000000
25,1.15730000,1.21580000,1.15000000,1.1842,19386296.70000000
26,1.18420000,1.22840000,1.16750000,1.1715,25854830.70000000
27,1.17140000,1.18000000,1.11500000,1.1459,61727907.30000000
28,1.14610000,1.24480000,1.09880000,1.1649,61384102.50000000
29,1.16480000,1.20050000,1.15100000,1.1787,19156780.80000000
30,1.17880000,1.18190000,1.12500000,1.1387,17131970.10000000
31,1.13870000,1.14440000,1.12110000,1.1272,12882977.70000000
32,1.12710000,1.14600000,1.05010000,1.0637,36403578.80000000
33,1.06350000,1.08130000,1.03360000,1.0736,20411952.10000000
34,1.07370000,1.08340000,1.01300000,1.0226,19186285.70000000
35,1.02250000,1.07250000,1.01750000,1.0484,15311696.60000000
36,1.04840000,1.08000000,1.04320000,1.0607,14848930.40000000
37,1.06070000,1.12290000,1.03000000,1.1152,17243482.10000000
38,1.11500000,1.12310000,1.08570000,1.0922,7705351.00000000
39,1.09210000,1.12740000,1.09030000,1.126,7494879.40000000
40,1.12600000,1.14000000,1.08780000,1.0928,13922954.00000000
41,1.09290000,1.10460000,1.08550000,1.0994,6824863.40000000
42,1.09930000,1.10210000,1.06770000,1.0926,6603768.00000000
43,1.09280000,1.14360000,1.09150000,1.1258,10103748.20000000
44,1.12590000,1.20490000,1.11690000,1.174,25882000.10000000
45,1.17400000,1.17530000,1.14000000,1.1591,8603927.80000000
46,1.15890000,1.23890000,1.12410000,1.2229,26358888.60000000
47,1.22300000,1.25480000,1.21020000,1.2154,22502021.80000000
48,1.21630000,1.25000000,1.20250000,1.2133,20896192.80000000
49,1.21320000,1.22600000,1.18350000,1.193,6993891.30000000
50,1.19340000,1.20710000,1.16600000,1.173,13633429.10000000
51,1.17290000,1.20040000,1.16500000,1.1717,14455787.70000000
52,1.17170000,1.17900000,1.14050000,1.1653,14653627.50000000
53,1.16550000,1.17280000,1.14960000,1.1651,5913341.20000000
54,1.16540000,1.19900000,1.15230000,1.1611,10555547.70000000
55,1.16100000,1.16580000,1.11150000,1.1219,13377222.50000000
56,1.12150000,1.18660000,1.11870000,1.1687,25052694.70000000
57,1.16880000,1.21550000,1.16310000,1.2131,15561050.20000000
58,1.21310000,1.22450000,1.18250000,1.1901,10352665.60000000
59,1.19010000,1.19790000,1.16760000,1.1822,9877682.10000000
60,1.18210000,1.18380000,1.12660000,1.133,13092461.60000000
61,1.13300000,1.16130000,1.12870000,1.1415,7210803.20000000
62,1.14130000,1.14940000,1.12920000,1.1462,4709224.60000000
63,1.14620000,1.14830000,1.11970000,1.1299,6878058.00000000
64,1.13010000,1.14600000,1.11530000,1.1387,9640275.30000000
65,1.13890000,1.14120000,1.12730000,1.1304,3861632.30000000
66,1.13040000,1.13220000,1.11670000,1.1203,4998612.10000000
67,1.12030000,1.12480000,1.10800000,1.1196,4124301.30000000
68,1.11960000,1.13430000,1.11580000,1.1318,3627030.90000000
69,1.13200000,1.13240000,1.11780000,1.124,3392123.40000000
70,1.12410000,1.15300000,1.12130000,1.1465,6200598.50000000
