,open,high,low,close,volume
0,0.02204000,0.02210000,0.02127000,0.02179,23612069.00000000
1,0.02179000,0.02268000,0.02175000,0.02262,110196125.00000000
2,0.02260000,0.02278000,0.02218000,0.02226,36969124.00000000
3,0.02226000,0.02250000,0.02218000,0.02248,252573151.00000000
4,0.02245000,0.02249000,0.02225000,0.02246,12206025.00000000
5,0.02246000,0.02250000,0.02210000,0.02221,49073746.00000000
6,0.02221000,0.02240000,0.02205000,0.0222,289720899.00000000
7,0.02219000,0.02252000,0.02212000,0.02244,240955674.00000000
8,0.02244000,0.02249000,0.02220000,0.0223,142803418.00000000
9,0.02229000,0.02263000,0.02220000,0.02232,164151061.00000000
10,0.02233000,0.02251000,0.02214000,0.02237,143097713.00000000
11,0.02237000,0.02252000,0.02192000,0.02209,175789998.00000000
12,0.02209000,0.02222000,0.02182000,0.02206,155057430.00000000
13,0.02207000,0.02215000,0.02182000,0.02211,201121221.00000000
14,0.02212000,0.02310000,0.02210000,0.02285,221228974.00000000
15,0.02285000,0.02330000,0.02261000,0.02279,298661240.00000000
16,0.02279000,0.02293000,0.02229000,0.02234,55895116.00000000
17,0.02234000,0.02271000,0.02228000,0.02271,81792485.00000000
18,0.02271000,0.02299000,0.02253000,0.02268,360285822.00000000
19,0.02268000,0.02276000,0.02236000,0.02236,414198243.00000000
20,0.02235000,0.02241000,0.02000000,0.02043,344834944.00000000
21,0.02045000,0.02070000,0.02010000,0.02045,443295691.00000000
22,0.02044000,0.02069000,0.02014000,0.02041,366466747.00000000
23,0.02043000,0.02093000,0.02036000,0.02074,323907580.00000000
24,0.02074000,0.02124000,0.02072000,0.02095,38847555.00000000
25,0.02095000,0.02100000,0.01926000,0.01972,337694187.00000000
26,0.01972000,0.02022000,0.01924000,0.01985,438435821.00000000
27,0.01986000,0.02004000,0.01905000,0.01968,351136322.00000000
28,0.01968000,0.01986000,0.01946000,0.01968,358704177.00000000
29,0.01969000,0.02008000,0.01957000,0.01993,307134579.00000000
30,0.01993000,0.02007000,0.01970000,0.0198,197459886.00000000
31,0.01981000,0.01989000,0.01893000,0.01895,275798774.00000000
32,0.01895000,0.01910000,0.01832000,0.01869,307983178.00000000
33,0.01869000,0.01912000,0.01857000,0.01893,338401577.00000000
34,0.01894000,0.01912000,0.01857000,0.0188,283255753.00000000
35,0.01881000,0.01918000,0.01856000,0.01911,309208304.00000000
36,0.01910000,0.01940000,0.01896000,0.01896,79824944.00000000
37,0.01895000,0.01934000,0.01894000,0.01917,343179626.00000000
38,0.01917000,0.01921000,0.01862000,0.01868,387630679.00000000
39,0.01868000,0.01874000,0.01745000,0.01795,338232407.00000000
40,0.01794000,0.01818000,0.01772000,0.01815,319159809.00000000
41,0.01815000,0.01853000,0.01791000,0.01822,404239224.00000000
42,0.01823000,0.01846000,0.01798000,0.01824,516137657.00000000
43,0.01824000,0.01884000,0.01795000,0.01853,544335190.00000000
44,0.01853000,0.01873000,0.01840000,0.01869,214952577.00000000
45,0.01869000,0.01892000,0.01865000,0.01878,654486335.00000000
46,0.01878000,0.01975000,0.01866000,0.01953,736511407.00000000
47,0.01952000,0.01991000,0.01946000,0.01965,624492143.00000000
48,0.01965000,0.01988000,0.01953000,0.01978,436562878.00000000
49,0.01978000,0.02004000,0.01934000,0.01966,478960562.00000000
50,0.01966000,0.01998000,0.01939000,0.0194,598453168.00000000
51,0.01939000,0.01990000,0.01906000,0.01931,801453840.00000000
52,0.01930000,0.01952000,0.01911000,0.0193,546744077.00000000
53,0.01929000,0.02043000,0.01913000,0.02023,736222995.00000000
54,0.02023000,0.02194000,0.02010000,0.02037,606635409.00000000
55,0.02037000,0.02072000,0.02012000,0.02044,529375503.00000000
56,0.02044000,0.02096000,0.02033000,0.02048,394455916.00000000
57,0.02050000,0.02113000,0.02025000,0.02072,415844510.00000000
58,0.02072000,0.02150000,0.02068000,0.02113,501945335.00000000
59,0.02114000,0.02131000,0.02055000,0.02104,431555281.00000000
60,0.02105000,0.02136000,0.02080000,0.02083,351413155.00000000
61,0.02083000,0.02150000,0.02079000,0.02128,389755762.00000000
62,0.02129000,0.02161000,0.02101000,0.02122,407845539.00000000
63,0.02121000,0.02134000,0.02080000,0.02093,285442273.00000000
64,0.02091000,0.02112000,0.02077000,0.02106,193431224.00000000
65,0.02106000,0.02155000,0.02059000,0.02074,362188314.00000000
66,0.02075000,0.02189000,0.02064000,0.02134,491550405.00000000
67,0.02133000,0.02137000,0.02046000,0.02057,441765134.00000000
68,0.02057000,0.02084000,0.02030000,0.02071,415333878.00000000
69,0.02071000,0.02093000,0.02014000,0.02016,418097226.00000000
70,0.02016000,0.02039000,0.01914000,0.01937,403074124.00000000
