,open,high,low,close,volume
0,439.80000000,1249.00000000,439.80000000,635.6,202254.44230000
1,635.50000000,671.60000000,620.80000000,623.4,38824.73270000
2,623.60000000,645.00000000,596.50000000,632.2,29159.96740000
3,632.00000000,646.30000000,611.90000000,614.4,31361.94930000
4,614.40000000,614.40000000,551.10000000,575.7,57502.86670000
5,575.70000000,583.80000000,500.00000000,537.5,33609.19480000
6,537.40000000,571.50000000,508.80000000,551.5,14897.96310000
7,551.50000000,556.30000000,531.00000000,533.7,10400.03360000
8,533.70000000,539.50000000,481.30000000,488.7,16653.20060000
9,488.70000000,541.50000000,400.00000000,509.2,55766.01380000
10,509.20000000,516.30000000,470.10000000,508.3,17768.80570000
11,507.70000000,534.50000000,502.90000000,519.9,13404.95940000
12,520.00000000,598.40000000,519.60000000,582.5,59100.04740000
13,583.30000000,623.90000000,570.00000000,586.5,30992.85490000
14,586.50000000,594.40000000,550.30000000,557.8,12760.17550000
15,557.70000000,584.20000000,552.40000000,570.0,13236.94840000
16,570.10000000,570.30000000,539.00000000,546.6,16726.65260000
17,546.50000000,548.40000000,519.00000000,524.9,16636.47700000
18,524.80000000,535.20000000,500.60000000,507.5,12868.51130000
19,508.00000000,526.20000000,478.80000000,480.7,21109.03120000
20,480.70000000,487.60000000,444.50000000,473.5,48739.34050000
21,473.30000000,504.90000000,470.20000000,500.8,11642.76290000
22,500.90000000,511.90000000,493.50000000,495.4,8883.03060000
23,495.20000000,500.90000000,458.90000000,462.3,16752.66790000
24,462.20000000,470.20000000,436.30000000,461.1,22261.08730000
25,461.00000000,481.60000000,448.30000000,455.0,13577.62830000
26,455.00000000,468.00000000,446.30000000,448.8,6779.10920000
27,448.60000000,467.40000000,434.60000000,456.9,15013.15110000
28,457.00000000,475.00000000,446.10000000,459.0,8400.86830000
29,458.50000000,472.90000000,455.00000000,466.2,3762.15860000
30,466.60000000,466.90000000,426.30000000,446.7,8926.87090000
31,446.90000000,476.90000000,446.20000000,471.9,10263.91080000
32,471.90000000,477.50000000,452.70000000,463.7,11835.27960000
33,463.40000000,463.50000000,428.20000000,442.0,14160.87890000
34,441.80000000,448.40000000,433.40000000,446.9,5703.85180000
35,447.00000000,455.00000000,436.20000000,440.8,6902.02060000
36,440.80000000,480.80000000,438.30000000,479.1,11354.97030000
37,479.10000000,493.10000000,468.40000000,485.1,8885.22310000
38,485.20000000,489.70000000,472.70000000,479.0,5601.08640000
39,479.80000000,481.90000000,468.10000000,475.4,4884.77430000
40,475.40000000,477.00000000,457.20000000,475.2,7758.69590000
41,475.40000000,487.30000000,470.80000000,474.8,4207.81700000
42,474.70000000,489.80000000,466.00000000,488.6,4463.36200000
43,489.00000000,494.90000000,476.30000000,485.7,6116.71630000
44,485.50000000,502.80000000,477.00000000,499.1,9849.25190000
45,499.00000000,531.10000000,498.70000000,520.9,16067.26300000
46,520.80000000,532.70000000,505.10000000,514.7,6520.13600000
47,514.90000000,520.00000000,493.40000000,512.7,7943.01990000
48,512.50000000,530.20000000,504.30000000,508.2,9105.33980000
49,508.00000000,508.40000000,494.50000000,500.1,3955.84290000
50,499.50000000,506.70000000,490.00000000,495.6,4271.05260000
51,495.70000000,506.70000000,491.50000000,501.0,4844.73630000
52,501.30000000,506.90000000,450.80000000,459.2,18258.02730000
53,459.30000000,464.70000000,443.30000000,452.6,15516.55460000
54,452.70000000,460.90000000,439.90000000,452.3,6640.89130000
55,452.50000000,465.20000000,447.20000000,457.4,13916.53670000
56,457.40000000,466.00000000,448.10000000,461.4,7042.48150000
57,461.40000000,472.70000000,458.20000000,460.8,4007.93890000
58,460.80000000,461.70000000,445.40000000,455.1,3185.97450000
59,454.90000000,455.80000000,440.00000000,445.3,4961.45760000
60,445.20000000,447.80000000,430.00000000,439.3,8462.63580000
61,439.20000000,439.20000000,425.40000000,427.0,5290.49920000
62,427.00000000,427.00000000,410.00000000,421.3,7978.21190000
63,421.60000000,425.40000000,410.10000000,413.7,5659.93150000
64,413.70000000,429.90000000,413.30000000,425.4,5184.14360000
65,425.60000000,427.20000000,417.40000000,421.9,4058.99820000
66,421.90000000,435.70000000,419.60000000,434.5,4473.47340000
67,434.60000000,438.40000000,423.50000000,427.9,4758.67060000
68,427.60000000,436.70000000,425.60000000,433.3,4120.08670000
69,433.30000000,436.30000000,419.40000000,423.3,3751.78150000
70,423.30000000,430.50000000,411.80000000,416.8,6840.35410000
71,417.10000000,417.10000000,381.30000000,399.1,25448.71130000
72,399.00000000,410.40000000,388.90000000,404.9,13102.76740000
73,404.70000000,412.00000000,397.80000000,401.3,7623.39130000
74,401.30000000,406.50000000,388.40000000,392.0,9691.73770000
75,392.00000000,395.40000000,372.00000000,374.7,11866.45160000
76,374.50000000,382.90000000,365.30000000,371.6,15906.85980000
77,371.60000000,392.80000000,368.50000000,388.6,11754.54870000
78,388.70000000,392.60000000,369.60000000,371.2,10502.74800000
79,371.50000000,372.20000000,340.30000000,360.8,23570.26830000
80,360.60000000,370.10000000,354.40000000,368.9,8407.62510000
81,368.70000000,391.00000000,368.60000000,380.9,10191.78400000
82,380.80000000,382.20000000,365.60000000,373.8,7008.84890000
83,373.80000000,401.40000000,370.30000000,397.6,8329.43880000
84,397.70000000,412.00000000,392.60000000,402.9,13322.26840000
85,402.90000000,415.30000000,394.00000000,404.3,6663.27490000
86,404.30000000,409.00000000,398.10000000,400.9,7426.23030000
87,401.00000000,403.60000000,392.70000000,395.0,6070.58280000
88,394.90000000,435.90000000,393.70000000,425.0,15163.57820000
89,425.00000000,432.50000000,418.40000000,425.6,7516.87800000
90,425.60000000,443.70000000,423.10000000,434.4,5556.81230000
91,434.40000000,455.40000000,429.10000000,445.7,11053.23340000
92,445.60000000,459.30000000,443.30000000,449.6,9531.43270000
93,449.60000000,470.00000000,444.30000000,446.6,6653.06740000
94,446.60000000,452.90000000,429.90000000,432.2,6658.58760000
95,432.20000000,445.00000000,430.50000000,438.1,4312.62100000
96,438.00000000,478.80000000,433.90000000,468.0,13456.64290000
97,467.90000000,469.10000000,450.50000000,455.4,7302.71980000
98,455.20000000,473.30000000,455.20000000,472.4,8120.77110000
99,472.40000000,488.40000000,459.70000000,469.9,11110.36200000
100,470.00000000,471.70000000,438.40000000,442.7,15219.68710000
101,442.90000000,449.60000000,439.50000000,441.8,4907.90340000
102,442.00000000,454.20000000,430.80000000,436.5,5946.57120000
103,436.40000000,466.10000000,430.20000000,436.0,13716.76390000
104,436.10000000,448.90000000,435.90000000,439.7,5784.13390000
105,439.50000000,439.50000000,418.10000000,419.1,7260.14130000
106,418.90000000,428.60000000,416.00000000,419.1,5362.96500000
107,419.30000000,421.30000000,390.30000000,391.7,16801.71080000
108,391.70000000,403.50000000,375.80000000,387.9,28884.85290000
109,387.90000000,397.40000000,383.50000000,391.8,8896.23690000
110,391.80000000,407.00000000,391.30000000,400.6,5763.67090000
111,400.50000000,405.40000000,382.40000000,384.5,9222.09680000
112,384.60000000,408.50000000,381.00000000,393.5,14643.01450000
113,393.50000000,399.00000000,389.30000000,393.0,9406.82440000
114,393.10000000,400.00000000,387.00000000,393.6,5679.85040000
115,393.40000000,400.00000000,388.90000000,395.4,9888.78980000
116,395.50000000,405.00000000,366.30000000,371.5,26332.47680000
117,371.40000000,378.00000000,367.90000000,376.5,6870.22320000
118,376.60000000,382.90000000,372.30000000,377.0,4969.73940000
119,376.80000000,381.70000000,370.00000000,372.3,5575.94690000
120,372.30000000,384.60000000,370.00000000,376.5,8799.37390000
121,376.60000000,378.00000000,372.40000000,374.7,3406.84730000
122,374.60000000,382.30000000,374.20000000,376.6,4286.88610000
123,376.60000000,380.00000000,373.60000000,375.9,3301.16610000
124,376.00000000,377.80000000,363.40000000,365.8,10056.53470000
125,365.70000000,367.30000000,359.40000000,362.9,7432.79830000
126,362.90000000,366.50000000,339.70000000,352.5,14819.57340000
127,352.50000000,376.20000000,352.50000000,364.8,14020.87770000
128,365.10000000,374.60000000,359.30000000,363.1,10889.66050000
129,363.00000000,364.00000000,355.50000000,357.3,5737.70750000
130,357.30000000,359.30000000,350.20000000,356.9,6695.46710000
131,356.70000000,356.90000000,340.10000000,341.1,12051.51920000
132,341.30000000,345.80000000,333.50000000,337.8,13334.91430000
133,337.70000000,349.80000000,337.20000000,343.9,8316.25830000
134,343.90000000,348.30000000,340.80000000,346.6,3287.19910000
135,346.40000000,362.00000000,343.60000000,355.8,10737.80800000
136,355.70000000,399.00000000,354.50000000,385.7,40661.09790000
137,385.70000000,398.00000000,380.60000000,389.7,13372.59530000
138,389.60000000,396.00000000,380.20000000,392.7,9432.82920000
139,392.50000000,406.10000000,387.20000000,403.7,13509.36150000
140,403.70000000,404.20000000,374.80000000,387.8,20448.09460000
