,open,high,low,close,volume
0,0.16820000,2.89000000,0.16820000,2.3849,156084974.10000000
1,2.38530000,4.18550000,2.30010000,3.6935,210365994.00000000
2,3.69440000,3.71610000,2.85550000,3.0598,102415250.00000000
3,3.05810000,3.57560000,2.96920000,3.3808,47091555.30000000
4,3.38080000,3.92000000,3.24000000,3.5247,66492014.30000000
5,3.52470000,3.71050000,3.03820000,3.1471,40112641.10000000
6,3.14820000,3.44550000,3.12120000,3.2801,21781469.70000000
7,3.28010000,3.39770000,2.89000000,2.9763,32145954.00000000
8,2.97660000,3.17540000,2.88000000,2.9915,27772402.00000000
9,2.99150000,3.12000000,2.92040000,3.0605,25422192.20000000
10,3.06030000,3.13630000,2.91000000,2.9936,12809949.40000000
11,2.99360000,2.99610000,2.64820000,2.715,22654046.70000000
12,2.71490000,2.74310000,2.60000000,2.6417,17362679.40000000
13,2.64170000,3.31000000,2.63900000,3.1176,43475572.70000000
14,3.11820000,3.29000000,2.94920000,3.1185,16432348.40000000
15,3.11860000,3.29950000,2.84390000,2.8955,14942805.20000000
16,2.89560000,3.08990000,2.86690000,2.9614,13348923.70000000
17,2.96080000,2.99480000,2.91370000,2.9493,10317812.20000000
18,2.94910000,2.96820000,2.87020000,2.9092,6135747.20000000
19,2.90930000,2.91280000,2.41110000,2.5476,34253650.10000000
20,2.54760000,2.56400000,2.41000000,2.4404,17031460.00000000
21,2.43910000,2.55060000,2.36210000,2.3941,15676889.00000000
22,2.39380000,2.52270000,2.30000000,2.4519,9277328.40000000
23,2.45190000,2.55470000,2.43500000,2.526,10334967.10000000
24,2.52650000,2.62500000,2.41180000,2.5048,13069125.80000000
25,2.50480000,2.53200000,2.19050000,2.309,20490517.50000000
26,2.30880000,2.43370000,2.28390000,2.3734,8483368.90000000
27,2.37410000,2.56000000,2.37210000,2.4909,15213782.40000000
28,2.49050000,2.87800000,2.47040000,2.6142,26023064.40000000
29,2.61430000,2.62710000,2.32290000,2.4078,17398624.90000000
30,2.40750000,2.44540000,2.34070000,2.3897,5716346.00000000
31,2.38850000,2.41600000,2.25060000,2.3788,9151583.60000000
32,2.37830000,2.43700000,2.33740000,2.3995,6284877.70000000
33,2.39960000,2.52820000,2.38480000,2.4822,13099501.50000000
34,2.48220000,2.52670000,2.34390000,2.4887,9973334.50000000
35,2.48910000,2.63900000,2.44380000,2.5531,12149653.30000000
36,2.55320000,2.63160000,2.46050000,2.4809,8785700.40000000
37,2.48050000,2.50220000,2.36370000,2.45,8540809.50000000
38,2.45030000,2.48920000,2.43210000,2.454,3031618.60000000
39,2.45400000,2.54840000,2.43960000,2.5043,4934893.20000000
40,2.50360000,2.54590000,2.40000000,2.4722,7933872.40000000
41,2.47180000,2.54600000,2.45080000,2.5009,5676114.90000000
42,2.50070000,2.57670000,2.46950000,2.536,4184384.20000000
