,open,high,low,close,volume
0,2.87700000,2.99990000,1.90000000,2.1989,37868627.20000000
1,2.19810000,2.50000000,2.12000000,2.278,22447287.20000000
2,2.27760000,2.39990000,2.16110000,2.2128,10603619.70000000
3,2.21300000,2.29990000,2.13000000,2.256,9585104.10000000
4,2.25600000,2.66000000,2.22000000,2.5769,22220728.30000000
5,2.57590000,2.66700000,2.45000000,2.5488,11743104.10000000
6,2.54890000,2.86590000,2.46130000,2.7663,11307097.80000000
7,2.76640000,2.85230000,2.42000000,2.5156,11823040.80000000
8,2.51790000,2.54100000,2.26660000,2.4155,9913410.70000000
9,2.41560000,2.45000000,2.32500000,2.3988,3226092.50000000
10,2.39990000,2.42570000,2.25000000,2.3793,4782244.60000000
11,2.37800000,2.40390000,2.21300000,2.3174,6273667.90000000
12,2.31660000,2.40210000,2.27290000,2.3665,6547837.00000000
13,2.36430000,2.48610000,2.35080000,2.3907,3078167.00000000
14,2.39050000,2.49880000,2.34900000,2.4596,3343368.60000000
15,2.45970000,2.49000000,2.38000000,2.4218,2971444.50000000
16,2.41840000,2.48400000,2.37770000,2.4068,2780859.10000000
17,2.40610000,2.44720000,2.34470000,2.4318,1638691.30000000
18,2.43180000,2.47800000,2.38210000,2.4162,1969270.30000000
19,2.41770000,2.42980000,2.29010000,2.3497,2524474.80000000
20,2.34880000,2.35520000,2.24390000,2.3224,2836478.60000000
21,2.32090000,2.33320000,2.25000000,2.309,1525164.30000000
22,2.30980000,2.36460000,2.28960000,2.3043,1374710.00000000
23,2.30530000,2.33390000,2.25000000,2.3182,2042104.20000000
24,2.31830000,2.35650000,2.28690000,2.3309,2224302.60000000
25,2.33090000,2.39500000,2.30180000,2.3652,1590297.30000000
26,2.36500000,2.43610000,2.29000000,2.3947,3617453.70000000
27,2.39570000,2.45490000,2.30000000,2.3199,3538527.10000000
28,2.31990000,2.34000000,2.22300000,2.279,3030556.80000000
29,2.27710000,2.34670000,2.26860000,2.3368,2277936.70000000
30,2.33930000,2.34880000,2.29240000,2.3027,938593.60000000
31,2.30270000,2.39670000,2.29880000,2.3486,2267589.40000000
32,2.34870000,2.41000000,2.33040000,2.3631,2824328.90000000
33,2.36270000,2.40010000,2.33290000,2.3693,1455750.30000000
34,2.36910000,2.56690000,2.35510000,2.4611,5200461.10000000
35,2.46110000,2.65030000,2.44750000,2.6345,6442011.00000000
36,2.63440000,2.63770000,2.25000000,2.4058,8540209.50000000
37,2.40590000,2.47000000,2.28670000,2.457,3398684.00000000
38,2.45550000,2.68800000,2.43770000,2.6011,5667548.60000000
39,2.60100000,2.61100000,2.35900000,2.4536,4251015.70000000
40,2.45650000,2.46550000,2.36880000,2.4378,2776013.30000000
41,2.43870000,3.30890000,2.43870000,3.1801,20078992.30000000
42,3.18020000,3.91670000,3.11680000,3.706,19270334.80000000
43,3.70600000,3.74000000,3.16000000,3.4016,10964299.10000000
44,3.39730000,4.26000000,3.37330000,4.0112,20658200.90000000
45,4.01080000,4.07470000,3.73710000,3.9719,9253261.10000000
46,3.97360000,4.30920000,3.70000000,4.1339,9743195.70000000
47,4.13290000,4.56600000,4.09590000,4.2644,11028262.40000000
48,4.26290000,4.40420000,3.95000000,4.2868,7062482.00000000
49,4.28640000,4.84000000,4.27860000,4.6191,9734026.60000000
50,4.61920000,5.49990000,4.52830000,5.2729,12162850.50000000
51,5.27340000,5.97900000,5.06460000,5.2864,16320131.70000000
52,5.28980000,5.55560000,4.67020000,5.0794,14479464.90000000
53,5.08110000,5.36000000,4.35880000,4.3692,7094668.30000000
54,4.36940000,5.65000000,4.21000000,5.4748,10343742.20000000
55,5.47540000,5.48880000,4.85680000,5.0997,6858572.60000000
56,5.09980000,6.30000000,4.90290000,5.8619,17140903.50000000
57,5.86340000,6.38300000,5.55550000,5.9825,10897668.30000000
58,5.98260000,6.43990000,5.72650000,6.0114,9087262.50000000
59,6.01030000,6.45800000,5.86000000,6.2237,6722806.10000000
60,6.22370000,6.54000000,5.95280000,6.0329,6717765.80000000
61,6.03590000,6.17830000,5.80000000,5.8514,5211983.60000000
62,5.85210000,6.34990000,5.68170000,6.2539,4123126.00000000
63,6.25440000,6.38000000,5.89810000,5.9372,3220701.20000000
64,5.93680000,5.94730000,5.52000000,5.5457,5053705.40000000
65,5.54800000,6.30000000,5.43290000,5.7535,6443587.20000000
66,5.74630000,6.65000000,5.69900000,6.4561,6671206.10000000
67,6.45860000,6.68420000,5.93800000,5.9895,8289111.40000000
68,5.98830000,6.38670000,5.75000000,6.3578,7786477.00000000
69,6.35670000,7.09830000,6.28000000,7.0601,6515630.40000000
70,7.05380000,7.27000000,6.40000000,6.4148,6246710.50000000
71,6.41590000,6.97700000,6.40190000,6.6624,6219381.60000000
72,6.66280000,6.95000000,6.44650000,6.8993,6090424.10000000
73,6.89920000,7.42000000,6.84010000,7.1434,5896966.10000000
74,7.14540000,7.28000000,6.83000000,7.1652,3470347.30000000
75,7.16600000,7.38900000,6.99870000,7.0386,3279839.20000000
76,7.03680000,7.15750000,6.70000000,7.035,3633113.70000000
77,7.03120000,7.13200000,6.58850000,6.7966,3624658.00000000
78,6.79890000,6.94000000,6.52070000,6.7054,3789565.90000000
79,6.70800000,6.87990000,6.61860000,6.694,3245507.60000000
80,6.69400000,7.05430000,6.56250000,6.7843,4784066.20000000
81,6.79010000,6.83010000,5.90000000,5.97,5670139.40000000
82,5.96870000,6.14800000,5.62000000,5.7342,5611869.60000000
83,5.73520000,5.82540000,5.47940000,5.5781,4063727.00000000
84,5.57310000,5.79790000,5.11000000,5.3176,9720819.60000000
85,5.32120000,5.76750000,5.00300000,5.0193,6543465.10000000
86,5.02550000,5.87420000,5.01660000,5.7097,5113604.40000000
87,5.71300000,6.10000000,5.61000000,5.8664,5453688.70000000
88,5.86880000,5.96120000,5.51650000,5.6142,3630388.30000000
89,5.61480000,6.32410000,5.55310000,6.1065,4378683.30000000
90,6.10900000,6.35000000,5.93080000,6.0098,2663480.40000000
91,6.01120000,6.13330000,5.86250000,5.8989,2163649.00000000
92,5.89800000,5.96080000,5.74110000,5.7961,1878443.00000000
93,5.79520000,5.86000000,5.62380000,5.6378,1337029.40000000
94,5.64220000,5.83500000,5.52000000,5.6166,2228992.50000000
95,5.61790000,5.67200000,5.43360000,5.6136,3568097.40000000
96,5.61380000,5.75970000,5.46700000,5.5047,2675057.40000000
97,5.50460000,5.69470000,5.40020000,5.5203,2028485.60000000
98,5.51920000,5.68960000,5.46530000,5.6308,1480855.80000000
99,5.63000000,5.78380000,5.48000000,5.5122,1659495.70000000
100,5.51130000,5.68680000,5.49410000,5.6431,1386984.10000000
101,5.64250000,5.98000000,5.63610000,5.9445,2582752.00000000
102,5.94620000,5.95790000,5.66770000,5.7374,1411586.60000000
103,5.74070000,5.84730000,5.60540000,5.6169,1369384.00000000
104,5.61560000,5.64820000,5.33920000,5.4024,2120194.70000000
105,5.40180000,5.53000000,5.34570000,5.4366,1175291.00000000
106,5.43760000,5.57030000,5.30070000,5.367,1168814.10000000
107,5.36810000,5.56560000,5.13100000,5.56,2727694.60000000
108,5.56000000,5.83240000,5.33600000,5.6769,3995525.10000000
109,5.67690000,5.92480000,5.51410000,5.881,2617514.50000000
110,5.88250000,5.92000000,5.49470000,5.5283,1704293.20000000
111,5.52770000,6.25000000,5.51130000,6.0912,3916555.90000000
112,6.09120000,6.45000000,6.01710000,6.2913,5204777.10000000
113,6.29180000,6.49000000,6.20350000,6.2376,2133295.70000000
114,6.23760000,6.46260000,6.20810000,6.4127,1691155.30000000
115,6.41110000,6.69480000,6.24000000,6.2893,2734913.00000000
116,6.28650000,6.34430000,5.97760000,6.139,2407828.50000000
117,6.13760000,6.20000000,6.01000000,6.0177,984672.10000000
118,6.01560000,6.21010000,5.92420000,6.0683,1271460.40000000
119,6.06840000,6.42000000,5.97730000,6.3566,1658332.70000000
120,6.36000000,6.50000000,6.26520000,6.3181,2636483.00000000
121,6.31580000,6.45750000,6.30440000,6.3928,734186.40000000
122,6.39210000,7.13180000,6.27000000,6.9743,4008551.90000000
123,6.97400000,7.11100000,6.81950000,6.9561,2737908.20000000
124,6.95420000,7.27600000,6.88580000,7.0733,2827080.70000000
125,7.07140000,7.24490000,7.01870000,7.0914,1231753.70000000
126,7.09100000,7.46420000,7.03760000,7.2618,2791012.80000000
127,7.26180000,8.38000000,7.26180000,8.2583,5128422.60000000
128,8.25830000,8.90000000,8.17140000,8.6007,7376120.00000000
129,8.60110000,9.22000000,8.55000000,8.8545,4412753.00000000
130,8.85890000,8.94990000,8.54970000,8.8151,2559084.10000000
131,8.81460000,9.31580000,8.14140000,8.2981,5259279.30000000
132,8.29480000,8.62640000,8.03550000,8.5857,3121330.80000000
133,8.58480000,8.79980000,8.37200000,8.5899,1499504.00000000
134,8.58950000,9.84980000,8.46290000,9.3649,6651877.60000000
135,9.36150000,9.47510000,8.01000000,8.9113,4254987.90000000
136,8.91210000,8.96640000,8.14230000,8.6614,4339812.10000000
137,8.65940000,9.29820000,8.60800000,8.9464,3046362.20000000
138,8.94550000,9.33000000,8.41540000,8.7624,2652235.80000000
139,8.76650000,8.99990000,8.33590000,8.5128,2270976.30000000
140,8.50650000,9.31800000,8.31000000,9.05,4858130.70000000
141,9.05000000,10.50000000,9.00650000,10.1463,6840334.80000000
142,10.14840000,11.50000000,10.10000000,10.5856,6609680.70000000
143,10.58540000,10.76100000,9.22400000,9.6178,6990160.20000000
144,9.61590000,10.65390000,9.43230000,10.5304,5591935.50000000
145,10.53110000,10.89000000,9.56300000,9.6156,3150049.10000000
146,9.62100000,10.10410000,9.53000000,10.046,2244855.70000000
147,10.04600000,10.17150000,9.38140000,9.7392,3038242.80000000
148,9.73790000,10.45000000,9.66000000,9.9647,4011158.40000000
149,9.96830000,9.99640000,9.41250000,9.5005,1749581.90000000
150,9.50180000,9.95630000,9.10800000,9.4026,2649712.60000000
151,9.40420000,9.79030000,9.32330000,9.79,1992430.00000000
152,9.78560000,9.95800000,8.80000000,9.0042,3794857.80000000
153,9.00420000,9.50000000,8.93280000,9.2798,2598463.10000000
154,9.28340000,9.65190000,9.28180000,9.4015,2046171.30000000
155,9.40360000,10.21870000,9.36870000,9.6313,3878659.10000000
156,9.63140000,9.98490000,9.32000000,9.4834,3810061.70000000
157,9.47930000,9.70740000,9.20000000,9.3198,1225139.30000000
158,9.31970000,9.77000000,9.22010000,9.719,999091.90000000
159,9.71900000,9.72880000,9.02000000,9.2553,1509735.20000000
160,9.25450000,9.60000000,9.25360000,9.4566,1395264.90000000
161,9.45490000,9.92000000,9.45490000,9.8297,1496560.80000000
162,9.82650000,10.73560000,8.66300000,10.0308,7025441.70000000
163,10.02360000,10.32310000,9.69120000,10.2463,2973949.90000000
164,10.24270000,10.47700000,9.54380000,9.9449,4285173.00000000
165,9.94000000,11.07160000,9.65000000,10.8108,4483466.90000000
166,10.80930000,12.47000000,10.74600000,12.4136,5767770.20000000
