,open,high,low,close,volume
0,4.35200000,6.47000000,4.35200000,6.169,2869883.21000000
1,6.17000000,6.36400000,6.13700000,6.179,2849943.02000000
2,6.17900000,6.28100000,6.05600000,6.218,1481828.88000000
3,6.21700000,6.60000000,6.08100000,6.366,3133778.99000000
4,6.36700000,6.62400000,6.35200000,6.379,3393826.43000000
5,6.37900000,6.83200000,6.37600000,6.655,3852084.07000000
6,6.65500000,6.68000000,6.51400000,6.619,848476.78000000
7,6.61900000,6.73900000,6.60500000,6.669,1003410.61000000
8,6.66900000,6.84600000,6.63900000,6.679,2540282.86000000
9,6.67900000,6.73000000,6.59900000,6.711,1084535.31000000
10,6.71000000,6.72900000,6.66400000,6.673,505180.36000000
11,6.67400000,6.72500000,6.63100000,6.631,766684.64000000
12,6.63100000,6.65500000,6.43900000,6.476,1413022.19000000
13,6.47500000,6.49000000,6.24600000,6.326,1387026.65000000
14,6.32700000,6.35400000,6.15400000,6.21,1048809.54000000
15,6.21000000,6.24300000,6.05700000,6.094,1006951.73000000
16,6.09400000,6.58600000,6.06800000,6.56,2376203.88000000
17,6.56200000,6.63000000,6.35500000,6.41,1566642.16000000
18,6.41100000,6.46300000,6.19200000,6.27,906470.79000000
19,6.27100000,6.29200000,6.18600000,6.282,695651.78000000
20,6.28200000,6.35600000,6.24000000,6.292,797821.23000000
21,6.29000000,6.47900000,6.27500000,6.439,2052427.01000000
22,6.43900000,6.53100000,6.40300000,6.456,772082.20000000
23,6.45500000,6.73300000,6.39200000,6.675,1245186.04000000
24,6.67500000,7.26900000,6.64500000,7.1,4524817.74000000
25,7.10100000,7.15700000,6.85500000,7.063,4099553.61000000
26,7.06300000,7.07300000,6.88800000,6.89,1033219.03000000
27,6.88900000,6.91400000,6.63500000,6.651,1625145.12000000
28,6.65000000,6.73300000,6.47500000,6.583,2178516.47000000
29,6.58300000,6.72700000,6.56200000,6.612,2654079.48000000
30,6.61300000,6.64900000,6.43000000,6.597,1870622.07000000
31,6.59800000,6.88600000,6.54400000,6.801,3746831.70000000
32,6.80100000,6.80200000,6.43300000,6.488,4621904.07000000
33,6.48800000,6.53000000,6.37600000,6.509,2590608.11000000
34,6.51000000,6.57600000,6.46400000,6.538,1209976.33000000
35,6.53700000,6.57800000,6.50000000,6.547,673173.52000000
36,6.54700000,6.55600000,6.38200000,6.418,1575131.12000000
37,6.41800000,6.49400000,6.40800000,6.449,902568.66000000
38,6.44800000,6.47700000,6.42700000,6.438,382351.40000000
39,6.43900000,6.51600000,6.40900000,6.515,567613.79000000
40,6.51400000,6.61400000,6.49000000,6.577,1203405.99000000
41,6.57700000,6.77700000,6.56800000,6.627,1655408.45000000
42,6.62600000,7.10400000,6.62100000,6.887,2369734.35000000
43,6.88700000,7.06800000,6.86100000,6.906,1951522.31000000
44,6.90500000,6.93800000,6.70900000,6.785,2004543.38000000
45,6.78500000,6.86200000,6.72000000,6.795,1753113.50000000
46,6.79600000,6.84700000,6.75300000,6.832,1709111.37000000
47,6.83200000,6.93200000,6.80900000,6.866,1241623.83000000
48,6.86700000,6.88700000,6.80900000,6.819,1204474.17000000
49,6.81800000,6.84900000,6.59200000,6.669,1851994.52000000
50,6.66900000,6.73200000,6.65200000,6.664,743326.36000000
51,6.66500000,6.67800000,6.60900000,6.64,615444.08000000
52,6.63900000,6.76700000,6.63000000,6.759,1217962.36000000
53,6.75900000,6.77200000,6.63600000,6.679,1316909.87000000
54,6.67900000,6.74500000,6.47900000,6.496,2162662.81000000
55,6.49600000,6.60000000,6.46000000,6.547,1334527.75000000
56,6.54600000,6.58000000,6.43000000,6.528,1670909.08000000
57,6.52800000,6.57300000,6.49000000,6.561,1362108.08000000
58,6.56100000,6.59000000,6.48600000,6.504,769057.73000000
59,6.50400000,6.58000000,6.49300000,6.57,797676.75000000
60,6.57100000,6.64400000,6.54700000,6.555,1287478.00000000
61,6.55500000,6.67900000,6.50000000,6.674,1956350.93000000
62,6.67300000,6.81400000,6.63800000,6.7,2190217.53000000
63,6.70100000,6.75700000,6.65100000,6.681,1086209.24000000
64,6.68200000,6.79900000,6.67800000,6.715,1169964.35000000
65,6.71600000,6.87800000,6.70800000,6.768,1823514.74000000
66,6.76800000,6.81400000,5.45200000,5.927,33749424.10000000
67,5.92600000,5.99400000,5.56700000,5.68,18672290.68000000
68,5.68100000,5.77100000,5.24500000,5.674,17973470.73000000
69,5.67400000,5.95000000,5.59300000,5.804,13541956.55000000
70,5.80400000,5.97600000,5.75500000,5.77,7070975.96000000
71,5.77000000,5.83000000,5.63100000,5.713,4768710.93000000
72,5.71300000,5.72100000,5.58400000,5.601,5390000.76000000
73,5.60200000,5.73100000,5.38500000,5.393,9709201.10000000
74,5.39300000,5.45700000,5.03000000,5.132,9280984.73000000
75,5.13200000,5.42500000,5.13100000,5.42,4380760.89000000
76,5.42000000,5.54800000,5.32900000,5.475,8006228.49000000
77,5.47500000,5.52900000,5.35800000,5.424,5281850.82000000
78,5.42500000,5.66800000,5.20000000,5.438,8291885.08000000
79,5.43800000,5.43800000,5.11100000,5.327,5585482.46000000
80,5.32800000,5.58400000,5.25500000,5.415,5624319.19000000
81,5.41600000,5.98000000,5.30400000,5.422,21206338.79000000
82,5.42100000,5.65000000,5.13400000,5.521,8814380.06000000
83,5.52100000,5.65800000,5.50600000,5.536,3510876.54000000
84,5.53600000,5.63000000,5.53200000,5.581,2945996.29000000
85,5.58000000,5.60000000,5.45000000,5.481,3701488.76000000
86,5.48100000,5.48500000,5.35800000,5.454,2054559.79000000
87,5.45400000,5.51400000,5.39700000,5.454,1642083.53000000
88,5.45400000,5.47400000,5.35500000,5.387,1418787.91000000
89,5.38700000,5.44900000,5.25600000,5.297,3446152.19000000
90,5.29700000,5.39800000,5.27700000,5.371,1267891.04000000
91,5.37100000,5.39800000,5.34200000,5.344,813205.22000000
92,5.34400000,5.37400000,5.30700000,5.326,905906.71000000
93,5.32500000,5.44300000,5.27500000,5.41,3095895.60000000
94,5.40900000,5.43900000,5.35900000,5.42,1048381.56000000
95,5.42100000,5.45700000,5.34400000,5.382,1260150.92000000
96,5.38200000,5.40500000,5.31600000,5.345,1074418.07000000
97,5.34500000,5.36600000,5.20900000,5.296,1699624.65000000
98,5.29600000,5.35700000,5.15000000,5.184,1502532.24000000
99,5.18300000,5.21300000,5.11100000,5.181,1100539.97000000
100,5.18100000,5.24700000,5.12900000,5.211,1552775.29000000
101,5.21100000,5.22200000,5.08000000,5.178,2531480.83000000
102,5.17800000,5.24600000,5.14600000,5.219,1238913.59000000
103,5.21800000,5.27900000,5.19100000,5.257,1127621.31000000
104,5.25700000,5.30000000,5.13800000,5.181,2156881.77000000
