,open,high,low,close,volume
0,1.35900000,1.47400000,1.21600000,1.277,7821113.37000000
1,1.27900000,1.29200000,1.21000000,1.237,2721436.22000000
2,1.23700000,1.28900000,1.23400000,1.251,1037509.73000000
3,1.25100000,1.29800000,1.23000000,1.242,1470629.75000000
4,1.24100000,1.25300000,1.14000000,1.16,2928512.79000000
5,1.16000000,1.19900000,1.15400000,1.166,1480450.97000000
6,1.16600000,1.19000000,1.16400000,1.174,747557.61000000
7,1.17500000,1.24300000,1.17100000,1.188,1433465.45000000
8,1.18600000,1.22000000,1.15500000,1.159,1246369.25000000
9,1.15900000,1.17600000,1.04700000,1.104,2272548.60000000
10,1.10400000,1.14000000,1.04700000,1.117,969120.67000000
11,1.11900000,1.12600000,1.05200000,1.079,817487.50000000
12,1.07700000,1.09600000,1.03000000,1.066,1503674.81000000
13,1.06400000,1.07000000,1.00200000,1.033,1325747.73000000
14,1.03500000,1.06000000,1.00300000,1.05,624854.87000000
15,1.04800000,1.17200000,1.03300000,1.13,2747066.08000000
16,1.12900000,1.13900000,1.03500000,1.074,1450190.42000000
17,1.07200000,1.13000000,1.06000000,1.087,1199635.65000000
18,1.08700000,1.17000000,1.07200000,1.093,1207168.52000000
19,1.09300000,1.13000000,1.08000000,1.089,518343.36000000
20,1.08900000,1.10200000,1.05300000,1.059,816890.31000000
21,1.06100000,1.08200000,1.04700000,1.065,681758.93000000
22,1.06800000,1.08700000,1.05000000,1.057,404481.22000000
23,1.05500000,1.07100000,1.04300000,1.058,378940.76000000
24,1.05800000,1.06900000,1.03600000,1.05,435646.95000000
25,1.04800000,1.12500000,1.03500000,1.066,1222164.92000000
26,1.06400000,1.09300000,1.06000000,1.075,414424.86000000
27,1.07500000,1.09100000,1.05800000,1.066,323398.44000000
28,1.06200000,1.07700000,1.05700000,1.065,549688.80000000
29,1.06300000,1.16000000,1.06200000,1.091,3415571.24000000
30,1.09200000,1.11000000,1.08100000,1.091,339293.88000000
31,1.08900000,1.12700000,1.07600000,1.102,726538.39000000
32,1.10400000,1.15500000,1.10000000,1.134,1553395.46000000
33,1.13200000,1.13500000,1.09400000,1.11,1020391.18000000
34,1.11300000,1.12400000,1.10000000,1.116,663744.13000000
35,1.11400000,1.12100000,1.08700000,1.094,633665.08000000
36,1.09200000,1.10400000,1.06800000,1.095,796437.71000000
37,1.09500000,1.09900000,1.07100000,1.074,639443.33000000
38,1.07400000,1.08200000,1.06400000,1.07,564937.92000000
39,1.07100000,1.10000000,1.05300000,1.085,1102487.29000000
40,1.08500000,1.09500000,0.97200000,1.042,2238365.90000000
41,1.04400000,1.04800000,1.02000000,1.035,821014.64000000
42,1.03500000,1.06700000,1.01000000,1.034,715436.56000000
43,1.03600000,1.06000000,1.01100000,1.04,901779.21000000
44,1.04100000,1.06000000,1.01900000,1.029,641089.72000000
45,1.02900000,1.07000000,1.01500000,1.025,1658021.13000000
46,1.02500000,1.03900000,1.02300000,1.032,663301.59000000
47,1.03200000,1.03700000,0.99000000,1.005,1144484.58000000
48,1.00400000,1.01600000,0.97400000,0.989,1157662.10000000
49,0.98900000,1.00000000,0.97200000,0.988,662956.92000000
50,0.98900000,1.01600000,0.98300000,0.987,414768.21000000
51,0.98700000,1.02400000,0.98500000,0.996,573527.35000000
52,0.99500000,1.01500000,0.96400000,0.987,751897.35000000
53,0.98800000,1.00600000,0.97500000,0.985,892852.44000000
54,0.98500000,0.99200000,0.97900000,0.991,388906.76000000
55,0.99100000,1.01000000,0.98000000,1.002,905504.77000000
56,1.00200000,1.00900000,0.98600000,0.998,579204.55000000
57,0.99900000,1.00500000,0.97500000,0.991,850534.37000000
58,0.99000000,1.00900000,0.98700000,0.994,426410.69000000
59,0.99600000,1.05000000,0.98900000,1.028,920767.86000000
60,1.02800000,1.03600000,1.00000000,1.017,767956.99000000
61,1.01700000,1.02700000,0.98600000,0.994,688712.29000000
62,0.99400000,1.00800000,0.98300000,0.992,349555.67000000
63,0.98900000,1.00400000,0.98300000,0.99,219652.59000000
64,0.99200000,1.00000000,0.97500000,0.988,580993.13000000
65,0.98800000,1.03600000,0.97800000,1.033,1213479.35000000
66,1.03400000,1.08200000,1.00900000,1.043,3103145.73000000
67,1.04300000,1.06500000,0.95700000,0.983,1576661.45000000
68,0.98300000,1.02500000,0.97100000,1.004,1029665.96000000
69,1.00600000,1.00800000,0.97000000,0.985,734496.53000000
70,0.98400000,0.98400000,0.94400000,0.956,760180.51000000
71,0.95800000,0.98400000,0.95500000,0.973,452111.50000000
72,0.97300000,0.97900000,0.95500000,0.956,633077.73000000
73,0.95700000,0.97000000,0.93900000,0.94,866772.36000000
74,0.94100000,0.96100000,0.93000000,0.94,508524.68000000
75,0.94000000,0.94800000,0.93000000,0.931,689373.70000000
76,0.93300000,0.97100000,0.93000000,0.943,817031.29000000
77,0.94300000,0.95000000,0.93000000,0.948,732427.81000000
78,0.94800000,0.96000000,0.94100000,0.95,510832.14000000
79,0.95000000,0.96800000,0.94500000,0.957,530557.01000000
80,0.95800000,0.96000000,0.93400000,0.955,930739.40000000
81,0.95300000,0.95500000,0.93100000,0.939,908959.91000000
82,0.93900000,0.94500000,0.93000000,0.939,652556.47000000
83,0.93800000,0.94300000,0.93000000,0.932,628235.35000000
84,0.93200000,0.93400000,0.87900000,0.909,1428534.75000000
85,0.90900000,0.91300000,0.86300000,0.864,1352213.94000000
86,0.86500000,0.89300000,0.85500000,0.859,575933.38000000
87,0.85800000,0.87600000,0.83800000,0.852,523834.79000000
88,0.85400000,0.88000000,0.83800000,0.866,662049.08000000
89,0.86600000,0.88500000,0.86200000,0.862,510133.08000000
90,0.86200000,0.87200000,0.83500000,0.845,557878.97000000
91,0.84500000,0.85400000,0.79800000,0.809,666810.36000000
92,0.81000000,0.85800000,0.78500000,0.845,1201386.79000000
93,0.84500000,0.85300000,0.81400000,0.835,661756.50000000
94,0.83200000,0.84100000,0.81000000,0.812,311370.37000000
95,0.81300000,0.82000000,0.77500000,0.782,531333.96000000
96,0.78100000,0.79300000,0.71200000,0.739,914144.44000000
97,0.74000000,0.76200000,0.73000000,0.747,441714.33000000
98,0.74500000,0.79500000,0.74200000,0.778,447402.96000000
99,0.78000000,0.79900000,0.75600000,0.773,338250.22000000
100,0.77300000,0.83300000,0.76400000,0.787,1104758.22000000
101,0.78700000,0.79200000,0.76000000,0.766,455183.23000000
102,0.76800000,0.87500000,0.76600000,0.817,1772369.97000000
103,0.81500000,0.85700000,0.80300000,0.813,598273.27000000
104,0.81200000,0.85400000,0.81200000,0.831,1060944.30000000
105,0.83200000,0.84900000,0.80000000,0.817,1037237.50000000
106,0.81800000,0.82300000,0.78000000,0.792,429016.58000000
107,0.79200000,0.81100000,0.78700000,0.807,267434.42000000
108,0.80600000,0.83700000,0.79700000,0.828,1017624.75000000
109,0.82800000,0.83400000,0.79200000,0.811,842214.89000000
110,0.81000000,0.84300000,0.80200000,0.823,689243.78000000
111,0.82300000,0.84000000,0.81200000,0.833,382000.72000000
112,0.83300000,0.83800000,0.80200000,0.804,571639.38000000
113,0.80700000,0.81700000,0.80300000,0.804,329984.63000000
114,0.80400000,0.81500000,0.79700000,0.807,416940.67000000
115,0.80700000,0.81200000,0.78800000,0.8,318889.59000000
116,0.79900000,0.81700000,0.79600000,0.809,482014.19000000
117,0.80900000,0.88900000,0.80600000,0.834,2456445.73000000
118,0.83200000,0.90200000,0.82900000,0.862,1382879.02000000
119,0.86200000,0.89900000,0.85300000,0.862,878734.25000000
120,0.86200000,0.88200000,0.83000000,0.865,763524.53000000
121,0.86500000,0.87800000,0.84600000,0.864,615549.93000000
122,0.86200000,0.89800000,0.85000000,0.866,743158.62000000
123,0.86800000,0.96000000,0.86400000,0.903,1283517.57000000
124,0.90300000,0.90800000,0.86200000,0.869,1064508.34000000
125,0.86900000,0.89100000,0.83700000,0.852,1098621.92000000
126,0.85200000,0.86500000,0.85000000,0.861,279766.86000000
127,0.86100000,0.87900000,0.84000000,0.844,566199.74000000
128,0.84500000,0.85700000,0.82200000,0.852,671913.58000000
129,0.85300000,0.86900000,0.81400000,0.83,716765.72000000
130,0.83000000,0.84100000,0.81500000,0.838,416317.96000000
131,0.83800000,0.85000000,0.81300000,0.828,368094.03000000
132,0.82900000,0.88000000,0.82500000,0.851,795742.01000000
133,0.85100000,0.87100000,0.83400000,0.843,558969.63000000
134,0.84300000,0.85800000,0.84000000,0.85,297348.47000000
135,0.85000000,0.86300000,0.84300000,0.853,277501.83000000
136,0.85300000,0.86500000,0.83000000,0.85,458167.72000000
137,0.85000000,0.85200000,0.81200000,0.819,512544.70000000
138,0.81900000,0.83000000,0.80800000,0.822,180770.55000000
139,0.82200000,0.83500000,0.79600000,0.82,315911.51000000
140,0.82000000,0.83000000,0.81400000,0.822,343848.23000000
141,0.82200000,0.83400000,0.78500000,0.791,862072.42000000
142,0.79200000,0.79500000,0.77600000,0.793,298580.53000000
143,0.79300000,0.81400000,0.78900000,0.802,325132.09000000
144,0.80200000,0.80300000,0.77500000,0.792,304226.64000000
145,0.79200000,0.82600000,0.78900000,0.821,293380.79000000
146,0.82100000,0.99900000,0.80500000,0.968,3506483.45000000
147,0.96900000,1.10900000,0.90300000,0.912,10868888.26000000
148,0.91000000,0.98800000,0.86100000,0.891,4477533.27000000
149,0.89100000,0.89900000,0.85000000,0.864,2045883.23000000
150,0.86400000,0.87500000,0.78300000,0.805,2041894.32000000
151,0.80400000,0.82900000,0.79300000,0.802,853867.23000000
152,0.80200000,0.82400000,0.80000000,0.814,591063.06000000
153,0.81400000,0.84700000,0.80200000,0.841,991714.58000000
154,0.84000000,0.86000000,0.81800000,0.845,648611.82000000
155,0.84500000,0.85000000,0.82600000,0.84,530670.88000000
156,0.84000000,0.85900000,0.82500000,0.834,743806.76000000
157,0.83300000,0.83400000,0.81500000,0.818,520910.26000000
158,0.81800000,0.83700000,0.81300000,0.817,425804.25000000
159,0.81600000,0.82300000,0.80500000,0.816,431462.48000000
160,0.81600000,0.83100000,0.79000000,0.798,558972.40000000
161,0.79800000,0.80000000,0.70300000,0.757,1876380.75000000
162,0.75600000,0.76400000,0.73900000,0.757,339560.49000000
163,0.75700000,0.78400000,0.74800000,0.781,199421.53000000
164,0.78100000,0.78300000,0.74800000,0.754,409329.47000000
165,0.75400000,0.78600000,0.75200000,0.775,379709.65000000
166,0.77500000,0.77800000,0.75100000,0.763,474350.02000000
167,0.76300000,0.78000000,0.75200000,0.775,404848.20000000
168,0.77500000,0.85800000,0.76400000,0.824,1989738.46000000
169,0.82600000,0.83000000,0.77200000,0.777,1115662.17000000
170,0.77700000,0.96900000,0.77400000,0.844,6952771.51000000
171,0.84400000,0.95000000,0.81600000,0.818,3452404.81000000
172,0.81700000,0.87700000,0.81000000,0.854,2280273.14000000
173,0.85400000,0.85400000,0.78300000,0.805,1605747.32000000
174,0.80700000,0.85700000,0.80200000,0.819,1195330.59000000
175,0.81800000,0.83300000,0.80200000,0.815,445991.01000000
176,0.81300000,0.84100000,0.80400000,0.815,582191.38000000
177,0.81500000,0.81700000,0.77700000,0.779,858648.06000000
178,0.77900000,0.81900000,0.76600000,0.78,658084.58000000
179,0.78000000,0.78200000,0.73000000,0.758,591137.76000000
180,0.75800000,0.77800000,0.75000000,0.772,448799.85000000
181,0.77300000,0.78400000,0.76500000,0.773,303385.12000000
182,0.77400000,0.79600000,0.77400000,0.789,413184.92000000
183,0.79000000,0.79500000,0.76200000,0.78,406228.46000000
184,0.78200000,0.83600000,0.76500000,0.789,1229241.96000000
185,0.78900000,0.86400000,0.75100000,0.8,2189762.69000000
186,0.80100000,0.83400000,0.77600000,0.815,1558494.46000000
187,0.81500000,0.87800000,0.80000000,0.815,1495772.18000000
188,0.81500000,0.91700000,0.81300000,0.833,4035764.40000000
189,0.83300000,0.85500000,0.78600000,0.798,1820290.89000000
190,0.79800000,0.83700000,0.77600000,0.825,1511992.76000000
191,0.82500000,0.85800000,0.81500000,0.831,776114.15000000
192,0.83100000,0.86400000,0.82400000,0.858,941455.17000000
193,0.85600000,0.86200000,0.81400000,0.823,1431797.13000000
194,0.82400000,0.84100000,0.82000000,0.832,311024.63000000
195,0.83300000,0.83600000,0.81800000,0.827,397977.89000000
196,0.82800000,0.83900000,0.82000000,0.834,498335.46000000
197,0.83300000,0.83800000,0.78600000,0.805,997677.48000000
198,0.80500000,0.81100000,0.75400000,0.779,984128.97000000
199,0.78100000,0.79800000,0.76500000,0.796,403241.40000000
200,0.79700000,0.79900000,0.77000000,0.776,323556.07000000
201,0.77500000,0.79300000,0.77500000,0.788,275511.44000000
202,0.78800000,0.80900000,0.78500000,0.796,326349.41000000
203,0.79600000,0.80000000,0.75900000,0.78,378417.69000000
204,0.78000000,0.79700000,0.77700000,0.787,364387.04000000
205,0.78500000,0.79300000,0.78100000,0.787,288469.70000000
206,0.78800000,0.79200000,0.76800000,0.774,286377.29000000
207,0.77200000,0.79400000,0.77100000,0.79,171496.00000000
208,0.79000000,0.82000000,0.78900000,0.796,646667.83000000
209,0.79600000,0.80600000,0.78300000,0.804,381783.76000000
210,0.80400000,0.81500000,0.78700000,0.797,269516.94000000
211,0.79600000,0.80600000,0.79000000,0.798,140500.08000000
212,0.79700000,0.80900000,0.79000000,0.802,407401.61000000
213,0.80200000,0.83500000,0.78500000,0.824,872643.02000000
214,0.82400000,0.82400000,0.80600000,0.815,486665.77000000
215,0.81500000,0.82000000,0.80500000,0.808,228238.79000000
216,0.80900000,0.87000000,0.80000000,0.839,2290556.00000000
