,open,high,low,close,volume
0,1.18920000,1.84800000,1.18530000,1.3782,65460647.29000000
1,1.37980000,1.76400000,1.00000000,1.547,69018139.86000000
2,1.54690000,1.96960000,1.42000000,1.9534,44377245.51000000
3,1.95520000,2.24980000,1.87600000,2.1257,68541599.36000000
4,2.12520000,2.29000000,1.84990000,2.0531,57635376.43000000
5,2.05470000,2.06690000,1.77930000,1.845,24014479.91000000
6,1.84600000,1.87880000,1.66300000,1.6738,17826831.09000000
7,1.67420000,1.90000000,1.64600000,1.7877,26146828.62000000
8,1.78800000,1.89300000,1.72600000,1.7439,18291709.78000000
9,1.74460000,1.84000000,1.70170000,1.7082,11252248.82000000
10,1.70660000,2.10620000,1.69740000,2.0665,28176027.62000000
11,2.06630000,2.27900000,1.98970000,2.2403,36710121.54000000
12,2.24030000,2.37960000,1.97770000,2.3572,45461380.25000000
13,2.35820000,2.37000000,2.15000000,2.1575,11933760.36000000
14,2.15740000,2.24550000,2.07550000,2.0907,14748558.32000000
15,2.09090000,2.15420000,2.04490000,2.0661,12465651.09000000
16,2.06630000,2.17140000,2.02200000,2.0716,15076758.07000000
17,2.07210000,2.20600000,2.06870000,2.168,10059921.35000000
18,2.16850000,2.20440000,2.07800000,2.161,9687440.32000000
19,2.16100000,2.49560000,2.14320000,2.3958,25754169.41000000
20,2.39590000,2.39880000,2.12420000,2.1566,16669117.04000000
21,2.15680000,2.24790000,2.03000000,2.1353,10290924.13000000
22,2.13590000,2.14470000,2.00000000,2.0752,9554876.39000000
23,2.07560000,2.28000000,2.05050000,2.1554,15483238.96000000
24,2.15520000,2.17000000,2.05010000,2.0882,13562431.18000000
25,2.08830000,2.12000000,2.04450000,2.1086,6449195.38000000
26,2.10830000,2.11560000,1.93000000,1.9552,10915002.01000000
27,1.95520000,1.96500000,1.84750000,1.9337,19077863.60000000
28,1.93390000,2.02660000,1.78900000,1.9371,18846589.36000000
29,1.93820000,2.18390000,1.90140000,2.1639,11388046.18000000
30,2.16430000,2.33410000,2.12990000,2.2555,16839918.28000000
31,2.25590000,2.40000000,2.20000000,2.2334,21916468.82000000
32,2.23290000,2.65430000,2.18350000,2.6001,31788887.30000000
33,2.60080000,2.77000000,2.58390000,2.645,18359347.25000000
34,2.64500000,3.00780000,2.64450000,2.98,39678618.84000000
35,2.98010000,3.45240000,2.95640000,3.2564,50721342.76000000
36,3.25640000,3.45810000,3.01000000,3.2954,45977334.90000000
37,3.29470000,3.33000000,2.95310000,3.1568,27534588.86000000
38,3.15690000,3.56720000,3.05000000,3.1415,45806369.79000000
39,3.14200000,3.37320000,2.72000000,2.7592,56524303.14000000
40,2.75910000,3.09480000,2.70000000,2.8314,33131106.51000000
41,2.83160000,3.14560000,2.71260000,2.8142,24098745.08000000
42,2.81430000,2.93900000,2.41040000,2.5582,30359426.77000000
43,2.55750000,2.76210000,2.49570000,2.5846,30900101.43000000
44,2.58420000,2.61390000,2.35010000,2.3644,31843513.78000000
45,2.36490000,2.40510000,2.04930000,2.2289,37415983.85000000
46,2.22800000,2.39620000,2.18010000,2.3139,24297763.82000000
47,2.31310000,2.72220000,2.16870000,2.5819,28999342.58000000
48,2.58190000,2.80000000,2.37330000,2.7942,27597577.57000000
49,2.79600000,3.15330000,2.73000000,3.0393,43611577.95000000
50,3.04000000,3.10360000,2.88150000,2.9576,24786747.29000000
51,2.95930000,3.28710000,2.50000000,3.2723,46959522.17000000
52,3.27310000,3.29830000,2.61500000,2.6836,41173172.75000000
53,2.68520000,2.79740000,2.50050000,2.5519,20286382.69000000
54,2.55130000,2.62300000,2.20000000,2.2442,28691629.84000000
55,2.24410000,2.43240000,2.11020000,2.4106,45491254.89000000
56,2.41000000,2.74500000,2.31480000,2.5855,39380306.54000000
57,2.58510000,2.60670000,2.17080000,2.3178,25733447.59000000
58,2.31770000,2.38000000,1.95000000,2.0218,34623626.74000000
59,2.02040000,2.34970000,2.00860000,2.1824,34572015.11000000
60,2.18310000,2.24890000,2.01800000,2.2244,35750550.02000000
61,2.22440000,2.74500000,2.22440000,2.6042,41535345.33000000
62,2.60420000,2.62640000,2.33700000,2.4417,28051804.41000000
63,2.44170000,2.51000000,2.37810000,2.4084,16814267.85000000
64,2.40770000,2.46270000,2.28940000,2.3049,19972245.70000000
65,2.30520000,2.35770000,2.22630000,2.2855,16082082.31000000
66,2.28570000,2.49410000,2.20230000,2.4386,20913718.98000000
67,2.43910000,2.46650000,2.23050000,2.2479,14426585.06000000
68,2.24770000,2.34660000,2.11730000,2.2188,26889755.29000000
69,2.21820000,2.26110000,2.11000000,2.2315,15334460.96000000
70,2.23140000,2.27190000,2.13740000,2.2269,12773770.34000000
71,2.22750000,2.33820000,2.21810000,2.3039,14771688.19000000
72,2.30430000,2.43000000,2.24630000,2.408,23081639.68000000
73,2.40810000,2.47470000,2.27620000,2.2779,18935596.75000000
74,2.27820000,2.32650000,2.23360000,2.2649,7245318.60000000
75,2.26490000,2.29000000,2.22000000,2.2667,8274660.09000000
76,2.26690000,2.50990000,2.25570000,2.3858,19260095.92000000
77,2.38520000,2.85370000,2.37660000,2.8202,33287048.93000000
78,2.82030000,2.83000000,2.70160000,2.7899,22884057.99000000
79,2.78970000,2.99790000,2.65680000,2.679,30176193.70000000
80,2.67910000,2.95000000,2.62680000,2.7796,36358757.53000000
81,2.78000000,2.79730000,2.66000000,2.684,12659992.55000000
82,2.68390000,2.92930000,2.66370000,2.8654,14940319.16000000
83,2.86570000,3.26250000,2.85000000,3.1656,33249555.38000000
84,3.16560000,3.33160000,3.04380000,3.208,34590975.56000000
85,3.20730000,3.38620000,3.14560000,3.2483,21067651.14000000
86,3.24990000,3.46440000,3.18280000,3.371,25407756.62000000
87,3.37110000,3.40930000,3.10180000,3.2003,17630401.78000000
88,3.20020000,3.38520000,2.98590000,3.0844,37469003.73000000
89,3.08510000,3.17850000,3.00840000,3.0512,10977936.42000000
90,3.05150000,3.28790000,2.91990000,3.0836,23008106.39000000
91,3.08330000,3.17820000,3.01400000,3.1329,12411252.98000000
92,3.13200000,3.41920000,3.03640000,3.3545,29174853.92000000
93,3.35330000,3.98700000,3.34950000,3.7521,49436482.60000000
94,3.75210000,4.04030000,3.70000000,3.7018,29980930.98000000
95,3.70230000,3.77520000,3.50280000,3.682,21807541.80000000
96,3.68210000,3.94730000,3.57250000,3.8893,23694473.51000000
97,3.88900000,4.24850000,3.86680000,3.9197,28804810.81000000
98,3.91970000,4.65000000,3.91730000,4.6091,31359239.10000000
99,4.60990000,4.69000000,4.40570000,4.6161,28846853.90000000
100,4.61580000,4.62130000,4.26500000,4.3371,20090540.55000000
101,4.33610000,4.34090000,4.12020000,4.2673,12702047.89000000
102,4.26730000,4.43270000,4.18420000,4.326,14748762.22000000
103,4.32630000,4.85370000,4.28870000,4.7735,26395219.25000000
104,4.77530000,4.78840000,4.61040000,4.6431,12592239.25000000
105,4.64370000,4.86000000,4.52270000,4.5773,15854742.69000000
106,4.57730000,4.64990000,4.21750000,4.4317,15179508.94000000
107,4.43180000,4.49480000,4.27740000,4.3347,14836171.96000000
108,4.33410000,4.47940000,3.96160000,4.137,27031936.98000000
109,4.13710000,4.36360000,4.06350000,4.221,16298885.91000000
110,4.22060000,4.24660000,3.79530000,3.9119,24749607.49000000
111,3.91320000,4.03970000,3.65990000,3.8422,22232805.13000000
112,3.84220000,4.15000000,3.67220000,4.0108,31381483.70000000
113,4.01190000,4.11000000,3.82000000,3.8471,10188059.80000000
114,3.84630000,4.13890000,3.60000000,4.0461,25351905.42000000
115,4.04580000,4.17050000,3.76590000,3.8924,19172264.06000000
116,3.89300000,4.05000000,3.70350000,3.7122,17077740.85000000
117,3.71290000,3.73870000,3.60630000,3.6262,10455756.99000000
118,3.62620000,3.82450000,3.51100000,3.6507,17407865.10000000
119,3.65070000,3.97220000,3.64600000,3.8865,13914162.93000000
120,3.88690000,4.03950000,3.75360000,3.9087,18074392.55000000
121,3.90800000,3.96520000,3.46330000,3.545,19041252.15000000
122,3.54400000,3.60510000,3.22170000,3.3184,20447063.83000000
123,3.31840000,3.36700000,3.20970000,3.2224,14121272.15000000
124,3.22380000,3.47620000,3.18580000,3.236,18290156.80000000
125,3.23640000,3.40210000,3.20790000,3.2189,9375046.71000000
