,open,high,low,close,volume
0,0.15000000,5.29000000,0.15000000,2.66,43591905.30000000
1,2.66000000,2.66600000,2.11700000,2.182,31384733.60000000
2,2.18200000,2.25000000,1.99500000,2.161,14480817.40000000
3,2.16000000,2.26700000,1.85000000,2.053,15073175.80000000
4,2.05300000,2.19600000,1.94000000,2.135,11197843.00000000
5,2.13500000,2.45800000,2.09000000,2.187,23612753.00000000
6,2.18800000,2.34500000,2.16700000,2.257,6448614.80000000
7,2.25700000,2.55000000,2.22500000,2.505,17013339.90000000
8,2.50600000,2.53600000,2.30400000,2.342,9971140.90000000
9,2.34200000,2.35700000,2.22800000,2.279,7158822.70000000
10,2.28000000,2.38500000,2.14900000,2.25,8304091.50000000
11,2.25000000,2.32000000,2.22400000,2.248,3281544.30000000
12,2.24900000,2.28000000,2.15900000,2.244,6127555.00000000
13,2.24300000,2.24400000,2.12600000,2.151,7137723.90000000
14,2.15200000,2.15400000,2.06600000,2.096,4699310.70000000
15,2.09600000,2.16600000,2.05000000,2.141,4117056.50000000
16,2.14100000,2.23700000,2.11300000,2.215,6901166.40000000
17,2.21500000,2.22500000,2.14100000,2.162,3712978.10000000
18,2.16200000,2.23500000,2.15400000,2.219,2159235.70000000
19,2.21900000,2.35000000,2.17400000,2.273,4725536.00000000
20,2.27300000,2.34700000,2.23900000,2.28,4068445.50000000
21,2.28000000,2.37500000,2.27200000,2.36,5643052.10000000
22,2.36100000,2.37900000,2.32900000,2.347,3023984.40000000
23,2.34600000,2.49300000,2.33800000,2.431,5610826.90000000
24,2.43100000,2.45000000,2.34000000,2.368,5157521.70000000
25,2.36800000,2.37700000,2.28500000,2.293,3776833.10000000
26,2.29300000,2.34300000,2.22200000,2.288,3443452.00000000
27,2.28800000,2.35300000,2.25900000,2.28,3520474.60000000
28,2.28000000,2.31900000,2.24400000,2.309,2715084.00000000
29,2.31000000,2.37600000,2.27400000,2.347,4432168.90000000
30,2.34700000,2.35700000,2.25300000,2.316,3189362.30000000
31,2.31600000,2.35100000,2.19600000,2.289,4216537.70000000
32,2.29000000,2.34800000,2.29000000,2.297,3663290.70000000
33,2.29700000,2.34000000,2.27300000,2.322,2596598.40000000
34,2.32200000,2.45100000,2.31300000,2.43,5644485.60000000
35,2.43000000,2.46900000,2.36200000,2.383,3572098.40000000
36,2.38200000,2.42300000,2.34100000,2.415,5028091.20000000
37,2.41600000,2.52500000,2.38600000,2.428,10172299.40000000
38,2.42800000,2.42900000,2.29800000,2.36,5971829.00000000
39,2.36000000,2.37600000,2.27000000,2.31,3303293.30000000
40,2.30900000,2.32500000,2.28400000,2.313,1645196.50000000
41,2.31300000,2.32700000,2.25500000,2.27,2742218.10000000
42,2.27100000,2.35800000,2.25300000,2.325,2808048.50000000
43,2.32400000,2.34100000,2.26300000,2.281,1589146.40000000
44,2.28200000,2.29100000,2.25800000,2.27,1437299.60000000
45,2.27000000,2.31000000,2.22400000,2.224,3218925.80000000
46,2.22400000,2.22900000,2.14700000,2.174,5175563.60000000
47,2.17400000,2.18300000,2.10000000,2.148,2221105.60000000
48,2.14800000,2.16600000,2.11700000,2.146,1376960.40000000
49,2.14600000,2.14800000,2.08400000,2.121,2546005.50000000
50,2.12100000,2.13500000,2.10000000,2.13,1095388.50000000
51,2.13000000,2.17000000,2.11200000,2.128,1323316.70000000
52,2.12800000,2.13200000,2.05000000,2.056,3372918.10000000
53,2.05500000,2.06600000,2.01100000,2.034,3794277.90000000
54,2.03500000,2.05500000,2.02200000,2.039,1182645.00000000
55,2.04200000,2.11000000,2.04000000,2.045,1978786.20000000
56,2.04400000,2.08200000,2.02300000,2.074,1741000.30000000
57,2.07300000,2.09000000,2.01800000,2.028,4414933.30000000
58,2.02800000,2.07200000,2.02200000,2.039,1351595.00000000
59,2.04100000,2.05100000,1.90600000,1.939,6586533.10000000
60,1.93900000,1.94300000,1.90600000,1.929,3237192.60000000
61,1.93000000,1.99200000,1.92000000,1.955,4193907.20000000
62,1.95400000,1.96600000,1.92600000,1.942,1781116.50000000
63,1.94100000,1.96400000,1.92500000,1.929,1309761.20000000
64,1.93000000,1.94800000,1.90000000,1.942,1999641.40000000
65,1.94100000,1.95200000,1.86300000,1.873,3375272.20000000
66,1.87300000,1.88100000,1.80800000,1.834,2496592.10000000
67,1.83500000,1.85400000,1.81900000,1.83,1643182.80000000
68,1.83100000,1.83400000,1.73900000,1.747,3706196.80000000
69,1.74600000,1.76300000,1.66400000,1.696,7240192.10000000
70,1.69600000,1.70900000,1.67400000,1.68,2484280.70000000
71,1.68100000,1.75900000,1.65000000,1.703,5149522.30000000
72,1.70300000,1.72400000,1.67600000,1.713,2736062.80000000
73,1.71300000,1.72700000,1.68100000,1.706,2333757.20000000
74,1.70600000,1.77300000,1.69900000,1.746,3642611.00000000
75,1.74500000,1.76400000,1.72600000,1.753,2148060.60000000
76,1.75200000,1.80700000,1.74000000,1.8,2486725.20000000
77,1.80000000,1.82200000,1.76000000,1.769,3123510.70000000
78,1.76900000,1.76900000,1.74000000,1.758,1450770.00000000
79,1.75800000,1.81700000,1.75800000,1.807,2314032.90000000
80,1.80600000,1.82600000,1.79500000,1.801,2475192.20000000
81,1.80000000,1.83700000,1.78100000,1.811,2753061.50000000
82,1.81100000,1.81700000,1.76700000,1.768,1558877.00000000
83,1.76800000,1.81600000,1.76200000,1.808,2649577.50000000
84,1.80900000,1.81600000,1.79000000,1.805,1772345.00000000
85,1.80600000,1.81700000,1.79000000,1.79,1564272.70000000
86,1.79100000,1.79100000,1.74500000,1.768,1686395.10000000
87,1.76800000,1.79400000,1.76500000,1.784,1212957.60000000
88,1.78300000,1.78500000,1.74500000,1.748,1880210.40000000
89,1.74800000,1.75300000,1.71000000,1.736,2826507.50000000
90,1.73500000,1.73600000,1.58100000,1.62,4748920.10000000
91,1.62000000,1.63500000,1.58200000,1.598,3039635.20000000
92,1.59900000,1.60900000,1.56200000,1.582,3296415.60000000
93,1.58200000,1.59800000,1.54100000,1.587,5176946.40000000
94,1.58800000,1.60200000,1.48100000,1.522,6722440.40000000
95,1.52300000,1.54400000,1.48500000,1.529,1965268.80000000
96,1.53000000,1.53000000,1.48200000,1.482,2500244.00000000
97,1.48300000,1.50800000,1.43100000,1.474,5337010.00000000
98,1.47400000,1.49800000,1.20000000,1.367,7460583.90000000
99,1.36500000,1.45100000,1.32200000,1.391,5097261.50000000
100,1.39100000,1.58900000,1.39000000,1.523,9670292.20000000
101,1.52400000,1.55000000,1.48300000,1.491,4207702.60000000
102,1.49200000,1.56500000,1.49100000,1.543,2011221.50000000
103,1.54200000,1.54500000,1.44600000,1.46,2737455.00000000
104,1.46000000,1.48900000,1.44800000,1.483,1775504.10000000
105,1.48300000,1.51700000,1.45500000,1.468,3226647.00000000
106,1.46800000,1.50000000,1.45300000,1.48,1590425.50000000
107,1.48000000,1.51700000,1.47700000,1.502,2292863.90000000
108,1.50100000,1.54100000,1.48400000,1.512,3245659.40000000
109,1.51100000,1.52200000,1.46100000,1.466,1631767.00000000
110,1.46700000,1.49800000,1.46200000,1.469,815709.70000000
111,1.46800000,1.49800000,1.44200000,1.457,2132136.00000000
112,1.45700000,1.48900000,1.41400000,1.471,2601876.50000000
113,1.47100000,1.53100000,1.46800000,1.477,2684525.10000000
114,1.47700000,1.50300000,1.46200000,1.476,1166617.30000000
115,1.47600000,1.49000000,1.45300000,1.457,1947513.90000000
116,1.45700000,1.50000000,1.45200000,1.468,1135566.20000000
117,1.46900000,1.48100000,1.40600000,1.407,2675441.80000000
118,1.40700000,1.44000000,1.36400000,1.434,2380125.10000000
119,1.43500000,1.44800000,1.37200000,1.38,1784842.20000000
120,1.38000000,1.39000000,1.35300000,1.358,1614234.20000000
121,1.35800000,1.43000000,1.33400000,1.404,2763547.90000000
122,1.40400000,1.44400000,1.38300000,1.407,2068371.50000000
123,1.40700000,1.46900000,1.40300000,1.455,2198470.60000000
124,1.45500000,1.47300000,1.44500000,1.449,1532676.50000000
125,1.44900000,1.44900000,1.39400000,1.41,2633472.90000000
126,1.41000000,1.42300000,1.37400000,1.399,1105174.00000000
127,1.40000000,1.40000000,1.32100000,1.336,2046634.00000000
128,1.33600000,1.34100000,1.31500000,1.318,1157805.50000000
