,open,high,low,close,volume
0,0.83070000,0.84700000,0.80250000,0.8297,63309787.00000000
1,0.82980000,0.85280000,0.82970000,0.8421,43314380.00000000
2,0.84200000,0.84530000,0.83480000,0.8388,33438524.00000000
3,0.83870000,0.85290000,0.83860000,0.8511,29266332.00000000
4,0.85110000,0.85570000,0.84440000,0.8507,30957494.00000000
5,0.85080000,0.85110000,0.83720000,0.8432,27531992.00000000
6,0.84330000,0.84910000,0.83910000,0.8453,21447887.00000000
7,0.84520000,0.86670000,0.84180000,0.8569,52222202.00000000
8,0.85700000,0.86130000,0.84540000,0.8586,28485951.00000000
9,0.85860000,0.85870000,0.84120000,0.8473,35462219.00000000
10,0.84720000,0.84760000,0.83350000,0.8448,43150054.00000000
11,0.84480000,0.84620000,0.82490000,0.835,58890065.00000000
12,0.83490000,0.83840000,0.82130000,0.8324,41116279.00000000
13,0.83240000,0.83440000,0.77940000,0.8269,59135510.00000000
14,0.82680000,0.83730000,0.82420000,0.8358,39903026.00000000
15,0.83590000,0.84560000,0.82890000,0.8296,56421557.00000000
16,0.82960000,0.83150000,0.81500000,0.8228,58955651.00000000
17,0.82270000,0.83400000,0.82110000,0.8317,40802359.00000000
18,0.83160000,0.83720000,0.82410000,0.8257,37926908.00000000
19,0.82560000,0.83080000,0.81980000,0.8206,45340882.00000000
20,0.82070000,0.82590000,0.70920000,0.7726,246542361.00000000
21,0.77250000,0.77880000,0.74600000,0.761,99252555.00000000
22,0.76110000,0.76530000,0.73770000,0.7489,81473464.00000000
23,0.74880000,0.76980000,0.74210000,0.7673,69109755.00000000
24,0.76730000,0.79090000,0.76620000,0.7791,57366503.00000000
25,0.77900000,0.78080000,0.72870000,0.7521,110576756.00000000
26,0.75210000,0.77710000,0.73670000,0.7576,81537320.00000000
27,0.75770000,0.77090000,0.73390000,0.7656,133529734.00000000
28,0.76570000,0.77840000,0.75700000,0.7634,47282952.00000000
29,0.76340000,0.77530000,0.76130000,0.7727,42725938.00000000
30,0.77270000,0.77680000,0.76280000,0.7645,36946090.00000000
31,0.76460000,0.76870000,0.73410000,0.7356,64922114.00000000
32,0.73560000,0.76050000,0.72220000,0.7452,108434429.00000000
33,0.74520000,0.75830000,0.74110000,0.752,42915847.00000000
34,0.75200000,0.75440000,0.74030000,0.7504,32114673.00000000
35,0.75050000,0.75700000,0.73810000,0.7556,38357523.00000000
36,0.75560000,0.76670000,0.75070000,0.753,38133356.00000000
37,0.75300000,0.75890000,0.74740000,0.7556,29343541.00000000
38,0.75560000,0.75570000,0.73970000,0.7417,43656014.00000000
39,0.74180000,0.74450000,0.69670000,0.7225,182728952.00000000
40,0.72260000,0.74020000,0.71950000,0.7399,57351647.00000000
